"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2274","서울특별시","강동구","시도",1,127.149669,"4",0,200
"2275","서울특별시","강동구","시도",2,127.132033,"4",0,200
"2276","서울특별시","강동구","시도",3,127.165104,"4",0,200
"2277","서울특별시","강동구","시도",3,127.144803,"4",0,200
"2278","서울특별시","강동구","시도",3,127.165508,"4",0,200
"2279","서울특별시","강동구","시도",1,127.168561,"4",0,200
"2280","서울특별시","강동구","시도",1,127.146122,"4",0,200
"2281","서울특별시","강동구","시도",3,127.178237,"4",0,200
"2282","서울특별시","강동구","시도",1,127.147479,"4",0,200
"2283","서울특별시","강동구","시도",2,127.169929,"4",0,200
"2284","서울특별시","강동구","시도",3,127.1802670557,"4",0,200
"2285","서울특별시","강동구","시도",3,127.1655960701,"4",0,200
"2286","서울특별시","강동구","시도",3,127.1281051339,"4",0,200
"2287","서울특별시","강동구","시도",3,127.1295037767,"4",0,200
"2288","서울특별시","강동구","시도",3,127.1372466959,"4",0,200
"2552","서울특별시","강동구","시도",3,127.1445334,"4",0,200
"2553","서울특별시","강동구","시도",3,127.1228007,"4",0,200
"2554","서울특별시","강동구","시도",3,127.1546203,"4",0,200
"2555","서울특별시","강동구","시도",3,127.1365795,"4",0,200
"2556","서울특별시","강동구","시도",3,127.1381235,"4",0,200
"2557","서울특별시","강동구","시도",2,127.1204672,"4",0,200
"2558","서울특별시","강동구","시도",3,127.1481184,"4",0,200
"2559","서울특별시","강동구","시도",3,127.1730894767,"4",0,200
"2560","서울특별시","강동구","시도",3,127.1722204,"4",0,200
"2561","서울특별시","강동구","시도",1,127.141845,"4",0,200
"2562","서울특별시","강동구","시도",1,127.1323481,"4",0,200
"2563","서울특별시","강동구","시도",2,127.137011,"4",0,200
"2564","서울특별시","강동구","시도",1,127.1415811,"4",0,200
"2565","서울특별시","강동구","구도",3,127.1740049,"4",0,200
"2566","서울특별시","강동구","시도",2,127.142983,"4",0,200
"2567","서울특별시","강동구","시도",3,127.125758,"4",0,200
"2568","서울특별시","강동구","시도",3,127.1729356,"4",0,200
"2569","서울특별시","강동구","시도",3,127.1265119,"4",0,200
"2570","서울특별시","강동구","시도",3,127.1746656,"4",0,200
