"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"186","전라남도","강진군","일반국도",3,126.7508741719,"2",80,NA
"187","전라남도","강진군","일반국도",3,126.7511584609,"2",80,NA
"188","전라남도","강진군","일반국도",3,126.7647989188,"1",80,NA
"189","전라남도","강진군","일반국도",3,126.792134,"1",60,NA
"190","전라남도","강진군","지방도",3,126.725143799,"1",60,NA
"191","전라남도","강진군","일반국도",3,126.7081831814,"1",80,NA
"192","전라남도","강진군","일반국도",3,126.7317224223,"1",80,NA
"193","전라남도","강진군","일반국도",3,126.7379189544,"1",80,NA
"194","전라남도","강진군","일반국도",3,126.784971,"1",80,NA
"195","전라남도","강진군","일반국도",3,126.7114951589,"1",80,NA
"196","전라남도","강진군","일반국도",3,126.7308174696,"1",80,NA
"197","전라남도","강진군","일반국도",3,126.7982090246,"2",80,NA
"198","전라남도","강진군","일반국도",3,126.7889013375,"1",60,NA
"199","전라남도","강진군","지방도",3,126.722289,"1",40,NA
"200","전라남도","강진군","일반국도",3,126.7942451262,"1",60,NA
"201","전라남도","강진군","군도",3,126.7663420702,"2",50,NA
"787","전라남도","강진군","군도",3,126.804487,"1",60,NA
"4267","전라남도","강진군","군도",3,126.766429,"2",50,NA
"7968","전라남도","강진군","군도",3,126.708343,"2",80,NA
"7971","전라남도","강진군","일반국도",3,126.792054,"2",50,NA
"7972","전라남도","강진군","일반국도",3,126.792157,"2",50,NA
"9442","전라남도","강진군","일반국도",3,126.794161,"1",60,NA
"9483","전라남도","강진군","지방도",3,126.722289,"1",40,NA
"9575","전라남도","강진군","일반국도",3,126.798082,"2",80,NA
"9576","전라남도","강진군","일반국도",3,126.788833,"1",50,NA
"9590","전라남도","강진군","군도",3,126.804487,"1",60,NA
"9687","전라남도","강진군","일반국도",3,126.792134,"1",60,NA
"9745","전라남도","강진군","일반국도",3,126.773277,"1",80,NA
"9789","전라남도","강진군","일반국도",3,126.737851,"1",80,NA
"9790","전라남도","강진군","일반국도",3,126.784971,"1",80,NA
"9791","전라남도","강진군","일반국도",3,126.711377,"1",80,NA
"9792","전라남도","강진군","일반국도",3,126.730798,"1",80,NA
"9885","전라남도","강진군","지방도",3,126.725832,"1",80,NA
"9886","전라남도","강진군","일반국도",3,126.708271,"1",80,NA
"9887","전라남도","강진군","일반국도",3,126.731634,"1",80,NA
