"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"9894","인천광역시","강화","일반국도",1,126.5085349,"2",50,NA
"9895","인천광역시","강화","일반국도",2,126.4923382,"2",50,NA
"9912","인천광역시","강화","기타",2,126.436507,"1",30,NA
"9996","인천광역시","강화","일반국도",1,126.4435295,"1",50,NA
"10010","인천광역시","강화","기타",1,126.4187426,"2",100,NA
"10054","인천광역시","강화","일반국도",1,126.3550371,"1",40,NA
"10065","인천광역시","강화","일반국도",1,126.4756009,"1",50,NA
"10103","인천광역시","강화","기타",2,126.483312,"2",60,NA
"10120","인천광역시","강화","군도",1,126.4943058,"1",50,NA
"10121","인천광역시","강화","군도",1,126.4821982,"1",50,NA
