"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1579","인천광역시","강화군","군도",2,NA,"2",70,NA
"5108","인천광역시","강화군","군도",1,126.4228145,"2",70,NA
"6054","인천광역시","강화군","구도",2,126.4850051,"2",30,NA
"6055","인천광역시","강화군","구도",2,126.4804181,"2",30,NA
"6082","인천광역시","강화군","군도",2,126.4648163,"1",60,NA
"6083","인천광역시","강화군","군도",1,126.476872,"1",60,NA
"6100","인천광역시","강화군","군도",2,126.512394,"1",60,NA
"6118","인천광역시","강화군","군도",1,126.4950377,"1",50,NA
"6119","인천광역시","강화군","군도",1,126.5023301,"1",30,NA
"6120","인천광역시","강화군","군도",2,126.2547383,"1",60,NA
"9458","인천광역시","강화군","군도",2,126.4507026,"1",70,NA
"12179","인천광역시","강화군","기타",2,126.3993217,"2",60,NA
"12227","인천광역시","강화군","기타",2,126.502441,"1",70,NA
"12283","인천광역시","강화군","기타",2,126.4903666,"1",30,NA
"12284","인천광역시","강화군","기타",1,126.4915146,"1",30,NA
"12285","인천광역시","강화군","기타",1,126.3903202,"1",30,NA
"12286","인천광역시","강화군","군도",1,126.449758,"2",50,NA
