"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2893","경상남도","거제시","기타",3,128.6203697444,"4",0,NA
"3117","경상남도","거제시","기타",3,128.6160059495,"4",0,NA
"3118","경상남도","거제시","기타",3,128.620198,"4",0,NA
"3119","경상남도","거제시","기타",3,128.6182142,"4",0,NA
"3120","경상남도","거제시","기타",3,128.731446083,"4",0,NA
"3121","경상남도","거제시","기타",3,128.6899902087,"4",0,NA
"3122","경상남도","거제시","기타",3,128.6906382007,"4",0,NA
"3123","경상남도","거제시","기타",3,128.6897923603,"4",0,NA
"3124","경상남도","거제시","기타",3,128.62233,"4",0,NA
"3143","경상남도","거제시","기타",3,128.6410931353,"4",0,NA
"3144","경상남도","거제시","일반국도",3,128.692247316,"4",0,NA
"3145","경상남도","거제시","기타",3,128.6235077297,"4",0,NA
"3146","경상남도","거제시","기타",3,128.6243405246,"4",0,NA
"3147","경상남도","거제시","기타",3,128.6126369401,"4",0,NA
"3148","경상남도","거제시","기타",3,128.6353541271,"4",0,NA
"3149","경상남도","거제시","기타",3,128.635641,"4",0,NA
"3150","경상남도","거제시","기타",3,128.610739,"4",0,NA
"3151","경상남도","거제시","기타",3,128.6196732548,"4",0,NA
"3152","경상남도","거제시","기타",3,128.6176433078,"4",0,NA
"3153","경상남도","거제시","기타",3,128.6223425723,"4",0,NA
"3154","경상남도","거제시","기타",3,128.6257314076,"4",0,NA
"3155","경상남도","거제시","기타",3,128.6235642078,"4",0,NA
"3156","경상남도","거제시","기타",3,128.6227804964,"4",0,NA
"3157","경상남도","거제시","기타",3,128.6227804964,"4",0,NA
"3158","경상남도","거제시","기타",3,128.6223044888,"4",0,NA
"3159","경상남도","거제시","기타",3,128.6224158332,"4",0,NA
"3160","경상남도","거제시","기타",3,128.6229397452,"4",0,NA
"3161","경상남도","거제시","기타",3,128.6259710717,"4",0,NA
"3162","경상남도","거제시","기타",3,128.6249505747,"4",0,NA
"3163","경상남도","거제시","기타",3,128.6257310848,"4",0,NA
"3164","경상남도","거제시","기타",3,128.6419671769,"4",0,NA
"3165","경상남도","거제시","기타",3,128.6957732627,"4",0,NA
"3166","경상남도","거제시","기타",3,128.6926570809,"4",0,NA
"3167","경상남도","거제시","기타",3,128.6846085871,"4",0,NA
"3168","경상남도","거제시","기타",3,128.6884752028,"4",0,NA
"3169","경상남도","거제시","기타",3,128.6060174734,"4",0,NA
"3180","경상남도","거제시","기타",3,128.6086189212,"4",0,NA
"3181","경상남도","거제시","기타",3,128.6260058903,"4",0,NA
"3182","경상남도","거제시","기타",3,128.629847163,"4",0,NA
"3183","경상남도","거제시","기타",3,128.6309956117,"4",0,NA
"3184","경상남도","거제시","기타",3,128.6215466625,"4",0,NA
"3185","경상남도","거제시","기타",3,128.609048708,"4",0,NA
"3186","경상남도","거제시","기타",3,128.6905984622,"4",0,NA
"3187","경상남도","거제시","기타",3,128.6908862063,"4",0,NA
"3188","경상남도","거제시","기타",3,128.6958543585,"4",0,NA
"3189","경상남도","거제시","기타",3,128.6928611,"4",0,NA
"3190","경상남도","거제시","지방도",3,128.6937272274,"4",0,NA
"3191","경상남도","거제시","기타",3,128.6919338848,"4",0,NA
"3192","경상남도","거제시","기타",3,128.6895325505,"4",0,NA
"3193","경상남도","거제시","기타",3,128.6154208853,"4",0,NA
"6146","경상남도","거제시","시도",2,128.722559,"02",50,NA
"6158","경상남도","거제시","지방도",1,128.709897,"01",80,NA
"6159","경상남도","거제시","지방도",1,128.709897,"01",80,NA
"6348","경상남도","거제시","일반국도",2,128.618057,"02",60,NA
"6400","경상남도","거제시","일반국도",2,128.596418,"01",70,NA
"6526","경상남도","거제시","일반국도",1,128.690481,"02",60,NA
"7399","경상남도","거제시","일반국도",1,128.608891,"02",60,NA
"7415","경상남도","거제시","시도",1,128.630595,"02",60,NA
"7497","경상남도","거제시","일반국도",2,128.693134,"02",60,NA
"7498","경상남도","거제시","일반국도",2,128.681093,"02",60,NA
"7504","경상남도","거제시","시도",2,128.690446,"02",50,NA
"7893","경상남도","거제시","일반국도",2,128.642319,"02",60,NA
"7894","경상남도","거제시","시도",2,128.582553,"01",70,NA
"8211","경상남도","거제시","지방도",2,128.635431,"02",50,NA
"8212","경상남도","거제시","시도",2,128.685773,"02",60,NA
"8213","경상남도","거제시","지방도",2,128.6882974,"01",80,NA
"8214","경상남도","거제시","지방도",2,128.645755,"01",60,NA
"8215","경상남도","거제시","일반국도",1,128.502406,"01",70,NA
"8233","경상남도","거제시","시도",1,128.721389,"02",30,NA
"8234","경상남도","거제시","시도",2,128.603184,"02",30,NA
"8235","경상남도","거제시","일반국도",1,128.656741,"02",30,NA
"8292","경상남도","거제시","시도",2,128.735778,"02",30,NA
"8293","경상남도","거제시","지방도",1,128.643918,"02",30,NA
"8294","경상남도","거제시","시도",2,128.642352,"02",30,NA
"8324","경상남도","거제시","시도",2,128.628551,"01",30,NA
"8460","경상남도","거제시","시도",1,128.576206,"01",70,NA
"8484","경상남도","거제시","일반국도",1,128.700944,"02",60,NA
"8504","경상남도","거제시","시도",2,128.692856,"02",30,NA
"8505","경상남도","거제시","시도",1,128.689711,"02",30,NA
"8506","경상남도","거제시","시도",2,128.690119,"02",30,NA
"8507","경상남도","거제시","일반국도",1,128.662677,"01",30,NA
"8508","경상남도","거제시","지방도",2,128.648311,"01",30,NA
"8509","경상남도","거제시","지방도",1,128.648311,"01",30,NA
"8579","경상남도","거제시","지방도",1,128.641696,"02",50,NA
"8580","경상남도","거제시","지방도",1,128.6318905,"02",50,NA
"8623","경상남도","거제시","시도",1,128.679342,"02",30,NA
"8624","경상남도","거제시","시도",1,128.690455,"01",30,NA
"8625","경상남도","거제시","일반국도",1,128.653271,"02",50,NA
"8626","경상남도","거제시","일반국도",2,128.652331,"01",50,NA
"8627","경상남도","거제시","일반국도",1,128.705911,"02",50,NA
"8628","경상남도","거제시","시도",2,128.609386,"01",30,NA
"8629","경상남도","거제시","시도",2,128.630172,"02",30,NA
"8630","경상남도","거제시","시도",1,128.716916,"01",30,NA
"8723","경상남도","거제시","시도",2,128.620635,"02",50,NA
"8724","경상남도","거제시","시도",1,128.626151,"02",50,NA
"8787","경상남도","거제시","일반국도",1,128.693716,"02",60,NA
