"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"445","경상남도","거창군","군도",3,127.914634,"04",0,NA
"446","경상남도","거창군","군도",3,127.914634,"04",0,NA
"447","경상남도","거창군","군도",3,127.914634,"04",0,NA
"448","경상남도","거창군","군도",3,127.914634,"04",0,NA
"449","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"450","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"451","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"452","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"453","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"454","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"455","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"456","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"457","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"458","경상남도","거창군","군도",3,127.9158472,"04",0,NA
"459","경상남도","거창군","군도",3,127.9158472,"04",0,NA
"460","경상남도","거창군","군도",3,127.9159158,"04",0,NA
"461","경상남도","거창군","군도",3,127.9159158,"04",0,NA
"462","경상남도","거창군","군도",3,127.909045,"04",0,NA
"463","경상남도","거창군","군도",3,127.909045,"04",0,NA
"464","경상남도","거창군","군도",3,127.909045,"04",0,NA
"465","경상남도","거창군","군도",3,127.909045,"04",0,NA
"466","경상남도","거창군","군도",3,127.9103234,"04",0,NA
"467","경상남도","거창군","군도",3,127.9103234,"04",0,NA
"468","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"469","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"470","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"5640","경상남도","거창군","군도",3,127.9106446,"04",0,NA
"5692","경상남도","거창군","군도",3,127.9048391,"04",0,NA
"5693","경상남도","거창군","군도",3,127.9048391,"04",0,NA
"5694","경상남도","거창군","군도",3,127.9161741,"04",0,NA
"5695","경상남도","거창군","군도",3,127.9161741,"04",0,NA
"5696","경상남도","거창군","군도",3,127.9161741,"04",0,NA
"5697","경상남도","거창군","군도",3,127.9161741,"04",0,NA
"5698","경상남도","거창군","군도",3,127.9161741,"04",0,NA
"5699","경상남도","거창군","군도",3,127.9106446,"04",0,NA
"5700","경상남도","거창군","군도",3,127.9046894,"04",0,NA
"5701","경상남도","거창군","군도",3,127.9046894,"04",0,NA
"5702","경상남도","거창군","군도",3,127.9046894,"04",0,NA
"5703","경상남도","거창군","군도",3,127.9046894,"04",0,NA
"5704","경상남도","거창군","군도",3,127.9118508,"04",0,NA
"5705","경상남도","거창군","군도",3,127.9118429,"04",0,NA
"5706","경상남도","거창군","군도",3,127.9109002,"04",0,NA
"5707","경상남도","거창군","군도",3,127.9109002,"04",0,NA
"5708","경상남도","거창군","군도",3,127.9109002,"04",0,NA
"5709","경상남도","거창군","군도",3,127.9109002,"04",0,NA
"5710","경상남도","거창군","군도",3,127.9235149,"04",0,NA
"5711","경상남도","거창군","군도",3,127.9235149,"04",0,NA
"5712","경상남도","거창군","군도",3,127.9235149,"04",0,NA
"5713","경상남도","거창군","군도",3,127.9235149,"04",0,NA
"5714","경상남도","거창군","군도",3,127.9120041,"04",0,NA
"5715","경상남도","거창군","군도",3,127.9120041,"04",0,NA
"5716","경상남도","거창군","군도",3,127.9120041,"04",0,NA
"5883","경상남도","거창군","일반국도",2,127.860603,"01",80,NA
"6153","경상남도","거창군","지방도",2,127.911718,"01",60,NA
"6358","경상남도","거창군","일반국도",2,127.865894,"01",60,NA
"7436","경상남도","거창군","군도",2,127.904276,"02",50,NA
"7465","경상남도","거창군","일반국도",3,127.943986,"01",60,NA
"7466","경상남도","거창군","지방도",3,127.918026,"01",60,NA
"7521","경상남도","거창군","일반국도",2,127.854364,"01",30,NA
"7522","경상남도","거창군","군도",1,127.899281,"01",50,NA
"7532","경상남도","거창군","일반국도",1,127.905821,"01",50,NA
"7552","경상남도","거창군","지방도",2,127.931608,"01",60,NA
"7603","경상남도","거창군","일반국도",2,127.895405,"01",80,NA
"7617","경상남도","거창군","일반국도",2,127.833147,"01",40,4.3
"7618","경상남도","거창군","일반국도",2,127.853078,"01",40,NA
"8088","경상남도","거창군","군도",1,127.905559,"02",50,NA
"8118","경상남도","거창군","군도",2,127.899085,"02",50,NA
"8119","경상남도","거창군","지방도",1,127.920299,"02",30,NA
"8120","경상남도","거창군","지방도",1,127.911363,"01",50,NA
"8157","경상남도","거창군","일반국도",3,127.955976,"01",50,NA
"8160","경상남도","거창군","고속국도",2,128.064729,"01",100,10.3
"8161","경상남도","거창군","고속국도",2,128.064729,"01",100,10.3
"8169","경상남도","거창군","일반국도",2,127.901271,"02",50,NA
"8196","경상남도","거창군","일반국도",1,127.952288,"01",60,NA
"8197","경상남도","거창군","군도",1,127.922664,"01",50,NA
"8198","경상남도","거창군","지방도",1,127.951036,"01",60,NA
"8200","경상남도","거창군","일반국도",3,127.932227,"02",60,NA
"8443","경상남도","거창군","지방도",2,127.937677,"01",50,NA
"8444","경상남도","거창군","지방도",2,127.911705,"01",60,NA
"8445","경상남도","거창군","지방도",1,128.001883,"01",60,NA
"8446","경상남도","거창군","지방도",2,128.001883,"01",60,NA
"8701","경상남도","거창군","군도",2,127.910038,"02",30,NA
"8702","경상남도","거창군","군도",1,127.910011,"02",30,NA
"8703","경상남도","거창군","일반국도",1,127.945878,"01",30,NA
"8704","경상남도","거창군","군도",2,127.913968,"01",30,NA
"8705","경상남도","거창군","군도",1,127.915283,"01",30,NA
"8725","경상남도","거창군","일반국도",1,127.854288,"01",60,NA
"8783","경상남도","거창군","지방도",1,127.929725,"01",50,NA
"11526","경상남도","거창군","군도",3,127.9119866,"04",0,NA
"11527","경상남도","거창군","군도",3,127.9119866,"04",0,NA
"11528","경상남도","거창군","군도",3,127.9130922,"04",0,NA
"11529","경상남도","거창군","군도",3,127.9130922,"04",0,NA
"11531","경상남도","거창군","군도",3,127.9130922,"04",0,NA
