"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3259","경상북도","경산","시도",1,128.8364188,"2",30,NA
"3260","경상북도","경산","지방도",1,128.7758449,"2",30,NA
"3261","경상북도","경산","지방도",1,128.771827,"2",50,NA
"3262","경상북도","경산","지방도",2,128.738668,"2",50,NA
"6835","경상북도","경산","기타",2,128.850538,"2",70,NA
"7067","경상북도","경산","시도",2,128.8384173,"1",70,NA
"10856","경상북도","경산","지방도",1,128.7878934,"2",70,NA
"10857","경상북도","경산","지방도",1,128.8251309,"2",70,NA
"10858","경상북도","경산","지방도",1,128.5960722,"2",60,NA
"10885","경상북도","경산","시도",1,128.5819202,"2",70,NA
"10895","경상북도","경산","시도",2,128.8186086,"2",80,NA
"10896","경상북도","경산","시도",1,128.8130271,"1",80,NA
"10897","경상북도","경산","시도",2,128.6295291,"2",80,NA
"10929","경상북도","경산","시도",1,128.8175311,"2",60,NA
"10930","경상북도","경산","기타",1,128.8100541,"1",60,NA
"10931","경상북도","경산","일반국도",2,128.7727019,"2",70,NA
"11001","경상북도","경산","기타",2,128.7726141,"2",70,NA
"11002","경상북도","경산","시도",2,128.4275597,"2",60,NA
"11009","경상북도","경산","시도",1,128.8290967,"2",60,NA
"11010","경상북도","경산","시도",1,128.1813485,"2",70,NA
"11023","경상북도","경산","시도",2,128.1522218,"2",50,NA
"11674","경상북도","경산","시도",1,128.6487235,"2",60,NA
"11680","경상북도","경산","일반국도",2,129.1525317,"2",80,NA
"11682","경상북도","경산","일반국도",1,128.7181253,"2",30,NA
"11683","경상북도","경산","시도",1,128.1748353,"2",30,NA
"11694","경상북도","경산","일반국도",2,128.7600792,"2",60,NA
"11695","경상북도","경산","시도",1,128.8244336,"2",30,NA
"11696","경상북도","경산","지방도",2,129.3697712,"2",70,NA
"12068","경상북도","경산","일반국도",1,128.8326255,"2",50,NA
"13127","경상북도","경산","기타",1,128.8410817,"2",70,NA
"13167","경상북도","경산","기타",2,128.8172995,"2",80,NA
"13171","경상북도","경산","시도",1,128.7591394,"2",60,NA
"13172","경상북도","경산","시도",1,128.8361739,"3",50,NA
"13413","경상북도","경산","기타",2,128.8343977,"1",60,NA
"13467","경상북도","경산","기타",2,128.7411596,"2",50,NA
"13533","경상북도","경산","일반국도",2,128.7272622,"1",60,NA
"13534","경상북도","경산","기타",1,128.770401,"1",70,NA
"13535","경상북도","경산","기타",2,128.759831,"3",60,NA
"13565","경상북도","경산","일반국도",1,128.8020039,"1",80,NA
"13569","경상북도","경산","기타",2,128.8154882,"1",70,NA
"13576","경상북도","경산","일반국도",2,128.7997343,"2",70,NA
"13581","경상북도","경산","시도",2,128.7170209,"3",60,NA
"13582","경상북도","경산","일반국도",1,128.8434878,"1",80,NA
"13583","경상북도","경산","시도",2,128.8304136,"2",60,NA
"13601","경상북도","경산","시도",2,128.7535208,"2",50,NA
"13612","경상북도","경산","기타",2,128.773189,"2",70,NA
"13616","경상북도","경산","시도",1,128.763866,"2",60,NA
"13630","경상북도","경산","기타",2,128.8129305,"2",80,NA
"13645","경상북도","경산","시도",2,128.7406752,"2",60,NA
"13652","경상북도","경산","시도",2,128.7486025,"2",50,NA
"13662","경상북도","경산","일반국도",2,128.7722012,"2",70,NA
"13679","경상북도","경산","기타",2,128.7269721,"2",50,NA
"13705","경상북도","경산","기타",1,128.7489429,"2",60,NA
"13706","경상북도","경산","일반국도",1,128.7833704,"2",80,NA
"13707","경상북도","경산","일반국도",2,128.7962221,"2",80,NA
"13708","경상북도","경산","기타",2,128.7710400246,"2",60,NA
"14079","경상북도","경산","시도",1,128.842701,"1",30,NA
"14080","경상북도","경산","시도",1,128.4021702,"1",30,NA
"14287","경상북도","경산","일반국도",2,128.7292144,"2",80,NA
"17288","경상북도","경산","일반국도",2,128.9554746,"2",60,NA
"17368","경상북도","경산","일반국도",1,128.8808098,"2",60,NA
