"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"16708","경상북도","경산시","시도",3,128.8073077,"4",0,NA
"16709","경상북도","경산시","시도",3,128.822026,"4",0,NA
"16710","경상북도","경산시","시도",3,128.819011,"4",0,NA
"16941","경상북도","경산시","시도",3,128.7185768,"4",0,NA
"16942","경상북도","경산시","시도",3,128.758008,"4",0,NA
"16943","경상북도","경산시","시도",3,128.7584025,"4",0,NA
"16944","경상북도","경산시","시도",3,128.729371,"4",0,NA
"16945","경상북도","경산시","시도",3,128.729371,"4",0,NA
"16946","경상북도","경산시","시도",3,128.818508,"4",0,NA
"16947","경상북도","경산시","시도",3,128.8098182,"4",0,NA
"16965","경상북도","경산시","시도",3,128.741361,"4",0,NA
"16966","경상북도","경산시","시도",3,128.7203622,"4",0,NA
"16967","경상북도","경산시","시도",3,128.7180988,"4",0,NA
"16968","경상북도","경산시","시도",3,128.7203305,"4",0,NA
"17047","경상북도","경산시","시도",3,128.815312,"4",0,NA
"17048","경상북도","경산시","시도",3,128.8159528,"4",0,NA
"17049","경상북도","경산시","시도",3,128.8167979,"4",0,NA
"17050","경상북도","경산시","시도",3,128.7425244,"4",0,NA
"17080","경상북도","경산시","시도",3,128.751612,"4",0,NA
"17081","경상북도","경산시","시도",3,128.719912,"4",0,NA
"17082","경상북도","경산시","시도",3,128.813316,"4",0,NA
"17679","경상북도","경산시","시도",3,128.450834,"4",0,NA
"17680","경상북도","경산시","시도",3,128.7482781,"4",0,NA
"17681","경상북도","경산시","시도",3,128.434384,"4",0,NA
"17682","경상북도","경산시","시도",3,128.7321107,"4",0,NA
"17683","경상북도","경산시","지방도",3,128.451638,"4",0,NA
"17684","경상북도","경산시","시도",3,128.451695,"4",0,NA
"17685","경상북도","경산시","시도",3,128.451661,"4",0,NA
"17686","경상북도","경산시","시도",3,128.7292121,"4",0,NA
"17687","경상북도","경산시","시도",3,128.7391652,"4",0,NA
"17688","경상북도","경산시","일반국도",3,128.7376579,"4",0,NA
"17689","경상북도","경산시","시도",3,128.7210324,"4",0,NA
"17721","경상북도","경산시","지방도",3,128.451291,"4",0,NA
"17722","경상북도","경산시","시도",3,128.440887,"4",0,NA
"17723","경상북도","경산시","시도",3,128.7335466,"4",0,NA
"17724","경상북도","경산시","시도",3,128.435853,"4",0,NA
"17725","경상북도","경산시","시도",3,128.7348697,"4",0,NA
"17726","경상북도","경산시","일반국도",3,128.7370157,"4",0,NA
"17727","경상북도","경산시","일반국도",3,128.441167,"4",0,NA
"17728","경상북도","경산시","지방도",3,128.442375,"4",0,NA
"17756","경상북도","경산시","지방도",3,128.451628,"4",0,NA
"17757","경상북도","경산시","지방도",3,128.451971,"4",0,NA
"18491","경상북도","경산시","시도",3,128.431931,"4",0,NA
"18492","경상북도","경산시","시도",3,128.7269219,"4",0,NA
