"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6833","경상북도","경주","일반국도",1,129.3282457,"1",80,NA
"7065","경상북도","경주","일반국도",2,129.2263563,"3",60,NA
"10813","경상북도","경주","일반국도",1,129.479925,"2",80,NA
"10814","경상북도","경주","일반국도",2,129.4580928,"1",60,NA
"10815","경상북도","경주","일반국도",1,129.433066,"1",60,NA
"10817","경상북도","경주","시도",2,128.6166862,"1",60,NA
"10846","경상북도","경주","일반국도",1,129.275824,"2",70,NA
"10847","경상북도","경주","일반국도",1,129.3704688,"2",70,NA
"10860","경상북도","경주","시도",2,129.1695076,"2",60,NA
"10862","경상북도","경주","일반국도",2,129.479925,"1",60,NA
"10863","경상북도","경주","일반국도",2,128.1691647,"1",60,NA
"10903","경상북도","경주","일반국도",1,129.337636,"2",70,NA
"10904","경상북도","경주","일반국도",1,129.1254896,"2",70,NA
"10905","경상북도","경주","일반국도",2,129.2336411,"2",80,NA
"10906","경상북도","경주","일반국도",2,129.4580928,"2",80,NA
"10909","경상북도","경주","기타",1,129.2742141,"2",60,NA
"10910","경상북도","경주","일반국도",1,129.3196178,"2",50,NA
"10921","경상북도","경주","일반국도",2,128.6640841,"1",60,NA
"10958","경상북도","경주","일반국도",1,129.0770192,"1",60,NA
"10959","경상북도","경주","일반국도",2,128.0563198,"1",60,NA
"10996","경상북도","경주","기타",1,128.4429968,"2",70,NA
"11160","경상북도","경주","일반국도",2,128.1090825,"1",60,NA
"11166","경상북도","경주","일반국도",2,129.4405626,"2",50,NA
"11167","경상북도","경주","일반국도",1,129.3167086,"2",60,NA
"11168","경상북도","경주","일반국도",1,129.3167086,"2",60,NA
"11169","경상북도","경주","일반국도",2,129.3311036,"2",60,NA
"11170","경상북도","경주","일반국도",2,129.3206325,"2",60,NA
"11171","경상북도","경주","일반국도",1,129.2507591,"2",70,NA
"11172","경상북도","경주","일반국도",2,129.2783751,"2",70,NA
"11173","경상북도","경주","일반국도",2,129.2710343,"2",70,NA
"11174","경상북도","경주","일반국도",1,129.2548085,"2",70,NA
"11175","경상북도","경주","일반국도",1,129.3978483,"2",50,NA
"11197","경상북도","경주","일반국도",1,129.2992513,"2",60,NA
"11198","경상북도","경주","일반국도",1,129.2377616,"2",80,NA
"11199","경상북도","경주","일반국도",2,129.3042061,"2",80,NA
"11200","경상북도","경주","기타",1,129.4356935,"2",70,NA
"11210","경상북도","경주","일반국도",1,128.2600913,"2",80,NA
"11213","경상북도","경주","시도",1,129.2188028,"2",60,NA
"11214","경상북도","경주","기타",2,128.6571863,"2",70,NA
"11415","경상북도","경주","일반국도",2,129.2048785,"2",80,NA
"11416","경상북도","경주","시도",2,128.3654952,"2",50,NA
"11633","경상북도","경주","일반국도",1,129.4444039,"2",80,NA
"11634","경상북도","경주","일반국도",1,129.294361,"2",70,NA
"11635","경상북도","경주","일반국도",1,128.4340394,"2",60,NA
"11673","경상북도","경주","일반국도",2,128.7328857,"2",60,NA
"11677","경상북도","경주","일반국도",2,129.2151122,"1",60,NA
"11678","경상북도","경주","시도",2,129.2481998,"2",50,NA
"11688","경상북도","경주","일반국도",2,129.2287522,"1",30,NA
"11689","경상북도","경주","시도",1,129.332216,"2",30,NA
"11690","경상북도","경주","시도",2,129.1318109,"2",30,NA
"11691","경상북도","경주","시도",2,129.220871,"1",30,NA
"11692","경상북도","경주","시도",1,129.1888216,"2",30,NA
"11693","경상북도","경주","시도",2,128.7257302,"1",30,NA
"11702","경상북도","경주","시도",1,129.223594,"2",60,NA
"11703","경상북도","경주","시도",1,129.4014664,"2",60,NA
"12088","경상북도","경주","시도",1,129.2783751,"2",70,NA
"13139","경상북도","경주","일반국도",2,129.3382719,"2",70,NA
"13141","경상북도","경주","일반국도",2,129.3382719,"2",70,NA
"13142","경상북도","경주","일반국도",2,129.3826765,"2",70,NA
"13143","경상북도","경주","일반국도",2,129.3826765,"2",70,NA
"13158","경상북도","경주","시도",2,129.2025669,"2",60,NA
"13163","경상북도","경주","일반국도",2,129.4696485,"2",70,NA
"13164","경상북도","경주","일반국도",2,129.321257,"2",60,NA
"13465","경상북도","경주","일반국도",2,129.3358275,"2",60,NA
"13541","경상북도","경주","일반국도",1,129.3356161,"1",60,NA
"13556","경상북도","경주","기타",2,129.159661,"1",60,NA
"13557","경상북도","경주","기타",1,129.1864929,"1",60,NA
"13558","경상북도","경주","일반국도",2,129.2044633,"1",80,NA
"13559","경상북도","경주","일반국도",1,129.3217071,"1",80,NA
"13563","경상북도","경주","일반국도",1,129.2631044,"1",60,NA
"13567","경상북도","경주","시도",1,129.2061837,"1",50,NA
"13568","경상북도","경주","기타",1,129.2074879,"1",50,NA
"13571","경상북도","경주","일반국도",1,129.2587367,"2",60,NA
"13577","경상북도","경주","시도",2,129.0302294,"1",60,NA
"13578","경상북도","경주","시도",2,129.2649225,"2",60,NA
"13592","경상북도","경주","시도",2,129.2025179,"1",60,NA
"13598","경상북도","경주","일반국도",2,129.2353181,"2",60,NA
"13599","경상북도","경주","일반국도",2,129.2108046,"2",60,NA
"13609","경상북도","경주","일반국도",1,129.2334053,"2",60,NA
"13624","경상북도","경주","시도",1,129.1631589,"2",60,NA
"13625","경상북도","경주","시도",1,129.2031269,"2",60,NA
"13633","경상북도","경주","일반국도",2,129.295006,"2",80,NA
"13646","경상북도","경주","일반국도",2,129.2454343,"2",80,NA
"13654","경상북도","경주","일반국도",1,129.2338217,"2",60,NA
"13675","경상북도","경주","기타",2,129.4418343,"1",70,NA
"13682","경상북도","경주","일반국도",1,129.2402806,"2",80,NA
"13687","경상북도","경주","일반국도",2,129.2334053,"2",60,NA
"13688","경상북도","경주","일반국도",2,129.1403522,"2",80,NA
"13689","경상북도","경주","시도",1,129.2031166,"2",80,NA
"14053","경상북도","경주","시도",1,128.9351664,"1",30,NA
"14093","경상북도","경주","시도",2,128.9626323,"1",30,NA
"14250","경상북도","경주","일반국도",2,129.0470924,"2",80,NA
"14251","경상북도","경주","일반국도",1,129.0867142,"2",80,NA
"14266","경상북도","경주","일반국도",1,129.2014654,"2",80,NA
"14271","경상북도","경주","일반국도",2,129.2474265,"2",80,NA
"14272","경상북도","경주","일반국도",1,129.2624903,"2",80,NA
"17295","경상북도","경주","일반국도",2,128.9194884,"2",70,NA
