"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"570","충청남도","계룡시","시도",2,127.25861,"2",60,NA
"1046","충청남도","계룡시","시도",2,127.269437,"2",30,NA
"1047","충청남도","계룡시","시도",2,127.269884,"2",40,NA
"1274","충청남도","계룡시","일반국도",1,127.242038,"2",70,NA
"1275","충청남도","계룡시","일반국도",2,127.240178,"2",70,NA
"1299","충청남도","계룡시","시도",1,127.261642,"2",60,NA
"1300","충청남도","계룡시","시도",2,127.261396,"2",60,NA
"2140","충청남도","계룡시","시도",2,127.249215,"2",60,NA
"2141","충청남도","계룡시","시도",1,127.245032,"2",60,NA
"2142","충청남도","계룡시","시도",2,127.238438,"2",30,NA
"2143","충청남도","계룡시","시도",1,127.238438,"1",30,NA
"2144","충청남도","계룡시","시도",1,127.242965,"1",30,NA
"2145","충청남도","계룡시","시도",1,127.236847,"2",30,NA
"2146","충청남도","계룡시","시도",2,127.247118,"2",30,NA
