"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1573","인천광역시","계양구","기타",2,126.7582499,"2",30,NA
"1574","인천광역시","계양구","특별시도",1,126.7487485,"2",50,NA
"1582","인천광역시","계양구","특별시도",2,126.7225228,"2",50,NA
"2293","인천광역시","계양구","특별시도",1,126.7286553,"2",50,NA
"2297","인천광역시","계양구","특별시도",1,126.7453769,"2",30,NA
"6101","인천광역시","계양구","기타",2,126.7007075,"1",50,NA
"6995","인천광역시","계양구","지방도",1,126.7575633,"2",60,NA
"6996","인천광역시","계양구","지방도",2,126.7571918,"2",60,NA
"9893","인천광역시","계양구","특별시도",1,126.7240185,"2",50,NA
"9913","인천광역시","계양구","특별시도",1,126.7440292,"1",50,NA
"9927","인천광역시","계양구","특별시도",1,126.722774,"2",50,NA
"10001","인천광역시","계양구","기타",1,126.700743,"1",50,NA
"10008","인천광역시","계양구","기타",2,126.7498028,"1",50,NA
"10053","인천광역시","계양구","일반국도",1,126.7789702,"2",80,NA
"10089","인천광역시","계양구","특별시도",1,126.7333859,"2",60,NA
"10114","인천광역시","계양구","특별시도",2,126.7220115,"2",50,NA
"10118","인천광역시","계양구","특별시도",1,126.7218176,"2",60,NA
"10119","인천광역시","계양구","특별시도",3,126.7362005,"2",50,NA
"10122","인천광역시","계양구","특별시도",2,126.722784,"1",50,NA
"10123","인천광역시","계양구","특별시도",1,126.7351104,"1",50,NA
"10201","인천광역시","계양구","특별시도",3,126.7460934,"2",100,NA
"10202","인천광역시","계양구","특별시도",3,126.7462221,"2",100,NA
"10206","인천광역시","계양구","특별시도",1,126.7292402,"1",50,NA
"10207","인천광역시","계양구","특별시도",1,126.7557961,"1",50,NA
"10208","인천광역시","계양구","특별시도",2,126.7629684,"1",50,NA
"10210","인천광역시","계양구","기타",3,126.732075,"2",50,NA
"10211","인천광역시","계양구","기타",3,126.7323904,"2",50,NA
"10212","인천광역시","계양구","특별시도",1,126.7305717,"1",50,NA
"10217","인천광역시","계양구","특별시도",1,126.7423487,"2",60,NA
"10231","인천광역시","계양구","특별시도",2,126.7693509,"1",60,NA
"10241","인천광역시","계양구","특별시도",2,126.7425025,"2",50,NA
"10247","인천광역시","계양구","특별시도",2,126.7483823,"1",50,NA
"10254","인천광역시","계양구","특별시도",2,126.7102431,"1",50,NA
"12171","인천광역시","계양구","기타",2,126.743771,"2",30,NA
"12172","인천광역시","계양구","특별시도",2,126.7224957,"2",50,NA
"12180","인천광역시","계양구","특별시도",2,126.7431541,"2",50,NA
"12181","인천광역시","계양구","특별시도",2,126.7423334,"2",60,NA
"12219","인천광역시","계양구","기타",1,126.7345174,"2",30,NA
"12220","인천광역시","계양구","특별시도",2,126.7434974,"2",30,NA
"12221","인천광역시","계양구","특별시도",1,126.7429878,"2",30,NA
"12222","인천광역시","계양구","기타",1,126.7435243,"2",30,NA
"12223","인천광역시","계양구","특별시도",1,126.7586948,"2",30,NA
"12248","인천광역시","계양구","기타",2,126.7420598,"2",30,NA
"12249","인천광역시","계양구","기타",1,126.7411639,"2",30,NA
"12250","인천광역시","계양구","기타",1,126.7415609,"2",30,NA
"12251","인천광역시","계양구","특별시도",1,126.7439856,"2",50,NA
"12252","인천광역시","계양구","기타",1,126.7418506,"2",30,NA
"12253","인천광역시","계양구","기타",2,126.7165412,"2",30,NA
"12254","인천광역시","계양구","기타",1,126.7169489,"2",30,NA
"12255","인천광역시","계양구","기타",2,126.7361053,"2",30,NA
"12256","인천광역시","계양구","기타",1,126.7363359,"2",30,NA
"12257","인천광역시","계양구","기타",1,126.7301883,"2",30,NA
"12258","인천광역시","계양구","특별시도",1,126.7298182,"2",30,NA
"12259","인천광역시","계양구","특별시도",2,126.7280586,"2",30,NA
"12260","인천광역시","계양구","특별시도",1,126.7278655,"2",30,NA
"12261","인천광역시","계양구","특별시도",2,126.7192073,"2",30,NA
"12262","인천광역시","계양구","특별시도",1,126.7194434,"2",30,NA
"12263","인천광역시","계양구","기타",2,126.7792942,"2",30,NA
"12264","인천광역시","계양구","기타",1,126.7174264,"2",30,NA
"12265","인천광역시","계양구","특별시도",2,126.7457988,"2",30,NA
"12266","인천광역시","계양구","기타",1,126.7188533,"1",30,NA
"12267","인천광역시","계양구","특별시도",1,126.7190786,"2",50,NA
"12268","인천광역시","계양구","기타",1,126.7422797,"1",30,NA
"12269","인천광역시","계양구","특별시도",1,126.7403539,"2",30,NA
"12270","인천광역시","계양구","기타",2,126.7336805,"1",30,NA
"12291","인천광역시","계양구","기타",1,126.7184188,"1",30,NA
"12292","인천광역시","계양구","기타",2,126.7187567,"2",30,NA
"12293","인천광역시","계양구","기타",1,126.7479338,"2",30,NA
"12294","인천광역시","계양구","기타",1,126.7477568,"2",30,NA
"12295","인천광역시","계양구","기타",1,126.7417969,"2",30,NA
"13973","인천광역시","계양구","일반국도",3,126.753053,"4",0,NA
"13974","인천광역시","계양구","일반국도",3,126.753572,"4",0,NA
"13975","인천광역시","계양구","일반국도",3,126.755973,"4",0,NA
"13976","인천광역시","계양구","일반국도",3,126.756155,"4",0,NA
"13977","인천광역시","계양구","일반국도",3,126.758597,"4",0,NA
"13978","인천광역시","계양구","일반국도",3,126.758596,"4",0,NA
"13979","인천광역시","계양구","일반국도",3,126.701146,"4",0,NA
"13980","인천광역시","계양구","일반국도",3,126.7250477,"4",0,NA
"13981","인천광역시","계양구","일반국도",3,126.7372765,"4",0,NA
"16732","인천광역시","계양구","일반국도",3,126.755977,"4",0,NA
"18125","인천광역시","계양구","일반국도",3,126.7352168,"4",0,NA
"18126","인천광역시","계양구","일반국도",3,126.7208965,"4",0,NA
"18127","인천광역시","계양구","일반국도",3,126.7343305,"4",0,NA
"18128","인천광역시","계양구","일반국도",3,126.710869,"4",0,NA
"18129","인천광역시","계양구","일반국도",3,126.745705,"4",0,NA
"18130","인천광역시","계양구","일반국도",3,126.738696,"4",0,NA
"18145","인천광역시","계양구","일반국도",3,126.723313,"4",0,NA
"18146","인천광역시","계양구","일반국도",3,126.7218755,"4",0,NA
"18147","인천광역시","계양구","일반국도",3,126.7097873,"4",0,NA
"18148","인천광역시","계양구","일반국도",3,126.7385214,"4",0,NA
"18149","인천광역시","계양구","일반국도",3,126.7561336,"4",0,NA
"18150","인천광역시","계양구","일반국도",3,126.7340477,"4",0,NA
"18151","인천광역시","계양구","일반국도",3,126.7406026,"4",0,NA
"18152","인천광역시","계양구","일반국도",3,126.736022,"4",0,NA
