"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3610","경상북도","고령","군도",1,128.2514566,"2",60,NA
"3634","경상북도","고령","군도",1,128.2739224,"2",60,NA
"3683","경상북도","고령","일반국도",2,128.2739224,"1",30,NA
"5587","경상북도","고령","시도",2,128.3609214,"1",30,NA
"5588","경상북도","고령","지방도",2,128.360685,"1",30,NA
"5589","경상북도","고령","지방도",2,128.1696823,"1",30,NA
"10889","경상북도","고령","일반국도",2,128.2832977,"2",80,NA
"10890","경상북도","고령","일반국도",1,128.8932975,"2",80,NA
"10902","경상북도","고령","지방도",2,129.3826765,"2",60,NA
"10968","경상북도","고령","군도",1,128.2704935,"2",50,NA
"10969","경상북도","고령","군도",2,128.4559628,"1",30,NA
"10970","경상북도","고령","군도",1,128.8378183,"1",60,NA
"10979","경상북도","고령","기타",2,128.4907366,"1",60,NA
"11182","경상북도","고령","기타",2,128.8223177,"2",70,NA
"11412","경상북도","고령","고속국도",2,128.4077122,"2",100,NA
"13407","경상북도","고령","일반국도",1,128.4302966,"2",60,NA
"13464","경상북도","고령","시도",2,128.4634703,"1",60,NA
"13651","경상북도","고령","군도",2,128.448665,"2",60,NA
"13653","경상북도","고령","군도",1,128.3464858,"2",60,NA
"13671","경상북도","고령","일반국도",2,128.2361208,"1",80,NA
"13685","경상북도","고령","기타",1,128.3872907,"1",60,NA
"14280","경상북도","고령","군도",2,128.2019252,"1",60,NA
"14281","경상북도","고령","일반국도",1,128.2169662,"1",60,NA
"14290","경상북도","고령","일반국도",2,128.3387116,"2",80,NA
"17270","경상북도","고령","지방도",1,128.3476404,"1",30,NA
"17349","경상북도","고령","군도",1,128.248197,"1",60,NA
"17350","경상북도","고령","일반국도",1,128.4077122,"1",60,NA
"17351","경상북도","고령","군도",1,128.3448362,"2",60,NA
"17379","경상북도","고령","군도",2,128.2903747,"1",30,NA
"17380","경상북도","고령","지방도",2,128.2429624,"1",30,NA
"17381","경상북도","고령","일반국도",1,128.2429624,"1",30,NA
