"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1153","경상북도","고속도로","고속국도",2,127.9938318,"2",110,NA
"1436","경상북도","고속도로","고속국도",2,128.1129454,"2",110,NA
"1654","경상북도","고속도로","고속국도",2,128.0992829,"2",110,NA
"5980","경상북도","고속도로","고속국도",1,128.5016685,"2",110,NA
"6834","경상북도","고속도로","고속국도",2,128.7356714,"1",110,NA
"7073","경상북도","고속도로","고속국도",1,128.2353803,"2",100,NA
"7074","경상북도","고속도로","고속국도",1,128.2342121,"2",100,NA
"7075","경상북도","고속도로","고속국도",1,128.2576468,"2",100,NA
"7076","경상북도","고속도로","고속국도",1,128.2580939,"2",100,NA
"11207","경상북도","고속도로","고속국도",2,128.3998771,"4",100,NA
"11208","경상북도","고속도로","고속국도",1,128.6773043,"4",100,NA
"11209","경상북도","고속도로","시도",2,129.0653433,"2",60,NA
"11413","경상북도","고속도로","시도",1,129.368049,"2",60,NA
"11441","경상북도","고속도로","고속국도",2,128.1110262,"2",110,NA
"11442","경상북도","고속도로","고속국도",2,129.5716348,"2",110,NA
"11667","경상북도","고속도로","고속국도",2,128.5481125,"2",100,NA
"11668","경상북도","고속도로","고속국도",1,128.6983015,"2",100,NA
"12050","경상북도","고속도로","고속국도",2,129.3417811,"2",100,NA
"12051","경상북도","고속도로","고속국도",1,129.3417811,"2",100,NA
"12052","경상북도","고속도로","고속국도",2,129.2526478,"2",100,NA
"12053","경상북도","고속도로","고속국도",2,129.2526478,"2",100,NA
"12054","경상북도","고속도로","고속국도",2,129.2526478,"2",100,NA
"12055","경상북도","고속도로","고속국도",2,129.2526478,"2",100,NA
"12056","경상북도","고속도로","고속국도",1,129.3417811,"2",100,NA
"12057","경상북도","고속도로","고속국도",1,129.3417811,"2",100,NA
"12058","경상북도","고속도로","시도",1,128.3386414,"2",50,NA
"12059","경상북도","고속도로","시도",1,129.4308221,"2",60,NA
"12074","경상북도","고속도로","고속국도",1,129.0124286,"3",100,NA
"12075","경상북도","고속도로","고속국도",1,129.0124286,"3",100,NA
"12076","경상북도","고속도로","고속국도",2,129.0762114,"3",100,NA
"12077","경상북도","고속도로","고속국도",1,129.0657476,"3",100,NA
"12078","경상북도","고속도로","고속국도",1,128.5295427,"2",100,NA
"12079","경상북도","고속도로","고속국도",1,128.5313577,"2",100,NA
"12080","경상북도","고속도로","고속국도",2,128.5185872,"2",100,NA
"12081","경상북도","고속도로","고속국도",2,128.5217058,"2",100,NA
"12082","경상북도","고속도로","고속국도",2,128.5183627,"2",100,NA
"12083","경상북도","고속도로","고속국도",2,128.5183627,"2",100,NA
"12084","경상북도","고속도로","고속국도",1,128.5295854,"2",100,NA
"12085","경상북도","고속도로","고속국도",1,128.5295854,"2",100,NA
"12086","경상북도","고속도로","일반국도",1,128.5285847,"2",70,NA
"12087","경상북도","고속도로","일반국도",1,128.5285847,"1",60,NA
"13152","경상북도","고속도로","고속국도",2,128.6990863,"4",100,NA
"13153","경상북도","고속도로","고속국도",2,128.2369702,"2",100,NA
"13154","경상북도","고속도로","고속국도",2,128.2372718,"2",100,NA
"13155","경상북도","고속도로","고속국도",2,128.2353803,"2",100,NA
"13156","경상북도","고속도로","고속국도",2,128.2364204,"2",100,NA
"13414","경상북도","고속도로","고속국도",1,128.6985519,"4",100,NA
"13415","경상북도","고속도로","고속국도",1,128.6985519,"4",100,NA
"13416","경상북도","고속도로","고속국도",1,128.6985519,"4",100,NA
"13417","경상북도","고속도로","고속국도",1,128.6985519,"4",100,NA
"13418","경상북도","고속도로","고속국도",1,128.7658946,"4",100,NA
"13419","경상북도","고속도로","고속국도",1,128.7658946,"4",100,NA
"13420","경상북도","고속도로","고속국도",1,128.7658946,"4",100,NA
"13421","경상북도","고속도로","고속국도",1,128.7658946,"4",100,NA
"13422","경상북도","고속도로","고속국도",2,128.765701,"4",100,NA
"13423","경상북도","고속도로","고속국도",2,128.765701,"4",100,NA
"13424","경상북도","고속도로","고속국도",2,128.7658946,"4",100,NA
"13425","경상북도","고속도로","고속국도",2,128.765701,"4",100,NA
"13426","경상북도","고속도로","고속국도",2,128.6990863,"4",100,NA
"13427","경상북도","고속도로","고속국도",2,128.6990863,"4",100,NA
"13428","경상북도","고속도로","고속국도",2,128.6990863,"4",100,NA
"13451","경상북도","고속도로","고속국도",2,128.095419,"1",110,NA
"13452","경상북도","고속도로","고속국도",2,128.095419,"1",110,NA
"13453","경상북도","고속도로","고속국도",2,128.0532701,"1",110,NA
"13454","경상북도","고속도로","고속국도",2,128.0532701,"1",110,NA
"13455","경상북도","고속도로","고속국도",1,128.7559245,"1",100,NA
"13456","경상북도","고속도로","고속국도",1,128.7559245,"1",100,NA
"13457","경상북도","고속도로","고속국도",1,128.6877578,"2",100,NA
"13458","경상북도","고속도로","고속국도",1,128.6877578,"1",100,NA
"13562","경상북도","고속도로","고속국도",2,128.0686172,"1",100,NA
"13590","경상북도","고속도로","고속국도",1,128.1566205,"2",110,NA
"13591","경상북도","고속도로","고속국도",1,128.2267103,"2",100,NA
"13596","경상북도","고속도로","고속국도",1,128.525172,"2",100,NA
