"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3846","경기도","고양시","지방도",3,126.7078191,"1",80,NA
"3847","경기도","고양시","지방도",3,126.770311,"1",80,NA
"3848","경기도","고양시","지방도",3,126.861351,"1",80,NA
"3849","경기도","고양시","지방도",3,126.817881,"2",60,NA
"3850","경기도","고양시","시도",3,126.873491,"2",60,NA
"3857","경기도","고양시","지방도",3,126.876651,"2",60,NA
"3900","경기도","고양시","지방도",3,126.809661,"2",60,NA
"3901","경기도","고양시","지방도",3,126.809661,"2",60,NA
"3906","경기도","고양시","지방도",3,126.803131,"1",80,NA
"3907","경기도","고양시","시도",3,126.7143799,"1",50,NA
"3911","경기도","고양시","지방도",3,126.742995,"2",60,NA
"3912","경기도","고양시","시도",3,126.828374,"2",60,NA
"3913","경기도","고양시","시도",3,126.7546539,"2",50,NA
"3922","경기도","고양시","일반국도",3,126.9008528,"1",60,NA
"3925","경기도","고양시","시도",3,126.798641,"1",60,NA
"3926","경기도","고양시","일반국도",3,126.859991,"2",60,NA
"3932","경기도","고양시","시도",3,126.733601,"2",50,NA
"3943","경기도","고양시","일반국도",3,126.746372,"1",90,NA
"3944","경기도","고양시","일반국도",3,126.7461896,"1",90,NA
"3945","경기도","고양시","지방도",3,126.778011,"2",60,NA
"4167","경기도","고양시","일반국도",3,126.894591,"1",60,NA
"4314","경기도","고양시","시도",3,126.7552719,"2",60,NA
"4315","경기도","고양시","시도",3,126.7482887,"2",50,NA
"4316","경기도","고양시","시도",3,126.867952,"2",60,NA
"4317","경기도","고양시","시도",3,126.863665,"2",60,NA
"4318","경기도","고양시","시도",3,126.866085,"2",60,NA
"4319","경기도","고양시","시도",3,126.746585,"2",50,NA
"4320","경기도","고양시","시도",3,126.7979791,"2",60,NA
"4327","경기도","고양시","지방도",3,126.867621,"2",60,NA
"4328","경기도","고양시","지방도",3,126.8739674,"2",60,NA
"4341","경기도","고양시","일반국도",3,126.850839,"2",50,NA
"4342","경기도","고양시","시도",3,126.8474607,"2",60,NA
"4343","경기도","고양시","지방도",3,126.9202075,"1",60,NA
"4344","경기도","고양시","시도",3,126.741341,"2",60,NA
"4345","경기도","고양시","시도",3,126.767846,"2",50,NA
"4361","경기도","고양시","일반국도",3,126.777729,"1",90,NA
"4362","경기도","고양시","일반국도",3,126.777729,"1",90,NA
"4363","경기도","고양시","일반국도",3,126.777729,"1",90,NA
"4364","경기도","고양시","일반국도",3,126.777729,"1",90,NA
"4365","경기도","고양시","일반국도",3,126.855794,"1",90,NA
"4366","경기도","고양시","일반국도",3,126.855794,"1",90,NA
"4367","경기도","고양시","일반국도",3,126.855794,"1",90,NA
"4368","경기도","고양시","일반국도",3,126.855794,"1",90,NA
"4380","경기도","고양시","일반국도",3,126.8699049,"2",60,NA
"4381","경기도","고양시","지방도",3,126.8725261,"2",60,NA
"4385","경기도","고양시","시도",3,126.765101,"2",60,NA
"4386","경기도","고양시","시도",3,126.790801,"2",40,NA
"4398","경기도","고양시","시도",3,126.759068,"2",30,NA
"4399","경기도","고양시","시도",3,126.757284,"2",50,NA
"4400","경기도","고양시","시도",3,126.767651,"2",30,NA
"4409","경기도","고양시","지방도",3,126.8658645,"1",60,NA
"4410","경기도","고양시","일반국도",3,126.8425414,"1",60,NA
"4411","경기도","고양시","시도",3,126.877858,"2",60,NA
"4412","경기도","고양시","시도",3,126.839004,"2",60,NA
"4413","경기도","고양시","시도",3,126.846842,"2",60,NA
"4416","경기도","고양시","시도",3,126.788101,"2",60,NA
"4417","경기도","고양시","시도",3,126.774301,"2",50,NA
"4418","경기도","고양시","시도",3,126.714301,"2",50,NA
"4423","경기도","고양시","시도",3,126.887417,"2",60,NA
"4424","경기도","고양시","시도",3,126.745854,"2",50,NA
"4425","경기도","고양시","시도",3,126.889007,"1",50,NA
"4457","경기도","고양시","지방도",3,126.8587242,"2",60,NA
"4458","경기도","고양시","지방도",3,126.726551,"2",60,NA
"4465","경기도","고양시","시도",3,126.9491692,"1",70,NA
"4466","경기도","고양시","시도",3,126.8695693,"2",30,NA
"4467","경기도","고양시","시도",3,126.7674013,"2",60,NA
"4468","경기도","고양시","시도",3,126.8174942,"2",60,NA
"4478","경기도","고양시","시도",3,126.807041,"1",60,NA
