"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"962","전라북도","고창군","일반국도",NA,126.6074638,"1",80,NA
"964","전라북도","고창군","일반국도",NA,126.7010195,"1",50,NA
"1341","전라북도","고창군","고속국도",NA,126.596177,"1",110,NA
"1411","전라북도","고창군","일반국도",NA,126.5856294,"1",60,NA
"1496","전라북도","고창군","일반국도",NA,126.6924939,"2",60,NA
"1529","전라북도","고창군","지방도",NA,126.604276,"2",70,NA
"1530","전라북도","고창군","일반국도",NA,126.753127,"2",80,NA
"4745","전라북도","고창군","일반국도",NA,126.6966017,"2",60,NA
"4746","전라북도","고창군","일반국도",NA,126.6919293,"1",60,NA
"4791","전라북도","고창군","일반국도",NA,126.7057266,"2",70,NA
"4802","전라북도","고창군","지방도",NA,126.7124972,"1",60,NA
"4803","전라북도","고창군","일반국도",NA,126.5706885,"1",60,NA
"5643","전라북도","고창군","지방도",NA,126.6452033,"1",30,NA
"5644","전라북도","고창군","군도",NA,126.7375161,"1",30,NA
"5645","전라북도","고창군","일반국도",NA,126.5526357,"1",30,NA
"5924","전라북도","고창군","군도",NA,126.6841857,"1",30,NA
"5925","전라북도","고창군","군도",NA,126.7039568,"2",30,NA
"5926","전라북도","고창군","군도",NA,126.7040333,"1",30,NA
"5927","전라북도","고창군","군도",NA,126.5127091,"1",30,NA
"5928","전라북도","고창군","군도",NA,126.5637267,"1",30,NA
"5929","전라북도","고창군","지방도",NA,126.627838,"1",30,NA
"8653","전라북도","고창군","일반국도",NA,126.7008895,"1",50,NA
"8681","전라북도","고창군","일반국도",NA,126.6924838,"1",60,NA
"8688","전라북도","고창군","일반국도",NA,126.6718973,"2",80,NA
"11561","전라북도","고창군","일반국도",NA,126.6983827,"1",60,NA
"11624","전라북도","고창군","지방도",NA,126.5410954,"2",70,NA
"12856","전라북도","고창군","군도",NA,126.606274,"1",50,NA
"12857","전라북도","고창군","군도",NA,126.5967428,"1",50,NA
"13437","전라북도","고창군","일반국도",NA,126.696223,"1",60,NA
"13438","전라북도","고창군","지방도",NA,126.563943,"1",70,NA
"13439","전라북도","고창군","일반국도",NA,126.4920756,"1",60,NA
"13440","전라북도","고창군","일반국도",NA,126.5089946,"1",60,NA
"13441","전라북도","고창군","군도",NA,126.6947381,"1",40,NA
"13442","전라북도","고창군","군도",NA,126.7370302,"1",50,NA
"13443","전라북도","고창군","군도",NA,126.7374331,"1",50,NA
"13444","전라북도","고창군","군도",NA,126.6996372,"1",30,NA
"13445","전라북도","고창군","군도",NA,126.6983921,"1",30,NA
"13446","전라북도","고창군","군도",NA,126.6632221,"1",30,NA
"13447","전라북도","고창군","지방도",NA,126.6772995,"1",50,NA
"13448","전라북도","고창군","지방도",NA,126.6745624,"1",50,NA
"13999","전라북도","고창군","군도",NA,126.563334,"1",30,NA
"14000","전라북도","고창군","군도",NA,126.634217,"1",30,NA
"14025","전라북도","고창군","일반국도",NA,126.581365,"2",80,NA
"14026","전라북도","고창군","군도",NA,126.563334,"1",30,NA
"14078","전라북도","고창군","일반국도",NA,126.580663,"2",80,NA
"15680","전라북도","고창군","일반국도",NA,126.6850567,"2",80,NA
"17107","전라북도","고창군","일반국도",NA,126.533126,"1",60,NA
"18268","전라북도","고창군","일반국도",NA,126.7070626,"1",60,NA
"18269","전라북도","고창군","일반국도",NA,126.7084662,"1",70,NA
"18270","전라북도","고창군","일반국도",NA,126.7135907,"1",70,NA
"18728","전라북도","고창군","일반국도",NA,126.671717,"2",80,NA
"18729","전라북도","고창군","일반국도",NA,126.7200208,"2",70,NA
"18730","전라북도","고창군","일반국도",NA,126.666161,"2",80,NA
"18731","전라북도","고창군","일반국도",NA,126.487428,"1",60,NA
