"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"7959","전라남도","고흥군","일반국도",3,127.121325,"2",60,NA
"7960","전라남도","고흥군","일반국도",3,127.345006,"1",60,NA
"7988","전라남도","고흥군","지방도",3,127.273159,"1",60,NA
"7989","전라남도","고흥군","일반국도",3,127.394935,"1",60,NA
"7990","전라남도","고흥군","지방도",3,127.320915,"1",40,NA
"7991","전라남도","고흥군","군도",3,127.289964,"1",30,NA
"7992","전라남도","고흥군","군도",3,127.290008,"1",30,NA
"7993","전라남도","고흥군","군도",3,127.353928,"1",30,NA
"7994","전라남도","고흥군","군도",3,127.353331,"1",30,NA
"7995","전라남도","고흥군","군도",3,127.357519,"1",30,NA
"7996","전라남도","고흥군","군도",3,127.357478,"1",30,NA
"7997","전라남도","고흥군","일반국도",3,127.455873,"1",30,NA
"7998","전라남도","고흥군","군도",3,127.456046,"1",30,NA
"7999","전라남도","고흥군","지방도",3,127.245455,"1",30,NA
"8000","전라남도","고흥군","지방도",3,127.244845,"1",30,NA
"8001","전라남도","고흥군","군도",3,127.138159,"1",30,NA
"8002","전라남도","고흥군","일반국도",3,127.340389,"1",30,NA
"8003","전라남도","고흥군","일반국도",3,127.467479,"1",30,NA
"8004","전라남도","고흥군","군도",3,127.274258,"1",30,NA
"9161","전라남도","고흥군","지방도",3,127.423956,"1",60,NA
"9162","전라남도","고흥군","일반국도",3,127.423781,"1",60,NA
"9186","전라남도","고흥군","지방도",3,127.255251,"1",60,NA
"9187","전라남도","고흥군","지방도",3,127.304233,"1",60,NA
"9314","전라남도","고흥군","일반국도",3,127.199708,"1",80,NA
"9334","전라남도","고흥군","일반국도",3,127.256293,"1",80,NA
"9517","전라남도","고흥군","일반국도",3,127.639286,"1",30,NA
"9518","전라남도","고흥군","일반국도",3,127.369059,"1",80,NA
"9519","전라남도","고흥군","일반국도",3,127.347687,"1",60,NA
"9634","전라남도","고흥군","군도",3,127.288914,"2",30,NA
"9673","전라남도","고흥군","일반국도",3,127.330238,"1",80,NA
"9674","전라남도","고흥군","일반국도",3,127.303678,"1",60,NA
"9675","전라남도","고흥군","일반국도",3,127.292104,"1",60,NA
"9728","전라남도","고흥군","일반국도",3,127.129111,"2",60,NA
"9736","전라남도","고흥군","일반국도",3,127.307192,"1",60,NA
"9752","전라남도","고흥군","일반국도",3,127.139811,"2",60,NA
"9777","전라남도","고흥군","일반국도",3,127.139841,"2",50,NA
"9778","전라남도","고흥군","일반국도",3,127.319041,"1",80,NA
"9779","전라남도","고흥군","일반국도",3,127.319102,"1",60,NA
"9823","전라남도","고흥군","일반국도",3,127.272022,"1",60,NA
"9824","전라남도","고흥군","일반국도",3,127.294711,"1",80,NA
"9825","전라남도","고흥군","일반국도",3,127.316903,"1",80,NA
"9826","전라남도","고흥군","일반국도",3,127.332693,"1",80,NA
"13944","전라남도","고흥군","군도",1,127.2826049,"4",0,3.3
"13945","전라남도","고흥군","군도",1,127.2793859,"4",0,3.3
"13946","전라남도","고흥군","군도",1,127.2790121,"4",0,3.3
"13947","전라남도","고흥군","군도",1,127.2818809,"4",0,3.3
"13948","전라남도","고흥군","군도",1,127.2836141,"4",0,3.3
"13949","전라남도","고흥군","군도",1,127.2883327,"4",0,3.3
"13950","전라남도","고흥군","군도",1,127.2859784,"4",0,3.3
"13951","전라남도","고흥군","군도",1,127.2775721,"4",0,3.3
"13952","전라남도","고흥군","군도",1,127.1336164,"4",0,3.3
"13953","전라남도","고흥군","군도",1,127.1318564,"4",0,3.3
"13954","전라남도","고흥군","군도",1,127.1338455,"4",0,3.3
"13955","전라남도","고흥군","군도",1,127.1373451,"4",0,3.3
"13956","전라남도","고흥군","군도",1,127.1369766,"4",0,3.3
"13998","전라남도","고흥군","군도",1,127.2821058,"4",0,3.3
"16187","전라남도","고흥군","일반국도",3,127.140901,"2",80,NA
"16403","전라남도","고흥군","일반국도",3,127.353313,"1",80,NA
