"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"657","전라남도","곡성군","군도",3,127.141509,"1",30,NA
"658","전라남도","곡성군","군도",3,127.141509,"1",30,NA
"659","전라남도","곡성군","군도",3,127.291642,"1",30,NA
"660","전라남도","곡성군","군도",3,127.291642,"1",30,NA
"661","전라남도","곡성군","군도",3,127.253537,"1",30,NA
"662","전라남도","곡성군","군도",3,127.253537,"1",30,NA
"663","전라남도","곡성군","군도",3,127.120851,"1",30,NA
"664","전라남도","곡성군","일반국도",3,127.318256,"1",60,NA
"665","전라남도","곡성군","일반국도",3,127.318256,"1",60,NA
"666","전라남도","곡성군","일반국도",3,127.347767,"1",30,NA
"667","전라남도","곡성군","일반국도",3,127.346031,"1",30,NA
"3950","전라남도","곡성군","일반국도",3,127.299409,"2",80,0.6
"3951","전라남도","곡성군","지방도",3,127.294028,"2",40,0.3
"3952","전라남도","곡성군","지방도",3,127.274744,"2",80,0.6
"3953","전라남도","곡성군","일반국도",3,127.361488,"1",60,0.3
"3954","전라남도","곡성군","일반국도",3,127.3749186764,"1",40,0.6
"3955","전라남도","곡성군","지방도",3,127.238286,"1",80,0.3
"3956","전라남도","곡성군","군도",3,127.208775,"1",30,0.6
"3957","전라남도","곡성군","일반국도",3,127.172076,"1",60,0.3
"3958","전라남도","곡성군","일반국도",3,127.136211,"2",80,0.6
"3959","전라남도","곡성군","일반국도",3,127.169271,"1",60,0.3
"3960","전라남도","곡성군","군도",3,127.1885310211,"1",30,0.3
"3961","전라남도","곡성군","군도",3,127.291693,"1",30,0.3
"3962","전라남도","곡성군","군도",3,127.254485,"1",30,0.3
"3963","전라남도","곡성군","군도",3,127.141609,"1",30,0.3
"3964","전라남도","곡성군","군도",3,127.120832,"1",30,0.3
"3965","전라남도","곡성군","일반국도",3,127.318194,"1",60,0.3
"3966","전라남도","곡성군","일반국도",3,127.236554,"1",60,0.3
"3967","전라남도","곡성군","기타",3,127.313209,"1",60,0.3
"8031","전라남도","곡성군","고속국도",1,127.218385,"2",100,10.5
"8032","전라남도","곡성군","고속국도",1,127.117227,"2",100,10.5
"8047","전라남도","곡성군","일반국도",3,127.189217,"1",30,NA
"8048","전라남도","곡성군","일반국도",3,127.190217,"1",30,NA
"8049","전라남도","곡성군","지방도",3,127.311339,"1",60,NA
"8050","전라남도","곡성군","일반국도",3,127.236767,"1",60,NA
"9469","전라남도","곡성군","일반국도",3,127.136106,"2",60,NA
"9470","전라남도","곡성군","일반국도",3,127.135755,"2",60,NA
"9471","전라남도","곡성군","일반국도",3,127.135674,"1",50,NA
"9472","전라남도","곡성군","일반국도",3,127.135454,"1",50,NA
"9485","전라남도","곡성군","지방도",3,127.274973,"2",80,NA
"9486","전라남도","곡성군","지방도",3,127.274423,"2",80,NA
"9579","전라남도","곡성군","일반국도",3,127.359766,"1",60,NA
"9697","전라남도","곡성군","고속국도",2,127.232612,"1",100,9.9
"9698","전라남도","곡성군","고속국도",2,127.232612,"1",100,9.9
"9699","전라남도","곡성군","고속국도",2,127.249821,"1",100,9.9
"9700","전라남도","곡성군","고속국도",2,127.249821,"1",100,9.9
"9795","전라남도","곡성군","일반국도",3,127.169604,"1",60,NA
"9839","전라남도","곡성군","일반국도",3,127.135796,"1",80,NA
"16219","전라남도","곡성군","지방도",3,127.294011,"2",40,NA
"16220","전라남도","곡성군","지방도",3,127.299379,"2",80,NA
"16221","전라남도","곡성군","일반국도",3,127.210077,"1",30,NA
