"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"485","충청남도","공주시","지방도",2,127.101972,"2",50,NA
"488","충청남도","공주시","고속국도",2,127.078008,"1",110,NA
"489","충청남도","공주시","고속국도",2,127.112041,"1",110,NA
"571","충청남도","공주시","시도",2,127.125977,"2",50,NA
"585","충청남도","공주시","일반국도",1,127.051667,"2",50,NA
"586","충청남도","공주시","일반국도",2,127.046389,"2",30,NA
"593","충청남도","공주시","고속국도",1,127.111181,"1",110,9.7
"594","충청남도","공주시","고속국도",1,127.111255,"1",110,9.7
"626","충청남도","공주시","일반국도",2,127.165598,"1",70,NA
"835","충청남도","공주시","지방도",1,127.10275,"1",50,NA
"878","충청남도","공주시","일반국도",1,127.121861,"2",50,NA
"974","충청남도","공주시","일반국도",2,126.962999,"1",80,NA
"975","충청남도","공주시","일반국도",1,126.937121,"1",80,NA
"976","충청남도","공주시","일반국도",2,127.118275,"2",70,NA
"1060","충청남도","공주시","고속국도",1,127.095945,"1",110,NA
"1115","충청남도","공주시","시도",2,127.099438,"2",60,NA
"1116","충청남도","공주시","일반국도",2,127.182693,"1",70,NA
"1117","충청남도","공주시","일반국도",2,127.165485,"1",80,NA
"1195","충청남도","공주시","시도",2,127.135228,"2",50,NA
"1196","충청남도","공주시","시도",1,127.152613,"1",60,NA
"1227","충청남도","공주시","시도",1,127.149695,"2",60,NA
"1237","충청남도","공주시","시도",1,127.1251,"2",50,NA
"1249","충청남도","공주시","지방도",2,127.0587,"1",30,NA
"1279","충청남도","공주시","시도",2,127.1388,"2",50,NA
"1445","충청남도","공주시","일반국도",2,127.04509,"2",70,NA
"1446","충청남도","공주시","일반국도",2,127.030122,"2",70,NA
"1447","충청남도","공주시","일반국도",2,127.175599,"1",70,NA
"1710","충청남도","공주시","일반국도",2,127.247303,"1",60,4.5
"1711","충청남도","공주시","일반국도",2,127.271712,"1",60,NA
"1722","충청남도","공주시","일반국도",1,127.271572,"1",60,4.5
"1723","충청남도","공주시","일반국도",1,127.247217,"1",60,NA
"1912","충청남도","공주시","고속국도",2,127.114861,"1",110,NA
"1947","충청남도","공주시","일반국도",2,127.1231,"2",70,NA
"1948","충청남도","공주시","일반국도",1,127.1277,"1",70,14.3
"1949","충청남도","공주시","일반국도",1,127.217659,"2",70,NA
"2030","충청남도","공주시","일반국도",2,127.130672,"2",50,NA
"2031","충청남도","공주시","시도",1,127.1192,"2",30,NA
"2032","충청남도","공주시","일반국도",1,127.119667,"1",30,NA
"2033","충청남도","공주시","일반국도",1,127.107614,"1",30,NA
"2034","충청남도","공주시","시도",2,127.143085,"2",50,NA
"2035","충청남도","공주시","시도",1,127.1484,"2",30,NA
"2036","충청남도","공주시","시도",2,127.1375,"2",30,NA
"2037","충청남도","공주시","일반국도",2,127.1497,"1",70,14.3
"2038","충청남도","공주시","일반국도",2,127.1277,"1",70,NA
"2039","충청남도","공주시","일반국도",1,127.1497,"1",70,NA
"2068","충청남도","공주시","시도",1,127.25249,"2",30,NA
"2069","충청남도","공주시","시도",1,127.119014,"2",30,NA
"2070","충청남도","공주시","시도",2,127.120282,"2",30,NA
"2071","충청남도","공주시","시도",1,127.118222,"2",30,NA
"2072","충청남도","공주시","시도",1,127.137198,"2",30,NA
"2073","충청남도","공주시","시도",2,127.124238,"2",30,NA
"2074","충청남도","공주시","지방도",1,126.958141,"2",30,NA
"2075","충청남도","공주시","시도",1,127.11782,"1",30,NA
"2076","충청남도","공주시","시도",1,127.134315,"1",50,NA
"2077","충청남도","공주시","시도",1,127.121355,"2",30,NA
"2078","충청남도","공주시","시도",1,127.124867,"2",30,NA
