"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"13","경기도","광명시","시도",3,126.8797361,"2",50,NA
"141","경기도","광명시","시도",3,126.880864,"2",50,NA
"4666","경기도","광명시","시도",3,126.883843,"1",30,NA
"5230","경기도","광명시","시도",3,126.885974405,"1",50,NA
"6225","경기도","광명시","시도",3,126.883894553,"2",30,NA
"6231","경기도","광명시","시도",3,126.847705,"2",50,NA
"6255","경기도","광명시","시도",3,126.886233414,"2",50,NA
"7712","경기도","광명시","시도",3,126.846997,"1",70,NA
"7725","경기도","광명시","시도",3,126.8197111,"1",80,NA
"9055","경기도","광명시","시도",3,126.853323552,"2",60,NA
"9056","경기도","광명시","시도",3,126.8466962,"2",60,NA
"9065","경기도","광명시","시도",3,126.864741206,"2",60,NA
"9614","경기도","광명시","시도",3,126.894663,"2",50,NA
"9615","경기도","광명시","시도",3,126.894924,"2",50,NA
"10203","경기도","광명시","고속국도",1,126.8784363,"1",60,NA
"10204","경기도","광명시","고속국도",2,126.8822978,"1",60,NA
"11005","경기도","광명시","시도",3,126.878489251,"2",60,NA
"11067","경기도","광명시","시도",3,126.840687,"1",60,NA
"12457","경기도","광명시","시도",3,126.872665652,"2",30,NA
"14395","경기도","광명시","시도",3,126.879433,"2",50,NA
"14706","경기도","광명시","시도",3,126.869888,"2",60,NA
"14937","경기도","광명시","시도",3,126.894924,"1",50,NA
"14950","경기도","광명시","시도",3,126.8857507,"2",60,NA
"15253","경기도","광명시","시도",3,126.881525,"2",50,NA
"15254","경기도","광명시","시도",3,126.886575,"2",50,NA
"16416","경기도","광명시","시도",3,126.831787151,"2",60,NA
"16468","경기도","광명시","시도",3,126.874328,"4",0,NA
"16469","경기도","광명시","시도",3,126.877341,"4",0,NA
"16470","경기도","광명시","시도",3,126.888335,"4",0,NA
"16471","경기도","광명시","시도",3,126.884136,"4",0,NA
"16472","경기도","광명시","시도",3,126.881559,"4",0,NA
"16473","경기도","광명시","시도",3,126.881244,"4",0,NA
"16474","경기도","광명시","시도",3,126.881066,"4",0,NA
"16475","경기도","광명시","시도",3,126.882207,"4",0,NA
"16476","경기도","광명시","시도",3,NA,"4",0,NA
"16477","경기도","광명시","시도",3,126.886041,"4",0,NA
"16478","경기도","광명시","시도",3,126.879846,"4",0,NA
"16479","경기도","광명시","시도",3,126.882977,"4",0,NA
"16480","경기도","광명시","시도",3,126.883368,"4",0,NA
"16749","경기도","광명시","시도",3,126.868651,"4",0,NA
"16750","경기도","광명시","시도",3,126.8701981971,"4",0,NA
"16751","경기도","광명시","시도",3,126.870754,"4",0,NA
"16755","경기도","광명시","시도",3,126.883761,"4",0,NA
"16756","경기도","광명시","시도",3,126.883136,"4",0,NA
"16757","경기도","광명시","시도",3,126.885412,"4",0,NA
"16758","경기도","광명시","시도",3,126.886686,"4",0,NA
"16759","경기도","광명시","시도",3,NA,"4",0,NA
"16760","경기도","광명시","시도",3,126.869854,"4",0,NA
"16761","경기도","광명시","시도",3,126.863996,"4",0,NA
"16762","경기도","광명시","시도",3,126.891373,"4",0,NA
"16763","경기도","광명시","시도",3,126.852116,"4",0,NA
"16764","경기도","광명시","시도",3,126.851141,"4",0,NA
"16765","경기도","광명시","시도",3,126.863857,"4",0,NA
"16766","경기도","광명시","시도",3,126.859025,"4",0,NA
"16767","경기도","광명시","시도",3,126.8789638619,"4",0,NA
"16790","경기도","광명시","시도",3,126.863222,"4",0,NA
"16798","경기도","광명시","시도",3,126.853568,"4",0,NA
"16799","경기도","광명시","시도",3,126.881551,"4",0,NA
"16800","경기도","광명시","시도",3,126.877149,"4",0,NA
"16801","경기도","광명시","시도",3,126.874734,"4",0,NA
"16802","경기도","광명시","시도",3,126.847985,"4",0,NA
"16803","경기도","광명시","시도",3,126.852642,"4",0,NA
"16804","경기도","광명시","시도",3,126.877789,"4",0,NA
"16805","경기도","광명시","시도",3,126.869558,"4",0,NA
"16806","경기도","광명시","시도",3,126.883661,"4",0,NA
"16807","경기도","광명시","시도",3,126.884067,"4",0,NA
"16808","경기도","광명시","시도",3,126.849151,"4",0,NA
"16809","경기도","광명시","시도",3,126.880667,"4",0,NA
"16970","경기도","광명시","시도",3,126.8811934,"2",60,NA
"16971","경기도","광명시","시도",3,126.878955817,"2",50,NA
"16984","경기도","광명시","시도",3,126.865162793,"2",50,NA
"17070","경기도","광명시","시도",2,126.881505,"01+02",50,NA
"17208","경기도","광명시","시도",3,126.855979,"4",0,NA
"17209","경기도","광명시","시도",3,126.856192,"4",0,NA
"17210","경기도","광명시","시도",3,126.852293,"4",0,NA
"17211","경기도","광명시","시도",3,126.849675,"4",0,NA
"17212","경기도","광명시","시도",3,126.865068,"4",0,NA
"17213","경기도","광명시","시도",3,126.867805,"4",0,NA
"17214","경기도","광명시","시도",3,126.871666,"4",0,NA
"17215","경기도","광명시","시도",3,126.869289,"4",0,NA
"17216","경기도","광명시","시도",3,126.879413,"4",0,NA
"17217","경기도","광명시","시도",3,126.881604,"4",0,NA
"17218","경기도","광명시","시도",3,126.883859,"4",0,NA
"17219","경기도","광명시","시도",3,126.883488,"4",0,NA
"17220","경기도","광명시","시도",3,126.883692,"4",0,NA
"17221","경기도","광명시","시도",3,126.8855152048,"4",0,NA
"17222","경기도","광명시","시도",3,126.861116,"4",0,NA
"17223","경기도","광명시","시도",3,126.891841,"4",0,NA
"17224","경기도","광명시","시도",3,126.872379,"4",0,NA
"17225","경기도","광명시","시도",3,126.873708,"4",0,NA
"17226","경기도","광명시","시도",3,126.866721,"4",0,NA
"17324","경기도","광명시","시도",3,126.857327,"4",0,NA
