"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2997","광주광역시","광산구","특별시도",2,126.7600469,"2",70,NA
"3011","광주광역시","광산구","특별시도",1,126.8477418,"2",50,NA
"3012","광주광역시","광산구","특별시도",1,126.829789,"2",60,NA
"3013","광주광역시","광산구","특별시도",1,126.8033175,"2",60,NA
"3014","광주광역시","광산구","특별시도",1,126.7127931,"1",80,NA
"3015","광주광역시","광산구","특별시도",2,126.8765800178,"1",60,NA
"3016","광주광역시","광산구","특별시도",1,126.7968953,"2",50,NA
"3026","광주광역시","광산구","특별시도",2,126.8102348,"1",80,NA
"3027","광주광역시","광산구","특별시도",1,126.810273,"1",80,NA
"3028","광주광역시","광산구","특별시도",1,126.8206303,"1",60,NA
"3032","광주광역시","광산구","일반국도",1,126.8482579,"2",60,NA
"3033","광주광역시","광산구","특별시도",2,126.8365857,"2",60,NA
"3034","광주광역시","광산구","일반국도",1,126.8038631,"2",60,NA
"3038","광주광역시","광산구","특별시도",2,126.8132878,"2",30,NA
"3039","광주광역시","광산구","특별시도",1,126.8302552,"2",50,NA
"3042","광주광역시","광산구","일반국도",1,126.7799412,"2",60,NA
"3060","광주광역시","광산구","특별시도",2,126.7697474,"2",60,NA
"3061","광주광역시","광산구","일반국도",2,126.8001121,"2",60,NA
"3062","광주광역시","광산구","특별시도",1,126.8368899,"2",60,NA
"3063","광주광역시","광산구","특별시도",1,126.8480147,"2",50,NA
"3064","광주광역시","광산구","일반국도",2,126.809769,"2",60,NA
"3065","광주광역시","광산구","특별시도",1,126.8425941,"2",50,NA
"3066","광주광역시","광산구","일반국도",2,126.772592,"2",70,NA
"3070","광주광역시","광산구","특별시도",2,126.8302552,"2",50,NA
"3083","광주광역시","광산구","특별시도",2,126.7887436,"2",60,NA
"3084","광주광역시","광산구","특별시도",2,126.7792865,"2",60,NA
"3085","광주광역시","광산구","특별시도",2,126.8144487,"2",50,NA
"3086","광주광역시","광산구","특별시도",1,126.8083363,"2",60,NA
"3088","광주광역시","광산구","특별시도",1,126.7710143,"1",60,NA
"3089","광주광역시","광산구","특별시도",2,126.7346309,"1",80,NA
"3100","광주광역시","광산구","일반국도",1,126.7786093,"2",60,NA
"3101","광주광역시","광산구","일반국도",2,126.7786093,"2",60,NA
"3102","광주광역시","광산구","일반국도",2,126.7749899,"2",70,NA
"3104","광주광역시","광산구","일반국도",1,126.7917402,"1",30,NA
"3107","광주광역시","광산구","특별시도",2,126.817482,"2",60,NA
"3136","광주광역시","광산구","일반국도",2,126.833935,"2",70,NA
"3137","광주광역시","광산구","특별시도",2,126.8208772,"2",60,NA
"3138","광주광역시","광산구","일반국도",1,126.8117849,"2",30,NA
"3139","광주광역시","광산구","일반국도",2,126.809038,"2",50,NA
"3140","광주광역시","광산구","일반국도",1,126.8127414,"2",60,NA
"3323","광주광역시","광산구","특별시도",2,126.7742713,"2",30,NA
"3324","광주광역시","광산구","특별시도",1,126.8208772,"2",30,NA
"3325","광주광역시","광산구","특별시도",1,126.8192848,"2",30,NA
"3326","광주광역시","광산구","특별시도",1,126.8368899,"2",30,NA
"3327","광주광역시","광산구","특별시도",2,126.8340624,"2",30,NA
"3335","광주광역시","광산구","특별시도",1,126.8328766,"1",90,NA
"3347","광주광역시","광산구","특별시도",2,126.8198374,"2",30,NA
"3348","광주광역시","광산구","특별시도",1,126.8132878,"2",30,NA
"3349","광주광역시","광산구","특별시도",1,126.8136853,"2",30,NA
"3350","광주광역시","광산구","특별시도",1,126.8039733,"2",30,NA
"3351","광주광역시","광산구","일반국도",1,126.7001064,"2",30,NA
"3352","광주광역시","광산구","특별시도",2,126.7916563,"2",30,NA
"3353","광주광역시","광산구","특별시도",1,126.8458685,"2",30,NA
"3354","광주광역시","광산구","특별시도",2,126.8389785,"2",30,NA
"3355","광주광역시","광산구","특별시도",1,126.8361395,"2",30,NA
"3356","광주광역시","광산구","특별시도",2,126.847123,"2",30,NA
"3357","광주광역시","광산구","특별시도",2,126.8338164,"2",30,NA
"3358","광주광역시","광산구","특별시도",2,126.8392928,"2",30,NA
"3359","광주광역시","광산구","특별시도",2,126.8425941,"2",30,NA
"3360","광주광역시","광산구","일반국도",2,126.7866684,"2",30,NA
"3361","광주광역시","광산구","특별시도",2,126.813911,"2",30,NA
"3362","광주광역시","광산구","특별시도",2,126.8135774,"2",30,NA
"3363","광주광역시","광산구","특별시도",1,126.839541,"1",30,NA
"3364","광주광역시","광산구","일반국도",2,126.7909167,"2",30,NA
"3365","광주광역시","광산구","일반국도",2,126.7956785,"2",30,NA
"3366","광주광역시","광산구","특별시도",2,126.8276603,"2",30,NA
"3367","광주광역시","광산구","특별시도",2,126.8238953,"2",30,NA
"3368","광주광역시","광산구","특별시도",2,126.8107859,"2",50,NA
"3369","광주광역시","광산구","특별시도",1,126.8150867,"2",30,NA
"3390","광주광역시","광산구","특별시도",2,126.8102348,"2",30,NA
"3391","광주광역시","광산구","특별시도",1,126.8088224,"2",30,NA
"3392","광주광역시","광산구","특별시도",2,126.7954549,"2",30,NA
"3471","광주광역시","광산구","특별시도",2,126.8368899,"2",30,NA
"3486","광주광역시","광산구","일반국도",2,126.7225278,"1",30,NA
"3487","광주광역시","광산구","일반국도",1,126.7443212,"1",30,NA
"3488","광주광역시","광산구","일반국도",2,126.7610206,"2",30,NA
"3498","광주광역시","광산구","특별시도",1,126.787364,"2",30,NA
"3499","광주광역시","광산구","특별시도",1,126.7954549,"2",30,NA
"3500","광주광역시","광산구","특별시도",1,126.8198374,"2",30,NA
"3501","광주광역시","광산구","특별시도",1,126.8289229,"2",30,NA
"3502","광주광역시","광산구","특별시도",1,126.8413802,"2",30,NA
"3503","광주광역시","광산구","특별시도",1,126.7921655,"2",50,NA
"3504","광주광역시","광산구","특별시도",1,126.8083946,"2",50,NA
"3505","광주광역시","광산구","특별시도",2,126.8480147,"2",50,NA
"3506","광주광역시","광산구","특별시도",1,126.7994025,"2",60,NA
"3507","광주광역시","광산구","특별시도",2,126.8061377,"2",30,NA
"3508","광주광역시","광산구","특별시도",1,126.814723,"2",30,NA
"3509","광주광역시","광산구","특별시도",1,126.8370393,"2",50,NA
"3510","광주광역시","광산구","특별시도",1,126.8233756,"2",30,NA
"3553","광주광역시","광산구","특별시도",2,126.8251746,"2",60,NA
"3554","광주광역시","광산구","특별시도",2,126.8494818,"2",60,NA
"3555","광주광역시","광산구","특별시도",1,126.8425941,"2",60,NA
"3559","광주광역시","광산구","특별시도",1,126.8238338,"2",50,NA
"3568","광주광역시","광산구","특별시도",1,126.8164694,"2",50,NA
"3576","광주광역시","광산구","일반국도",2,126.825921,"1",80,NA
"3579","광주광역시","광산구","특별시도",2,126.6721308,"1",80,NA
