"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"115","경기도","광주시","시도",3,127.313154405,"2",30,NA
"116","경기도","광주시","시도",3,127.312815889,"2",30,NA
"4668","경기도","광주시","일반국도",3,127.367690512,"1",60,NA
"4669","경기도","광주시","시도",3,127.342339788,"2",90,NA
"6241","경기도","광주시","지방도",3,127.358736,"1",70,NA
"7692","경기도","광주시","일반국도",3,127.235627,"2",60,NA
"7705","경기도","광주시","시도",3,127.256738,"2",70,NA
"7706","경기도","광주시","시도",3,127.233714,"2",30,NA
"7707","경기도","광주시","시도",3,127.230459,"2",50,NA
"7719","경기도","광주시","시도",3,127.23091979,"2",60,NA
"7720","경기도","광주시","시도",3,127.227077,"2",30,NA
"7733","경기도","광주시","일반국도",3,127.388784,"2",90,NA
"7734","경기도","광주시","일반국도",3,127.388803,"2",90,NA
"7735","경기도","광주시","일반국도",3,127.388818,"2",90,NA
"7736","경기도","광주시","일반국도",3,127.2964715,"2",90,NA
"7737","경기도","광주시","일반국도",3,127.2957126,"2",90,NA
"7738","경기도","광주시","일반국도",3,127.2965395,"2",90,NA
"9181","경기도","광주시","일반국도",3,127.233477,"2",90,NA
"9182","경기도","광주시","일반국도",3,127.233498,"2",90,NA
"9183","경기도","광주시","일반국도",3,127.23338348,"2",90,NA
"9243","경기도","광주시","시도",3,127.271521,"2",50,NA
"9244","경기도","광주시","시도",3,127.271231,"2",60,NA
"9650","경기도","광주시","일반국도",3,127.301062,"1",80,NA
"11031","경기도","광주시","지방도",3,127.352136616,"2",70,NA
"11032","경기도","광주시","시도",3,127.375015,"2",50,NA
"11033","경기도","광주시","일반국도",3,127.241196,"2",70,NA
"11034","경기도","광주시","시도",3,127.259442,"2",30,NA
"11035","경기도","광주시","지방도",3,127.272949,"2",50,NA
"11036","경기도","광주시","지방도",3,127.165648,"2",70,NA
"11037","경기도","광주시","시도",3,127.207963246,"2",50,NA
"11038","경기도","광주시","지방도",3,127.1502208,"2",70,NA
"11039","경기도","광주시","시도",3,127.254912613,"2",50,NA
"11471","경기도","광주시","시도",3,127.254257,"2",50,NA
"11472","경기도","광주시","시도",3,127.254016629,"2",60,NA
"13197","경기도","광주시","시도",3,127.228136,"2",30,NA
"13244","경기도","광주시","시도",3,127.351214,"2",70,NA
"13245","경기도","광주시","지방도",3,127.269791,"2",70,NA
"13379","경기도","광주시","일반국도",3,127.248568,"2",70,NA
"14405","경기도","광주시","시도",3,127.252446,"1",60,NA
"14406","경기도","광주시","지방도",3,127.175261,"1",70,NA
"14446","경기도","광주시","시도",3,127.279702,"1",30,NA
"14447","경기도","광주시","시도",3,127.279664,"1",30,NA
"14448","경기도","광주시","시도",3,127.308142,"1",50,NA
"14449","경기도","광주시","지방도",3,127.315974,"1",30,NA
"14453","경기도","광주시","시도",3,127.161139,"2",30,NA
"14454","경기도","광주시","지방도",3,127.249764,"2",30,NA
"14455","경기도","광주시","시도",3,127.315265,"2",30,NA
"14617","경기도","광주시","시도",3,127.326589829,"1",30,NA
"14618","경기도","광주시","지방도",3,127.301148,"1",30,NA
"14619","경기도","광주시","일반국도",3,127.250757,"1",50,NA
"14620","경기도","광주시","지방도",3,127.185593208,"1",30,NA
"14621","경기도","광주시","시도",3,127.331212,"1",30,NA
"14622","경기도","광주시","지방도",3,127.317041,"1",30,NA
"14623","경기도","광주시","시도",3,127.299561,"1",30,NA
"14624","경기도","광주시","시도",3,127.409601,"1",30,NA
"14625","경기도","광주시","지방도",3,127.338995,"2",30,NA
"14626","경기도","광주시","시도",3,127.160607,"2",30,NA
"14627","경기도","광주시","시도",3,127.254941,"2",30,NA
"14628","경기도","광주시","시도",3,127.217617,"2",30,NA
"14629","경기도","광주시","시도",3,127.236561,"2",30,NA
"14630","경기도","광주시","시도",3,127.232724334,"2",30,NA
"14631","경기도","광주시","시도",3,127.291432848,"2",30,NA
"14632","경기도","광주시","지방도",3,127.308105,"2",30,NA
"14633","경기도","광주시","시도",3,127.303184,"2",70,NA
"14707","경기도","광주시","시도",3,127.242736,"2",70,NA
"14712","경기도","광주시","시도",3,127.229561272,"2",30,NA
"14721","경기도","광주시","지방도",3,127.287562293,"2",50,NA
"14728","경기도","광주시","시도",3,127.303143217,"2",70,NA
"14951","경기도","광주시","일반국도",3,127.245036,"2",50,NA
"14953","경기도","광주시","시도",3,127.289415,"2",70,NA
"15511","경기도","광주시","일반국도",3,127.259138,"2",60,NA
"15512","경기도","광주시","일반국도",3,127.123929,"2",60,NA
"15513","경기도","광주시","일반국도",3,127.123929,"2",60,NA
"15516","경기도","광주시","시도",3,127.063827,"2",50,NA
"15525","경기도","광주시","시도",3,127.307826,"1",50,NA
"15526","경기도","광주시","일반국도",3,127.235413,"1",70,NA
"15527","경기도","광주시","시도",3,127.255487,"1",30,NA
"15528","경기도","광주시","시도",3,127.276805,"1",30,NA
"15529","경기도","광주시","시도",3,127.247773,"2",30,NA
"15530","경기도","광주시","시도",3,127.248302,"2",30,NA
"15696","경기도","광주시","지방도",3,127.287572867,"2",50,NA
"15783","경기도","광주시","시도",3,127.316322,"2",30,NA
"15784","경기도","광주시","시도",3,127.266468,"1",30,NA
"15785","경기도","광주시","지방도",3,127.24691394,"2",30,NA
"15786","경기도","광주시","시도",3,127.229118653,"2",30,NA
"15787","경기도","광주시","시도",3,127.247357994,"2",30,NA
"15788","경기도","광주시","지방도",3,127.308617,"2",30,NA
"15827","경기도","광주시","시도",3,127.233539,"2",50,NA
"15828","경기도","광주시","일반국도",3,127.2353445,"1",70,NA
"15829","경기도","광주시","일반국도",3,127.247574,"1",70,NA
"16128","경기도","광주시","기타",3,127.2760327,"4",30,NA
"16129","경기도","광주시","기타",3,127.233236,"4",0,NA
"16130","경기도","광주시","기타",3,127.2303887,"4",0,NA
"16131","경기도","광주시","기타",3,127.234296,"4",0,NA
"16132","경기도","광주시","지방도",3,127.1843916,"4",0,NA
"16133","경기도","광주시","지방도",3,127.1843916,"4",0,NA
"16134","경기도","광주시","시도",3,127.1547051,"4",0,NA
"16135","경기도","광주시","기타",3,127.2483946,"4",30,NA
"16136","경기도","광주시","기타",3,127.2502916,"4",0,NA
"16137","경기도","광주시","기타",3,127.2994561,"4",30,NA
"16138","경기도","광주시","기타",3,127.2527721,"4",0,NA
"16139","경기도","광주시","기타",3,127.2532675,"4",0,NA
"16140","경기도","광주시","기타",3,127.2620567,"4",0,NA
"16141","경기도","광주시","기타",3,127.247857,"4",30,NA
"16142","경기도","광주시","기타",3,127.2373506,"4",0,NA
"16143","경기도","광주시","기타",3,127.2304633,"4",30,NA
"16144","경기도","광주시","기타",3,127.2298119,"4",0,NA
"16145","경기도","광주시","기타",3,127.1487581,"4",0,NA
"16146","경기도","광주시","일반국도",3,127.2033725,"4",0,NA
"16147","경기도","광주시","기타",3,127.252038,"4",30,NA
"16148","경기도","광주시","기타",3,127.2704589,"4",0,NA
"16149","경기도","광주시","기타",3,127.2697565,"4",30,NA
"16150","경기도","광주시","기타",3,127.2366283,"4",30,NA
"16151","경기도","광주시","기타",3,127.230253,"4",30,NA
"16152","경기도","광주시","기타",3,127.255794,"4",0,NA
"16153","경기도","광주시","시도",3,127.231399,"4",30,NA
"16154","경기도","광주시","기타",3,127.3257238,"4",0,NA
"16155","경기도","광주시","기타",3,127.3391684,"4",0,NA
"16156","경기도","광주시","기타",3,127.3418545,"4",0,NA
"16157","경기도","광주시","기타",3,127.2618485,"4",0,NA
"16158","경기도","광주시","지방도",3,127.2503737,"4",0,NA
"16159","경기도","광주시","기타",3,127.2543357,"4",30,NA
"16160","경기도","광주시","기타",3,127.259435,"4",0,NA
"16161","경기도","광주시","일반국도",3,127.3248998,"4",0,NA
"16162","경기도","광주시","구도",3,127.2576939,"4",0,NA
"16163","경기도","광주시","기타",3,127.255475,"4",30,NA
"16164","경기도","광주시","기타",3,127.2588025,"4",30,NA
"16165","경기도","광주시","기타",3,127.1607978,"4",30,NA
"16166","경기도","광주시","기타",3,127.2451346,"4",30,NA
"16589","경기도","광주시","시도",3,127.229822,"2",60,NA
"16651","경기도","광주시","지방도",3,127.285213,"2",70,NA
"16975","경기도","광주시","지방도",3,127.179027,"1",70,NA
"16985","경기도","광주시","시도",3,127.299486742,"2",70,NA
"17198","경기도","광주시","시도",3,127.295621,"1",70,NA
"17699","경기도","광주시","기타",3,127.2477715,"4",0,NA
"17700","경기도","광주시","기타",3,127.2568786,"4",30,NA
