"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"8994","서울특별시","광진구","특별시도",3,127.071036,"4",0,NA
"9021","서울특별시","광진구","특별시도",3,127.067851,"4",0,NA
"9084","서울특별시","광진구","기타",3,127.091715,"4",0,NA
"9109","서울특별시","광진구","특별시도",3,127.082955,"4",0,NA
"11300","서울특별시","광진구","일반국도",2,127.08829,"2",50,NA
"11317","서울특별시","광진구","일반국도",1,127.072082,"1",60,NA
"12355","서울특별시","광진구","일반국도",2,127.10457,"2",50,NA
"12371","서울특별시","광진구","특별시도",1,127.071637,"2",30,NA
"12414","서울특별시","광진구","특별시도",2,127.075067,"2",60,NA
"12881","서울특별시","광진구","특별시도",1,127.093366,"2",30,NA
"12892","서울특별시","광진구","고속국도",1,127.109504,"1",80,NA
"12906","서울특별시","광진구","일반국도",1,127.086976,"1",60,NA
"12908","서울특별시","광진구","고속국도",2,127.100707,"1",80,NA
"13200","서울특별시","광진구","일반국도",2,127.107806,"2",60,NA
"14917","서울특별시","광진구","특별시도",3,127.0715960917,"4",0,NA
"17499","서울특별시","광진구","구도",3,127.093391,"4",0,NA
"17500","서울특별시","광진구","구도",3,127.0921657206,"4",0,NA
"17501","서울특별시","광진구","구도",3,127.092866,"4",0,NA
"17558","서울특별시","광진구","특별시도",1,127.095891,"2",60,NA
"17582","서울특별시","광진구","일반국도",1,127.077604,"1",60,NA
"17610","서울특별시","광진구","특별시도",2,127.074229,"2",60,NA
"17611","서울특별시","광진구","특별시도",2,127.068038,"2",60,NA
"17644","서울특별시","광진구","일반국도",2,127.074146,"2",50,NA
"17645","서울특별시","광진구","일반국도",1,127.061383,"2",60,NA
"17646","서울특별시","광진구","특별시도",2,127.067711,"2",60,NA
"17647","서울특별시","광진구","일반국도",1,127.064225,"2",60,NA
"19066","서울특별시","광진구","구도",3,127.085371,"4",0,NA
"19067","서울특별시","광진구","구도",3,127.084713,"4",0,NA
"19068","서울특별시","광진구","구도",3,127.0989832892,"4",0,NA
"19069","서울특별시","광진구","특별시도",3,127.084728,"4",0,NA
"19070","서울특별시","광진구","특별시도",3,127.083753,"4",0,NA
"19071","서울특별시","광진구","구도",3,127.096634,"4",0,NA
"19072","서울특별시","광진구","특별시도",3,127.068534,"4",0,NA
"19073","서울특별시","광진구","특별시도",3,127.071743,"4",0,NA
"19074","서울특별시","광진구","특별시도",3,127.083842,"4",0,NA
"19089","서울특별시","광진구","특별시도",3,127.094703,"4",0,NA
"19090","서울특별시","광진구","구도",3,127.096758,"4",0,NA
"19091","서울특별시","광진구","특별시도",3,127.094313,"4",0,NA
"19092","서울특별시","광진구","구도",3,127.0962193923,"4",0,NA
"19093","서울특별시","광진구","특별시도",3,127.075542,"4",0,NA
"19094","서울특별시","광진구","특별시도",3,127.076962,"4",0,NA
"19095","서울특별시","광진구","특별시도",3,127.078795,"4",0,NA
"19096","서울특별시","광진구","특별시도",3,127.076338,"4",0,NA
"19097","서울특별시","광진구","특별시도",3,127.080269,"4",0,NA
"19098","서울특별시","광진구","특별시도",3,127.074934,"4",0,NA
"19099","서울특별시","광진구","특별시도",3,127.062876,"4",0,NA
"19100","서울특별시","광진구","특별시도",3,127.087979,"4",0,NA
"19101","서울특별시","광진구","구도",3,127.078431,"4",0,NA
"19102","서울특별시","광진구","특별시도",3,127.106819,"4",0,NA
"19103","서울특별시","광진구","특별시도",3,127.102485,"4",0,NA
"19104","서울특별시","광진구","특별시도",3,127.088409,"4",0,NA
"19105","서울특별시","광진구","특별시도",3,127.089616,"4",0,NA
"19106","서울특별시","광진구","특별시도",3,127.075456,"4",0,NA
"19107","서울특별시","광진구","특별시도",3,127.085808,"4",0,NA
"19108","서울특별시","광진구","특별시도",3,127.089327,"4",0,NA
"19109","서울특별시","광진구","특별시도",3,127.079293,"4",0,NA
"19129","서울특별시","광진구","특별시도",3,127.071601,"4",0,NA
"19130","서울특별시","광진구","특별시도",3,127.070976,"4",0,NA
"19131","서울특별시","광진구","특별시도",3,127.067539,"4",0,NA
"19132","서울특별시","광진구","특별시도",3,127.086252,"4",0,NA
"19133","서울특별시","광진구","특별시도",3,127.071019,"4",0,NA
"19134","서울특별시","광진구","특별시도",3,127.080667,"4",0,NA
"19135","서울특별시","광진구","특별시도",3,127.083472,"4",0,NA
