"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6728","전라남도","구례군","기타",2,127.445815,"1",30,0
"6729","전라남도","구례군","기타",2,127.4394514,"1",30,0
"6730","전라남도","구례군","군도",2,127.465094,"1",30,0
"6731","전라남도","구례군","지방도",3,127.4778271,"1",60,0
"6732","전라남도","구례군","일반국도",2,127.6015086,"1",60,0
"6733","전라남도","구례군","일반국도",2,127.5689011,"1",60,0
"6734","전라남도","구례군","지방도",2,127.4670676,"1",50,0
"6735","전라남도","구례군","일반국도",2,127.4653909,"1",80,0
"7639","전라남도","구례군","지방도",3,127.415684,"2",80,NA
"7640","전라남도","구례군","지방도",3,127.415216,"2",80,NA
"7970","전라남도","구례군","일반국도",3,127.439611,"1",80,NA
"8020","전라남도","구례군","일반국도",3,127.454628,"1",80,NA
"8021","전라남도","구례군","일반국도",3,127.473704,"2",50,NA
"8022","전라남도","구례군","지방도",3,127.456968,"1",60,NA
"8023","전라남도","구례군","일반국도",3,127.438853,"2",80,NA
"9444","전라남도","구례군","일반국도",3,127.526181,"1",30,NA
"9488","전라남도","구례군","일반국도",3,127.463746,"1",60,NA
"9580","전라남도","구례군","일반국도",3,127.454705,"2",80,NA
"9581","전라남도","구례군","일반국도",3,127.499011,"1",60,NA
"9593","전라남도","구례군","일반국도",3,127.602588,"1",60,NA
"9845","전라남도","구례군","일반국도",3,127.456592,"1",60,NA
"14308","전라남도","구례군","일반국도",2,127.4546279,"1",80,0
"14309","전라남도","구례군","일반국도",2,127.4737265,"1",50,0
"14310","전라남도","구례군","지방도",2,127.4576617,"1",60,0
"14311","전라남도","구례군","일반국도",2,127.4388221,"1",80,0
"14312","전라남도","구례군","지방도",2,127.4643562,"1",30,0
"14313","전라남도","구례군","군도",2,127.4660096,"1",30,0
"14314","전라남도","구례군","기타",2,127.4619583,"1",30,0
"14315","전라남도","구례군","지방도",2,127.4896941,"1",30,0
"14316","전라남도","구례군","지방도",2,127.5429575,"1",30,0
"14317","전라남도","구례군","일반국도",2,127.4875833,"1",30,0
"14318","전라남도","구례군","군도",2,127.4330716,"1",30,0
