"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4517","서울특별시","구로구","특별시도",2,126.836806,"2",60,NA
"11319","서울특별시","구로구","일반국도",1,126.832062,"1",50,NA
"12410","서울특별시","구로구","특별시도",1,126.836463,"2",60,NA
"12621","서울특별시","구로구","특별시도",1,126.875015,"1",50,NA
"12883","서울특별시","구로구","특별시도",2,126.870686,"2",60,NA
"12951","서울특별시","구로구","일반국도",1,126.846388,"2",60,NA
"13202","서울특별시","구로구","특별시도",1,126.831029,"1",60,NA
"17544","서울특별시","구로구","특별시도",2,126.8764,"1",60,NA
"17553","서울특별시","구로구","특별시도",2,126.846381,"2",60,NA
"17580","서울특별시","구로구","특별시도",2,126.820455,"1",60,NA
"18342","서울특별시","구로구","특별시도",2,126.8874,"2",50,NA
"18343","서울특별시","구로구","일반국도",2,126.879859,"2",50,NA
"18344","서울특별시","구로구","일반국도",2,126.883439,"2",50,NA
"18541","서울특별시","구로구","일반국도",2,126.856663,"2",50,NA
"18575","서울특별시","구로구","특별시도",1,126.893395,"2",60,NA
