"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3854","경기도","구리시","일반국도",3,127.1394007,"2",50,NA
"3903","경기도","구리시","일반국도",3,127.1396808,"2",50,NA
"4163","경기도","구리시","일반국도",3,127.1312148,"2",60,NA
"4173","경기도","구리시","일반국도",3,127.1219864,"2",50,NA
"4174","경기도","구리시","일반국도",3,127.1456473,"2",50,NA
"4309","경기도","구리시","시도",3,127.130699,"2",50,NA
"4310","경기도","구리시","일반국도",3,127.140949,"2",60,NA
"4311","경기도","구리시","시도",3,127.1422671,"2",50,NA
"4312","경기도","구리시","시도",3,127.121426,"2",50,NA
"4333","경기도","구리시","시도",3,127.145484,"2",60,NA
"4334","경기도","구리시","시도",3,127.1459318,"1",50,NA
"4414","경기도","구리시","일반국도",3,127.142119,"2",60,NA
"4422","경기도","구리시","시도",3,127.150955,"2",50,NA
"4426","경기도","구리시","시도",3,127.156451,"1",70,NA
"4434","경기도","구리시","일반국도",3,127.120301,"2",60,NA
"4437","경기도","구리시","일반국도",3,127.1304179,"2",60,NA
"4469","경기도","구리시","일반국도",3,127.1379747,"2",60,NA
"4492","경기도","구리시","일반국도",3,127.1222428,"2",60,NA
"4503","경기도","구리시","일반국도",3,127.1178806,"2",60,NA
"4504","경기도","구리시","일반국도",3,127.1309104,"2",60,NA
"4577","경기도","구리시","일반국도",3,127.1150944,"2",60,NA
"4594","경기도","구리시","시도",3,127.1352019,"1",70,NA
"4626","경기도","구리시","시도",3,127.115604,"2",30,NA
"4742","경기도","구리시","시도",3,127.141115,"2",50,NA
"4998","경기도","구리시","시도",3,127.145571,"1",50,NA
"5152","경기도","구리시","일반국도",3,127.126601,"2",60,NA
"5153","경기도","구리시","일반국도",3,127.130564,"2",60,NA
"5809","경기도","구리시","시도",3,127.1204842,"2",30,NA
"5810","경기도","구리시","시도",3,127.1200664,"2",30,NA
"5811","경기도","구리시","시도",3,127.1317992,"2",40,NA
"5812","경기도","구리시","일반국도",3,127.1342982,"1",40,NA
"5819","경기도","구리시","시도",3,127.1346705,"2",30,NA
"5865","경기도","구리시","고속국도",3,127.747451,"1",100,NA
"13549","경기도","구리시","일반국도",1,127.115202,"01+02",60,NA
"13608","경기도","구리시","일반국도",1,127.117852,"01+02",60,NA
"13720","경기도","구리시","일반국도",1,127.156336,"01+02",80,NA
"13721","경기도","구리시","일반국도",1,127.130322,"01+02",60,NA
"13722","경기도","구리시","일반국도",1,127.136036,"01+02",70,NA
"13723","경기도","구리시","일반국도",1,127.139439,"01+02",50,NA
"13724","경기도","구리시","일반국도",1,127.121494,"01+02",50,NA
"13726","경기도","구리시","일반국도",1,127.122207,"01+02",60,NA
"13749","경기도","구리시","일반국도",1,127.135671,"01+02",60,NA
"13750","경기도","구리시","일반국도",1,127.157375,"01+02",60,NA
"13751","경기도","구리시","일반국도",1,127.145538,"01+02",60,NA
"13752","경기도","구리시","일반국도",1,127.128308,"01+02",60,NA
"13753","경기도","구리시","일반국도",1,127.130817,"01+02",60,NA
"13754","경기도","구리시","일반국도",1,127.145572,"01+02",60,NA
"13755","경기도","구리시","일반국도",1,127.141307,"01+02",60,NA
"13756","경기도","구리시","일반국도",1,127.139514,"01+02",50,NA
"13757","경기도","구리시","일반국도",1,127.130748,"01+02",60,NA
"13758","경기도","구리시","일반국도",1,127.137889,"01+02",60,NA
"13759","경기도","구리시","일반국도",1,127.142157,"01+02",60,NA
"13760","경기도","구리시","일반국도",1,127.150958,"01+02",60,NA
"13761","경기도","구리시","일반국도",1,127.120019,"01+02",60,NA
"13762","경기도","구리시","일반국도",1,127.145581,"01+02",80,NA
"13763","경기도","구리시","일반국도",1,127.145867,"01+02",60,NA
"13764","경기도","구리시","일반국도",1,127.130846,"01+02",50,NA
"13765","경기도","구리시","일반국도",1,127.140905,"01+02",60,NA
"13766","경기도","구리시","일반국도",1,127.141339,"01+02",50,NA
"13767","경기도","구리시","일반국도",1,127.131321,"01+02",60,NA
"13768","경기도","구리시","일반국도",1,127.121897,"01+02",60,NA
"18114","경기도","구리시","시도",3,127.157291,"1",60,NA
