"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2153","경상북도","구미","일반국도",2,129.3005989,"2",80,NA
"3247","경상북도","구미","시도",2,128.4279333,"2",50,NA
"3248","경상북도","구미","시도",2,128.4200448,"2",50,NA
"5574","경상북도","구미","일반국도",2,128.3318944,"2",60,NA
"5575","경상북도","구미","시도",1,128.2861739,"2",30,NA
"5635","경상북도","구미","일반국도",1,128.3387878,"2",60,NA
"5636","경상북도","구미","일반국도",1,128.3161698,"2",60,NA
"5637","경상북도","구미","일반국도",1,128.3161698,"2",60,NA
"5638","경상북도","구미","일반국도",2,128.3053615,"2",60,NA
"5639","경상북도","구미","일반국도",1,128.3053615,"2",50,NA
"5641","경상북도","구미","일반국도",2,128.509848,"2",50,NA
"10828","경상북도","구미","일반국도",1,128.4470828,"2",80,NA
"10829","경상북도","구미","일반국도",2,128.4470828,"2",80,NA
"10830","경상북도","구미","일반국도",1,128.4462619,"1",80,NA
"10831","경상북도","구미","일반국도",1,128.4229289,"2",80,NA
"10832","경상북도","구미","일반국도",1,128.4507799909,"2",80,NA
"10833","경상북도","구미","일반국도",2,128.4170913,"2",80,NA
"10834","경상북도","구미","일반국도",2,128.4284469,"2",80,NA
"10835","경상북도","구미","일반국도",1,128.4517391,"2",80,NA
"10894","경상북도","구미","일반국도",2,128.8186086,"2",40,NA
"10900","경상북도","구미","지방도",1,128.4516194,"2",30,NA
"10901","경상북도","구미","지방도",1,128.3832193,"2",30,NA
"10908","경상북도","구미","기타",1,129.208385,"2",60,NA
"10981","경상북도","구미","시도",1,128.5658585,"2",70,NA
"10988","경상북도","구미","시도",2,128.3911289,"2",60,NA
"10989","경상북도","구미","시도",1,129.3640174,"2",60,NA
"10991","경상북도","구미","시도",2,128.3289652,"2",30,NA
"10992","경상북도","구미","시도",1,129.3797739,"2",30,NA
"11008","경상북도","구미","시도",1,128.8186425,"2",60,NA
"11028","경상북도","구미","기타",2,128.3606696,"2",70,NA
"11029","경상북도","구미","시도",2,128.359905,"2",60,NA
"11179","경상북도","구미","시도",2,128.4363014,"2",60,NA
"11417","경상북도","구미","일반국도",1,128.6021193,"2",80,NA
"11636","경상북도","구미","시도",1,128.4381111,"2",30,NA
"11637","경상북도","구미","시도",2,128.4240112,"2",30,NA
"11638","경상북도","구미","시도",2,128.4196207,"2",30,NA
"11639","경상북도","구미","일반국도",1,128.337222,"2",60,NA
"11640","경상북도","구미","시도",2,128.4270468,"2",40,NA
"11641","경상북도","구미","시도",1,128.4530947,"2",30,NA
