"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6009","경상북도","구미시","지방도",3,128.3535941,"4",50,NA
"6010","경상북도","구미시","지방도",3,128.401866,"4",50,NA
"6011","경상북도","구미시","지방도",3,128.4323532,"4",50,NA
"6012","경상북도","구미시","지방도",3,128.3176223,"4",50,NA
"6013","경상북도","구미시","지방도",3,128.3507501,"4",50,NA
"6014","경상북도","구미시","지방도",3,128.3496448,"4",50,NA
"6015","경상북도","구미시","지방도",3,128.3448594,"4",50,NA
"6016","경상북도","구미시","지방도",3,128.3400884,"4",50,NA
"6017","경상북도","구미시","지방도",3,128.3323827,"4",50,NA
"6018","경상북도","구미시","지방도",3,128.3318739,"4",30,NA
"6019","경상북도","구미시","지방도",3,128.330901,"4",50,NA
"6020","경상북도","구미시","지방도",3,128.3116119,"4",50,NA
"6021","경상북도","구미시","지방도",3,128.374001,"4",50,NA
"6022","경상북도","구미시","지방도",3,128.4305656,"4",30,NA
"6023","경상북도","구미시","지방도",3,128.416953,"4",30,NA
"6024","경상북도","구미시","지방도",3,128.4290221,"4",50,NA
"6025","경상북도","구미시","지방도",3,128.4406124,"4",50,NA
"6026","경상북도","구미시","지방도",3,128.4372546,"4",30,NA
"6027","경상북도","구미시","지방도",3,128.4323961,"4",50,NA
"8448","경상북도","구미시","지방도",3,128.3608693,"4",50,NA
"8589","경상북도","구미시","지방도",3,128.330897,"4",50,NA
"8880","경상북도","구미시","지방도",3,128.3297659,"4",50,NA
"8909","경상북도","구미시","지방도",3,128.346323,"4",50,NA
"8938","경상북도","구미시","지방도",3,128.4208565,"4",50,NA
"8939","경상북도","구미시","지방도",3,128.4240805,"4",50,NA
"8996","경상북도","구미시","지방도",3,128.417536,"4",50,NA
"8997","경상북도","구미시","지방도",3,128.4177313,"4",50,NA
"8998","경상북도","구미시","지방도",3,128.3783263,"4",50,NA
"8999","경상북도","구미시","지방도",3,128.339495,"4",50,NA
"9000","경상북도","구미시","지방도",3,128.332186,"4",50,NA
"9001","경상북도","구미시","지방도",3,128.3329902,"4",50,NA
"9002","경상북도","구미시","지방도",3,128.3381161,"4",50,NA
"9003","경상북도","구미시","지방도",3,128.3377737,"4",50,NA
"9004","경상북도","구미시","지방도",3,128.3836618,"4",50,NA
"9005","경상북도","구미시","지방도",3,128.4198963,"4",50,NA
"9006","경상북도","구미시","지방도",3,128.4212269,"4",50,NA
"9007","경상북도","구미시","지방도",3,128.336671,"4",50,NA
"9008","경상북도","구미시","지방도",3,128.333987,"4",50,NA
"9009","경상북도","구미시","지방도",3,128.331048,"4",50,NA
"9010","경상북도","구미시","지방도",3,128.3290777,"4",50,NA
"9011","경상북도","구미시","지방도",3,128.3260183,"4",50,NA
"9012","경상북도","구미시","지방도",3,128.426941,"4",50,NA
"9013","경상북도","구미시","지방도",3,128.4225439,"4",50,NA
"9014","경상북도","구미시","지방도",3,128.4254344,"4",50,NA
"9015","경상북도","구미시","지방도",3,128.4255909,"4",50,NA
"9016","경상북도","구미시","지방도",3,128.4106142,"4",50,NA
"9017","경상북도","구미시","지방도",3,128.4106457,"4",50,NA
"9018","경상북도","구미시","지방도",3,128.4180057,"4",50,NA
"9019","경상북도","구미시","지방도",3,128.3762102,"4",50,NA
"9020","경상북도","구미시","지방도",3,128.4180043,"4",50,NA
"15655","경상북도","구미시","지방도",3,128.4271969,"4",50,NA
"15656","경상북도","구미시","지방도",3,128.4290542,"4",50,NA
"15657","경상북도","구미시","지방도",3,128.4300408,"4",50,NA
"15658","경상북도","구미시","지방도",3,128.4268235,"4",50,NA
"15659","경상북도","구미시","지방도",3,128.4303573,"4",50,NA
"15660","경상북도","구미시","지방도",3,128.4372299,"4",50,NA
"15661","경상북도","구미시","지방도",3,128.4373435,"4",50,NA
"15662","경상북도","구미시","지방도",3,128.4300826,"4",50,NA
"15663","경상북도","구미시","지방도",3,128.4319184,"4",50,NA
"15664","경상북도","구미시","지방도",3,128.4337462,"4",50,NA
"15665","경상북도","구미시","지방도",3,128.4300522,"4",50,NA
"15666","경상북도","구미시","지방도",3,128.4217727,"4",50,NA
"15667","경상북도","구미시","지방도",3,128.4206244,"4",50,NA
"15668","경상북도","구미시","지방도",3,128.4223494,"4",50,NA
"15669","경상북도","구미시","지방도",3,128.4318695,"4",50,NA
"15670","경상북도","구미시","지방도",3,128.4288606,"4",50,NA
"15671","경상북도","구미시","지방도",3,128.4190985,"4",50,NA
"15672","경상북도","구미시","지방도",3,128.3222423,"4",30,NA
"15673","경상북도","구미시","지방도",3,128.301307,"4",30,NA
"15674","경상북도","구미시","지방도",3,128.331396,"4",30,NA
"15675","경상북도","구미시","지방도",3,128.3488055,"4",30,NA
"15676","경상북도","구미시","지방도",3,128.312116,"4",30,NA
"15677","경상북도","구미시","지방도",3,128.320263,"4",30,NA
"15678","경상북도","구미시","지방도",3,128.339296,"4",30,NA
