"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"969","전라북도","군산시","시도",NA,126.7093744,"2",50,NA
"1342","전라북도","군산시","일반국도",NA,126.8253217,"1",80,NA
"1351","전라북도","군산시","시도",NA,126.7240362,"2",50,NA
"1364","전라북도","군산시","시도",NA,126.5425064,"2",80,NA
"1365","전라북도","군산시","시도",NA,126.5416612,"2",80,NA
"1380","전라북도","군산시","일반국도",NA,126.4537031,"1",60,NA
"1381","전라북도","군산시","일반국도",NA,126.4604124,"1",60,NA
"1384","전라북도","군산시","시도",NA,126.7269103,"2",50,NA
"1385","전라북도","군산시","시도",NA,126.715538,"2",50,NA
"1386","전라북도","군산시","시도",NA,126.7296582,"2",50,NA
"1395","전라북도","군산시","시도",NA,126.7504418,"2",50,NA
"1407","전라북도","군산시","시도",NA,126.7481289,"2",70,NA
"1408","전라북도","군산시","시도",NA,126.6660829,"2",50,NA
"1409","전라북도","군산시","시도",NA,126.7154415,"2",60,NA
"1410","전라북도","군산시","시도",NA,126.6928855,"2",50,NA
"1495","전라북도","군산시","일반국도",NA,126.5951897,"2",80,NA
"1503","전라북도","군산시","시도",NA,126.6480557,"1",60,NA
"1504","전라북도","군산시","시도",NA,126.7242158,"1",50,NA
"1539","전라북도","군산시","시도",NA,126.7083874,"1",50,NA
"1543","전라북도","군산시","일반국도",NA,126.7059672,"1",40,NA
"2517","전라북도","군산시","시도",NA,126.697686,"2",50,NA
"2518","전라북도","군산시","시도",NA,126.7367761,"2",50,NA
"4747","전라북도","군산시","시도",NA,126.7378101,"2",50,NA
"4748","전라북도","군산시","시도",NA,126.7379481,"2",50,NA
"4749","전라북도","군산시","시도",NA,126.7417576,"2",50,NA
"4773","전라북도","군산시","일반국도",NA,126.6930397,"1",90,NA
"4774","전라북도","군산시","일반국도",NA,126.6897782,"1",90,NA
"4775","전라북도","군산시","일반국도",NA,126.4380462,"1",60,NA
"4776","전라북도","군산시","일반국도",NA,126.425278,"2",60,NA
"4805","전라북도","군산시","시도",NA,126.6862552,"2",60,NA
"4816","전라북도","군산시","시도",NA,126.7376993,"2",60,NA
"5068","전라북도","군산시","시도",NA,126.7326246,"2",50,NA
"5069","전라북도","군산시","시도",NA,126.7323497,"2",50,NA
"5070","전라북도","군산시","시도",NA,126.5683429,"2",80,NA
"5071","전라북도","군산시","시도",NA,126.5689433,"2",80,NA
"5072","전라북도","군산시","시도",NA,126.7406954,"2",50,NA
"5623","전라북도","군산시","시도",NA,126.7241241,"2",50,NA
"5954","전라북도","군산시","시도",NA,126.6611163,"1",50,NA
"5955","전라북도","군산시","시도",NA,126.6611163,"1",50,NA
"8656","전라북도","군산시","시도",NA,126.7194032,"2",50,NA
"8662","전라북도","군산시","일반국도",NA,126.5282893,"2",60,NA
"8679","전라북도","군산시","시도",NA,126.6762299,"1",50,NA
"8685","전라북도","군산시","시도",NA,126.6884243,"2",50,NA
"8691","전라북도","군산시","시도",NA,126.6592016,"2",60,NA
"11530","전라북도","군산시","시도",1,126.716134,"4",0,NA
"11562","전라북도","군산시","시도",NA,126.7345285,"1",30,NA
"11595","전라북도","군산시","시도",NA,126.7153415,"2",50,NA
"11599","전라북도","군산시","일반국도",NA,126.7690803,"1",60,NA
"11679","전라북도","군산시","시도",1,126.719351,"4",0,NA
"12538","전라북도","군산시","일반국도",NA,126.780393,"1",50,NA
"12539","전라북도","군산시","지방도",NA,NA,"1",50,NA
"12540","전라북도","군산시","시도",NA,126.709175,"1",50,NA
