"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5626","경상북도","군위","지방도",2,128.4345436,"1",60,NA
"5627","경상북도","군위","지방도",2,128.6625317,"1",60,NA
"5628","경상북도","군위","지방도",2,128.2120766,"1",30,NA
"10886","경상북도","군위","일반국도",1,128.5885255,"2",60,NA
"10887","경상북도","군위","일반국도",2,129.3613583,"2",60,NA
"10898","경상북도","군위","지방도",2,128.5970633,"1",60,NA
"10899","경상북도","군위","지방도",2,128.4516194,"1",60,NA
"10915","경상북도","군위","일반국도",1,128.5885255,"2",80,NA
"10916","경상북도","군위","일반국도",2,129.511197,"1",40,NA
"10947","경상북도","군위","일반국도",1,128.3390385,"2",80,NA
"11164","경상북도","군위","일반국도",1,128.3204027,"2",80,NA
"11215","경상북도","군위","기타",1,128.6587556,"2",70,NA
"11216","경상북도","군위","기타",1,128.6461322,"2",60,NA
"11217","경상북도","군위","기타",2,128.5992058,"2",50,NA
"12049","경상북도","군위","고속국도",1,128.5641439,"2",100,NA
"13650","경상북도","군위","일반국도",1,128.576094,"2",60,NA
"14123","경상북도","군위","지방도",1,128.5827367,"1",30,NA
"14124","경상북도","군위","군도",1,128.8436627,"1",30,NA
"14263","경상북도","군위","일반국도",2,128.5759265,"2",60,NA
"14264","경상북도","군위","일반국도",2,128.7405385,"1",60,NA
"14279","경상북도","군위","일반국도",2,128.5780118,"2",80,NA
"17294","경상북도","군위","일반국도",2,129.3978822,"2",80,NA
