"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"628","경기도","군포시","시도",2,126.9291648728,"4",30,NA
"629","경기도","군포시","시도",1,126.9209144936,"4",30,NA
"630","경기도","군포시","시도",1,126.9218369191,"4",30,NA
"631","경기도","군포시","시도",1,126.9122006152,"4",30,NA
"632","경기도","군포시","시도",1,126.9382903157,"4",30,NA
"633","경기도","군포시","시도",1,126.9457225226,"4",30,NA
"634","경기도","군포시","시도",2,126.9431853621,"4",30,NA
"635","경기도","군포시","시도",2,126.9385544531,"4",30,NA
"636","경기도","군포시","시도",3,126.9191012803,"4",30,NA
"637","경기도","군포시","시도",3,126.9351336988,"4",50,NA
"638","경기도","군포시","시도",3,126.9586964474,"4",60,NA
"639","경기도","군포시","시도",2,126.9374058662,"4",50,NA
"678","경기도","군포시","시도",3,126.9546517,"4",50,NA
"679","경기도","군포시","시도",3,126.9559471,"4",50,NA
"680","경기도","군포시","시도",3,126.9419969,"4",30,NA
"681","경기도","군포시","시도",3,126.9345885,"4",50,NA
"682","경기도","군포시","시도",3,126.9411743,"4",50,NA
"683","경기도","군포시","시도",3,126.9439866,"4",50,NA
"684","경기도","군포시","시도",3,126.9191333,"4",50,NA
"685","경기도","군포시","시도",3,126.934113,"4",50,NA
"686","경기도","군포시","시도",3,126.9304117,"4",50,NA
"687","경기도","군포시","시도",3,126.9372234,"4",50,NA
"688","경기도","군포시","시도",3,126.9344157,"4",50,NA
"689","경기도","군포시","시도",3,126.9346511,"4",50,NA
"690","경기도","군포시","시도",3,126.9406944876,"4",30,NA
"691","경기도","군포시","시도",3,126.9419284201,"4",30,NA
"692","경기도","군포시","시도",3,126.932781188,"4",30,NA
"693","경기도","군포시","시도",3,126.9236158,"4",30,NA
"694","경기도","군포시","시도",3,126.9236933214,"4",50,NA
"695","경기도","군포시","시도",3,126.9344496286,"4",30,NA
"696","경기도","군포시","시도",3,126.9392199547,"4",50,NA
"697","경기도","군포시","시도",3,126.9345619865,"4",30,NA
"698","경기도","군포시","시도",3,126.9464136233,"4",50,NA
"699","경기도","군포시","시도",3,126.9509707,"4",50,NA
"700","경기도","군포시","시도",3,126.9250642,"4",30,NA
"701","경기도","군포시","시도",1,126.9232072804,"4",50,NA
"702","경기도","군포시","시도",2,126.9334670259,"4",30,NA
"703","경기도","군포시","시도",2,126.9291648728,"4",30,NA
"704","경기도","군포시","시도",1,126.9332379587,"4",30,NA
"708","경기도","군포시","시도",3,126.9300511,"4",50,NA
"709","경기도","군포시","시도",2,126.9299836,"4",50,NA
"710","경기도","군포시","시도",3,126.9314181,"4",50,NA
"711","경기도","군포시","시도",3,126.9427521,"4",50,NA
"712","경기도","군포시","시도",3,126.9433402,"4",50,NA
"713","경기도","군포시","시도",2,126.932588,"4",50,NA
"714","경기도","군포시","시도",2,126.9337091,"4",50,NA
"715","경기도","군포시","시도",2,126.9306671,"4",50,NA
"716","경기도","군포시","시도",2,126.9338907,"4",50,NA
"717","경기도","군포시","시도",3,126.9465074,"4",50,NA
"718","경기도","군포시","시도",3,126.9462382,"4",50,NA
"719","경기도","군포시","시도",3,126.938045,"4",50,NA
"720","경기도","군포시","시도",3,126.9444755,"4",50,NA
"721","경기도","군포시","시도",3,126.9442311,"4",50,NA
"722","경기도","군포시","시도",3,126.9380717,"4",50,NA
"723","경기도","군포시","시도",3,126.9448708,"4",50,NA
"724","경기도","군포시","시도",3,126.9478155,"4",50,NA
"725","경기도","군포시","시도",3,126.9417456,"4",50,NA
"726","경기도","군포시","시도",3,126.9361182,"4",50,NA
"727","경기도","군포시","시도",3,126.9401342,"4",50,NA
"728","경기도","군포시","시도",3,126.9177828,"4",30,NA
"729","경기도","군포시","시도",3,126.9559311,"4",30,NA
"730","경기도","군포시","시도",3,126.9550768,"4",30,NA
"731","경기도","군포시","시도",3,126.9537008,"4",50,NA
"7659","경기도","군포시","시도",3,126.931981708,"2",70,NA
"12460","경기도","군포시","시도",3,126.927004,"2",50,NA
"12642","경기도","군포시","시도",3,126.930442,"2",30,NA
"13246","경기도","군포시","시도",3,126.942918824,"2",50,NA
"14377","경기도","군포시","시도",3,126.935531,"2",50,NA
"14378","경기도","군포시","시도",3,126.930411312,"2",50,NA
"14553","경기도","군포시","시도",3,126.932961,"2",50,NA
"14554","경기도","군포시","시도",3,126.934817,"2",30,NA
"14935","경기도","군포시","고속국도",3,126.923879,"1",100,NA
"14952","경기도","군포시","시도",3,126.925623164,"2",70,NA
"15700","경기도","군포시","시도",3,126.936047,"2",30,NA
"16494","경기도","군포시","시도",3,126.941848,"2",50,NA
"16540","경기도","군포시","시도",3,126.933501943,"2",50,NA
"16541","경기도","군포시","시도",3,126.941504132,"2",50,NA
"16657","경기도","군포시","고속국도",3,126.92401798,"1",100,NA
"16810","경기도","군포시","시도",3,126.944605,"2",50,NA
"17090","경기도","군포시","시도",3,126.928401046,"1",30,NA
"17091","경기도","군포시","일반국도",3,126.919056697,"2",60,NA
"17092","경기도","군포시","시도",3,126.927013,"2",50,NA
"17093","경기도","군포시","시도",3,126.927344,"2",50,NA
"17181","경기도","군포시","시도",3,126.911944,"2",30,NA
"17304","경기도","군포시","시도",3,126.945125,"2",60,NA
"18733","경기도","군포시","일반국도",3,126.919519,"2",60,NA
"18738","경기도","군포시","시도",3,126.923342054,"2",30,NA
