"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"472","충청남도","금산군","일반국도",1,127.509656,"1",60,NA
"582","충청남도","금산군","일반국도",1,127.498589,"1",60,NA
"890","충청남도","금산군","지방도",2,127.376361,"2",80,NA
"891","충청남도","금산군","일반국도",2,127.489611,"1",60,NA
"987","충청남도","금산군","지방도",2,127.466109,"1",60,NA
"988","충청남도","금산군","일반국도",2,127.48897,"1",80,NA
"1055","충청남도","금산군","일반국도",1,127.490777,"2",60,NA
"1056","충청남도","금산군","일반국도",1,127.473264,"1",80,NA
"1057","충청남도","금산군","일반국도",1,127.492641,"1",80,NA
"1129","충청남도","금산군","지방도",2,127.560221,"1",60,NA
"1130","충청남도","금산군","일반국도",2,127.489981,"1",80,NA
"1157","충청남도","금산군","일반국도",2,127.498437,"2",70,NA
"1301","충청남도","금산군","일반국도",1,127.394701,"1",60,NA
"1438","충청남도","금산군","지방도",2,127.591333,"2",60,NA
"1463","충청남도","금산군","지방도",1,127.390657,"1",60,NA
"1717","충청남도","금산군","일반국도",2,127.488793,"2",30,NA
"1718","충청남도","금산군","일반국도",1,127.487946,"2",30,NA
"1719","충청남도","금산군","군도",1,127.496855,"2",30,NA
"1720","충청남도","금산군","지방도",1,127.453985,"2",30,NA
"1721","충청남도","금산군","지방도",1,127.519058,"2",70,NA
"1908","충청남도","금산군","일반국도",1,127.498085,"2",70,NA
"2005","충청남도","금산군","지방도",1,127.5261,"2",30,NA
"2006","충청남도","금산군","지방도",1,127.5085,"1",30,NA
"2007","충청남도","금산군","지방도",2,127.3982,"2",30,NA
"2008","충청남도","금산군","일반국도",1,127.4666,"2",40,NA
"2009","충청남도","금산군","지방도",2,127.5039,"2",50,NA
"2010","충청남도","금산군","지방도",1,127.504,"1",50,NA
"2011","충청남도","금산군","군도",2,127.4374,"1",30,NA
"2012","충청남도","금산군","군도",2,127.556,"1",30,NA
"2013","충청남도","금산군","군도",1,127.5021,"1",30,NA
"2049","충청남도","금산군","지방도",2,127.546779,"1",30,NA
"2050","충청남도","금산군","일반국도",2,127.371358,"1",30,NA
"2051","충청남도","금산군","군도",2,127.378334,"1",30,NA
"2052","충청남도","금산군","군도",1,127.504243,"1",30,NA
"2053","충청남도","금산군","군도",1,127.480323,"1",30,NA
"13992","충청남도","금산군","기타",2,127.491272,"4",0,NA
"13993","충청남도","금산군","지방도",3,127.490645,"4",30,NA
"13994","충청남도","금산군","기타",3,127.489056,"4",0,NA
"13995","충청남도","금산군","지방도",3,127.488573,"4",30,NA
"13996","충청남도","금산군","기타",3,127.489674,"4",0,NA
"13997","충청남도","금산군","기타",1,127.485771,"4",0,NA
