"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2427","부산광역시","금정구","특별시도",3,129.117231,"2",50,NA
"2500","부산광역시","금정구","기타",3,129.110575,"1",80,NA
"2501","부산광역시","금정구","기타",3,129.110575,"1",80,NA
"6278","부산광역시","금정구","특별시도",3,129.077433,"1",30,NA
"11239","부산광역시","금정구","일반국도",3,129.091166,"2",50,NA
"11749","부산광역시","금정구","시도",3,129.088199,"2",30,NA
"11750","부산광역시","금정구","시도",3,129.092389,"2",30,NA
"11751","부산광역시","금정구","시도",3,129.110047,"2",30,NA
"11752","부산광역시","금정구","특별시도",3,129.097088,"1",30,NA
"11753","부산광역시","금정구","시도",3,129.087824,"2",30,NA
"12684","부산광역시","금정구","기타",3,129.098622,"2",30,NA
"14792","부산광역시","금정구","특별시도",3,129.085167,"2",30,NA
"14810","부산광역시","금정구","고속국도",1,129.099123,"1",100,NA
"14811","부산광역시","금정구","고속국도",1,129.099123,"1",100,NA
"14812","부산광역시","금정구","고속국도",1,129.099123,"1",100,NA
"14813","부산광역시","금정구","고속국도",2,129.093078,"1",100,NA
"14814","부산광역시","금정구","고속국도",2,129.093078,"1",100,NA
"14815","부산광역시","금정구","고속국도",2,129.003373,"1",100,NA
"14822","부산광역시","금정구","특별시도",3,129.111693,"1",30,NA
"15014","부산광역시","금정구","일반국도",3,129.091437,"1",50,NA
"15173","부산광역시","금정구","특별시도",3,129.137556,"1",70,NA
"15174","부산광역시","금정구","특별시도",3,129.137556,"1",70,NA
"15193","부산광역시","금정구","일반국도",3,129.092627,"2",50,NA
"15194","부산광역시","금정구","특별시도",3,129.091504,"2",60,NA
"15219","부산광역시","금정구","일반국도",3,129.097374,"2",50,NA
"15227","부산광역시","금정구","특별시도",3,129.116764,"1",80,NA
"15346","부산광역시","금정구","특별시도",3,129.112194,"1",80,NA
"15393","부산광역시","금정구","특별시도",3,129.084951,"1",50,NA
"15401","부산광역시","금정구","특별시도",3,129.085892,"2",50,NA
"15422","부산광역시","금정구","일반국도",3,129.094151,"2",50,NA
"15432","부산광역시","금정구","일반국도",3,129.094871,"2",50,NA
"15456","부산광역시","금정구","일반국도",3,129.103237,"1",60,NA
"15476","부산광역시","금정구","일반국도",3,129.091396,"2",50,NA
"15488","부산광역시","금정구","특별시도",3,129.133433,"1",70,NA
"15503","부산광역시","금정구","특별시도",3,129.084205,"2",60,NA
"16784","부산광역시","금정구","일반국도",3,129.091579,"1",50,NA
"18528","부산광역시","금정구","기타",3,129.084572,"2",40,NA
"18529","부산광역시","금정구","기타",3,129.084685,"2",40,NA
"18530","부산광역시","금정구","기타",3,129.083113,"2",30,NA
