"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"957","전라북도","김제시","지방도",NA,126.9533985,"1",70,NA
"1336","전라북도","김제시","지방도",NA,126.8840895,"2",80,NA
"1337","전라북도","김제시","지방도",NA,126.8265773,"1",60,NA
"1338","전라북도","김제시","일반국도",NA,126.9399602,"1",60,NA
"1345","전라북도","김제시","일반국도",NA,126.8799515,"1",90,NA
"1357","전라북도","김제시","지방도",NA,126.9133498,"2",50,NA
"1358","전라북도","김제시","시도",NA,126.8975081,"2",60,NA
"1403","전라북도","김제시","지방도",NA,126.9373774,"2",60,NA
"1404","전라북도","김제시","지방도",NA,126.9375948,"2",60,NA
"1509","전라북도","김제시","고속국도",NA,126.7980601,"1",110,16.8
"1515","전라북도","김제시","지방도",NA,126.990856,"1",70,NA
"1516","전라북도","김제시","일반국도",NA,126.956805,"2",60,NA
"1517","전라북도","김제시","일반국도",NA,126.957267,"2",60,NA
"1550","전라북도","김제시","시도",NA,126.8723832,"2",60,NA
"1551","전라북도","김제시","일반국도",NA,126.8436046,"1",40,NA
"1552","전라북도","김제시","시도",NA,126.8687422,"1",50,NA
"1553","전라북도","김제시","시도",NA,126.8705009,"1",50,NA
"2511","전라북도","김제시","일반국도",NA,126.7996101,"1",80,NA
"2513","전라북도","김제시","고속국도",NA,126.8433041,"1",110,9.8
"2514","전라북도","김제시","고속국도",NA,126.8433041,"1",110,9.8
"2515","전라북도","김제시","고속국도",NA,126.833789,"1",110,9.8
"2516","전라북도","김제시","고속국도",NA,126.833789,"1",110,9.8
"4780","전라북도","김제시","일반국도",NA,126.7993893,"2",80,NA
"4781","전라북도","김제시","일반국도",NA,127.0000842,"1",60,NA
"4782","전라북도","김제시","일반국도",NA,127.0000842,"1",60,NA
"4783","전라북도","김제시","지방도",NA,126.962768,"1",40,NA
"4784","전라북도","김제시","지방도",NA,126.7863561,"1",30,NA
"4793","전라북도","김제시","지방도",NA,126.8338403,"1",60,NA
"4799","전라북도","김제시","지방도",NA,126.9515874,"1",60,NA
"4817","전라북도","김제시","시도",NA,126.892866,"2",50,NA
"4818","전라북도","김제시","일반국도",NA,127.0421068,"2",70,NA
"4819","전라북도","김제시","지방도",NA,127.0177084,"1",60,NA
"4820","전라북도","김제시","지방도",NA,126.8005802,"1",60,NA
"5058","전라북도","김제시","일반국도",NA,126.8515447,"2",60,NA
"5059","전라북도","김제시","일반국도",NA,127.0060384,"2",80,NA
"5646","전라북도","김제시","지방도",NA,126.7468819,"1",40,NA
"5647","전라북도","김제시","지방도",NA,126.7468819,"1",40,NA
"5648","전라북도","김제시","지방도",NA,126.7756768,"1",40,NA
"5649","전라북도","김제시","지방도",NA,126.7756768,"1",40,NA
"5650","전라북도","김제시","지방도",NA,126.7993802,"1",40,NA
"5651","전라북도","김제시","지방도",NA,126.7993802,"1",40,NA
"5933","전라북도","김제시","지방도",NA,126.903212,"1",50,NA
"5948","전라북도","김제시","일반국도",NA,126.9183645,"1",90,8.733
"8660","전라북도","김제시","지방도",NA,126.9099737,"1",60,NA
"8675","전라북도","김제시","지방도",NA,126.9402222,"1",60,NA
"8693","전라북도","김제시","일반국도",NA,126.9134092,"2",80,NA
"9489","전라남도","김제시","고속국도",1,126.975551,"1",100,NA
"11563","전라북도","김제시","일반국도",NA,127.0376928,"1",70,NA
"11597","전라북도","김제시","지방도",NA,126.9317939,"2",70,NA
"11598","전라북도","김제시","일반국도",NA,126.8650036,"2",80,NA
"11600","전라북도","김제시","일반국도",NA,126.9136085,"1",80,NA
"11601","전라북도","김제시","지방도",NA,126.9836678,"1",70,NA
"12675","전라북도","김제시","지방도",NA,126.9833923,"1",40,NA
"12868","전라북도","김제시","고속국도",NA,126.9737179,"1",100,NA
"12874","전라북도","김제시","지방도",NA,126.983818,"1",40,NA
"14126","전라북도","김제시","지방도",NA,126.7424682,"1",60,NA
"14127","전라북도","김제시","시도",NA,126.900804,"1",50,NA
"14128","전라북도","김제시","시도",NA,126.913458,"1",50,NA
"14129","전라북도","김제시","지방도",NA,126.8393268,"1",40,NA
"14168","전라북도","김제시","시도",NA,126.916079,"2",60,NA
"14169","전라북도","김제시","지방도",NA,126.982696,"2",70,NA
"14170","전라북도","김제시","시도",NA,126.890691,"2",50,NA
"14171","전라북도","김제시","시도",NA,126.897518,"2",80,NA
"14900","전라북도","김제시","시도",NA,126.895448,"2",50,NA
"16843","전라북도","김제시","지방도",NA,126.953043,"2",70,NA
"16844","전라북도","김제시","지방도",NA,127.0042457,"1",50,NA
"16845","전라북도","김제시","지방도",NA,126.8232127,"1",40,NA
"16846","전라북도","김제시","지방도",NA,126.8244769,"1",40,NA
"16963","전라북도","김제시","지방도",NA,126.899876,"2",50,NA
"16964","전라북도","김제시","시도",NA,126.9109424,"2",60,NA
"17102","전라북도","김제시","지방도",NA,126.9900227,"1",70,NA
"17103","전라북도","김제시","일반국도",NA,126.8459566,"1",80,NA
"18266","전라북도","김제시","지방도",NA,126.8739333,"2",80,NA
"18267","전라북도","김제시","시도",NA,126.9200628,"1",60,NA
"18271","전라북도","김제시","일반국도",NA,127.0239748,"2",70,NA
"18285","전라북도","김제시","지방도",NA,126.8928798,"2",30,NA
"18286","전라북도","김제시","시도",NA,126.8863844,"1",50,NA
"18287","전라북도","김제시","시도",NA,126.8972092,"2",60,NA
"18311","전라북도","김제시","지방도",NA,126.9054337,"2",60,NA
"18312","전라북도","김제시","지방도",NA,126.9090869,"2",60,NA
