"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3250","경상북도","김천","일반국도",1,128.1694372,"2",30,NA
"3251","경상북도","김천","지방도",2,128.1405128,"2",60,NA
"3252","경상북도","김천","일반국도",1,129.4159888,"2",60,NA
"6837","경상북도","김천","기타",1,128.1692867,"2",60,NA
"6843","경상북도","김천","시도",2,128.181503,"1",60,NA
"6844","경상북도","김천","시도",1,128.1845374,"1",60,NA
"6845","경상북도","김천","일반국도",1,128.0328629,"2",80,NA
"6846","경상북도","김천","일반국도",2,128.0301813,"2",80,NA
"10867","경상북도","김천","일반국도",1,129.3704394,"2",60,NA
"10986","경상북도","김천","일반국도",1,128.0952633,"2",70,NA
"10987","경상북도","김천","시도",2,128.3904896,"2",60,NA
"11022","경상북도","김천","일반국도",1,128.761686,"2",60,NA
"11194","경상북도","김천","일반국도",1,128.3955756,"2",70,NA
"11411","경상북도","김천","기타",2,128.1276304,"2",60,NA
"11424","경상북도","김천","시도",1,128.1369755,"2",50,NA
"11425","경상북도","김천","지방도",1,128.0908449,"2",60,NA
"11426","경상북도","김천","시도",1,128.3423775,"2",50,NA
"11432","경상북도","김천","일반국도",2,128.1257904,"2",60,NA
"11646","경상북도","김천","시도",2,128.3841981,"2",60,NA
"11650","경상북도","김천","지방도",2,128.0771391,"2",40,NA
"11651","경상북도","김천","일반국도",1,128.361324,"2",50,NA
"11684","경상북도","김천","시도",2,128.122774,"1",30,NA
"11685","경상북도","김천","일반국도",1,128.3987316,"2",30,NA
"13550","경상북도","김천","기타",2,128.2249518,"2",80,NA
"13585","경상북도","김천","일반국도",1,128.117218,"3",80,NA
"13631","경상북도","김천","일반국도",1,128.1172966,"2",60,NA
"13639","경상북도","김천","기타",1,128.2289491,"2",80,NA
"13665","경상북도","김천","일반국도",2,128.1993621,"2",80,NA
"13712","경상북도","김천","시도",1,128.2289491,"2",80,NA
"17373","경상북도","김천","시도",1,128.4015256,"2",60,NA
