"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"8327","경상북도","김천시","지방도",1,128.170141,"2",60,NA
"8328","경상북도","김천시","시도",1,128.104805,"1",60,NA
"8329","경상북도","김천시","시도",1,128.090654,"2",60,NA
"8330","경상북도","김천시","시도",1,128.117923,"1",50,NA
"8331","경상북도","김천시","지방도",1,128.137011,"1",60,NA
"8351","경상북도","김천시","지방도",2,128.22498,"2",80,NA
"8352","경상북도","김천시","지방도",1,128.169722,"2",60,NA
"8353","경상북도","김천시","시도",2,128.181199,"2",60,NA
"8354","경상북도","김천시","시도",2,128.184574,"2",60,NA
"8355","경상북도","김천시","일반국도",2,128.041498,"2",80,NA
"8356","경상북도","김천시","일반국도",1,128.030889,"2",80,NA
"8357","경상북도","김천시","시도",2,128.126996,"1",60,NA
"8358","경상북도","김천시","일반국도",2,128.172304,"2",40,NA
"8359","경상북도","김천시","일반국도",1,128.148532,"2",60,NA
"8360","경상북도","김천시","일반국도",1,128.055555,"2",70,NA
"8361","경상북도","김천시","시도",1,128.095281,"2",60,NA
"8362","경상북도","김천시","일반국도",1,128.11775,"2",60,NA
"8363","경상북도","김천시","지방도",1,128.11218,"2",60,NA
"8364","경상북도","김천시","일반국도",1,128.12254,"1",50,NA
"8365","경상북도","김천시","지방도",1,128.10127,"2",60,NA
"8366","경상북도","김천시","지방도",1,128.27992,"2",80,NA
"8367","경상북도","김천시","일반국도",1,128.17217,"2",80,NA
"8368","경상북도","김천시","일반국도",1,128.14807,"2",60,NA
"8369","경상북도","김천시","일반국도",1,128.11262,"1",60,NA
"8370","경상북도","김천시","일반국도",1,128.122748,"2",30,NA
"8371","경상북도","김천시","시도",1,128.174447,"2",30,NA
"8372","경상북도","김천시","지방도",1,128.246724,"2",40,NA
"8373","경상북도","김천시","일반국도",1,128.139526,"1",30,NA
"8374","경상북도","김천시","일반국도",1,128.077242,"1",50,NA
"8375","경상북도","김천시","일반국도",1,128.139971,"2",60,NA
"8376","경상북도","김천시","일반국도",1,127.995216,"1",60,NA
"8377","경상북도","김천시","지방도",1,128.227992,"1",80,NA
"8378","경상북도","김천시","일반국도",2,128.20061,"1",80,NA
"8379","경상북도","김천시","일반국도",2,128.117537,"2",60,NA
"8380","경상북도","김천시","지방도",1,128.202398,"1",80,NA
"8381","경상북도","김천시","지방도",1,128.117402,"1",80,NA
