"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"31","경기도","김포시","시도",3,126.676789,"2",60,NA
"32","경기도","김포시","지방도",3,126.614717,"2",60,NA
"36","경기도","김포시","일반국도",3,126.741088,"2",80,NA
"37","경기도","김포시","일반국도",3,126.741101,"2",80,NA
"38","경기도","김포시","일반국도",3,126.741116,"2",80,NA
"39","경기도","김포시","일반국도",3,126.719701,"2",80,NA
"40","경기도","김포시","일반국도",3,126.719707,"2",80,NA
"41","경기도","김포시","일반국도",3,126.719713,"2",80,NA
"42","경기도","김포시","일반국도",3,126.719683,"2",80,NA
"43","경기도","김포시","일반국도",3,126.719753593,"2",80,NA
"44","경기도","김포시","일반국도",3,126.719671,"2",80,NA
"45","경기도","김포시","일반국도",3,126.741058,"2",80,NA
"46","경기도","김포시","일반국도",3,126.741045,"2",80,NA
"47","경기도","김포시","일반국도",3,126.741058,"2",80,NA
"102","경기도","김포시","일반국도",3,126.666918,"2",70,NA
"135","경기도","김포시","시도",3,126.6294168,"2",60,NA
"136","경기도","김포시","시도",3,126.6290454,"2",60,NA
"137","경기도","김포시","시도",3,126.788402039,"2",60,NA
"138","경기도","김포시","시도",3,126.796186508,"2",60,NA
"139","경기도","김포시","시도",3,126.785735318,"2",60,NA
"140","경기도","김포시","시도",3,126.7861226,"2",60,NA
"4272","경기도","김포시","시도",3,126.626645172,"2",30,NA
"4273","경기도","김포시","시도",3,126.677925889,"2",30,NA
"4542","경기도","김포시","시도",3,126.706765,"2",50,NA
"5794","경기도","김포시","시도",3,126.659553724,"2",50,NA
"5795","경기도","김포시","시도",3,126.659969969,"2",50,NA
"6223","경기도","김포시","일반국도",3,126.597761,"2",70,NA
"6247","경기도","김포시","시도",3,126.697303119,"2",50,NA
"6250","경기도","김포시","시도",3,126.697816,"2",50,NA
"7660","경기도","김포시","시도",3,126.625717,"2",50,NA
"7714","경기도","김포시","시도",3,126.680165,"2",30,NA
"7715","경기도","김포시","시도",3,126.675122,"2",30,NA
"7716","경기도","김포시","시도",3,126.675829,"2",60,NA
"7717","경기도","김포시","시도",3,126.674045,"2",60,NA
"7718","경기도","김포시","시도",3,126.673995,"2",60,NA
"8525","경기도","김포시","시도",3,126.738115,"1",70,NA
"8526","경기도","김포시","시도",3,126.794024,"1",70,NA
"8527","경기도","김포시","시도",3,126.610782,"1",60,NA
"9171","경기도","김포시","일반국도",3,126.699828203,"2",30,NA
"9172","경기도","김포시","일반국도",3,126.699375,"2",60,NA
"9173","경기도","김포시","지방도",3,126.622930029,"2",60,NA
"9174","경기도","김포시","시도",3,126.675936,"2",60,NA
"9212","경기도","김포시","시도",3,126.631753,"2",70,NA
"9213","경기도","김포시","시도",3,126.631932,"2",60,NA
"9214","경기도","김포시","시도",3,126.637017,"2",60,NA
"9215","경기도","김포시","시도",3,126.636787,"2",60,NA
"9260","경기도","김포시","시도",3,126.725154179,"1",60,NA
"9266","경기도","김포시","시도",3,126.627225,"2",30,NA
"9267","경기도","김포시","시도",3,126.661577083,"2",60,NA
"9268","경기도","김포시","시도",3,126.678286,"2",60,NA
"9269","경기도","김포시","시도",3,126.678026,"2",50,NA
"9355","경기도","김포시","시도",3,126.664655788,"2",30,NA
"9356","경기도","김포시","지방도",3,126.632984,"2",30,NA
"9607","경기도","김포시","지방도",3,126.690873,"2",50,NA
"9608","경기도","김포시","지방도",3,126.689484,"2",30,NA
"10196","경기도","김포시","고속국도",2,126.7732546,"1",100,NA
"11055","경기도","김포시","시도",3,126.588900923,"2",30,NA
"11056","경기도","김포시","시도",3,126.634911547,"2",30,NA
"11057","경기도","김포시","시도",3,126.689213623,"2",30,NA
"11058","경기도","김포시","시도",3,126.660916769,"2",30,NA
"11059","경기도","김포시","지방도",3,126.552053,"2",30,NA
"11060","경기도","김포시","시도",3,126.725677725,"2",30,NA
"11061","경기도","김포시","시도",3,126.665424,"2",30,NA
