"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1074","부산광역시","남구","구도",3,129.0736699,"4",50,NA
"1075","부산광역시","남구","구도",3,129.0728342,"4",50,NA
"2426","부산광역시","남구","특별시도",3,129.081269,"2",50,NA
"2431","부산광역시","남구","특별시도",3,129.111668,"2",50,NA
"2432","부산광역시","남구","특별시도",3,129.111936,"2",50,NA
"2497","부산광역시","남구","특별시도",3,129.095371,"2",60,NA
"2498","부산광역시","남구","기타",3,129.073501,"2",30,NA
"3001","광주광역시","남구","특별시도",1,126.8308467,"2",70,NA
"3002","광주광역시","남구","일반국도",2,126.896676,"2",60,NA
"3031","광주광역시","남구","일반국도",2,126.8789134,"2",60,NA
"3036","광주광역시","남구","특별시도",2,126.8918761,"2",50,NA
"3041","광주광역시","남구","특별시도",2,126.907197,"2",30,NA
"3047","광주광역시","남구","특별시도",2,126.9066819,"2",50,NA
"3053","광주광역시","남구","일반국도",2,126.8437564,"2",60,NA
"3054","광주광역시","남구","일반국도",2,126.916773,"2",50,NA
"3055","광주광역시","남구","특별시도",2,126.8315033,"2",70,NA
"3069","광주광역시","남구","특별시도",2,126.909451,"2",50,NA
"3071","광주광역시","남구","일반국도",1,126.8976241,"2",60,NA
"3072","광주광역시","남구","일반국도",1,126.8789134,"2",60,NA
"3073","광주광역시","남구","일반국도",1,126.8911322,"2",60,NA
"3074","광주광역시","남구","특별시도",2,126.9030956,"2",50,NA
"3075","광주광역시","남구","특별시도",2,126.8927123,"2",60,NA
"3090","광주광역시","남구","일반국도",2,126.8760519,"1",80,NA
"3097","광주광역시","남구","특별시도",2,126.9078251,"2",50,NA
"3131","광주광역시","남구","특별시도",2,126.9200379,"2",50,NA
"3132","광주광역시","남구","특별시도",1,126.8943572,"2",30,NA
"3133","광주광역시","남구","특별시도",2,126.9183024,"2",50,NA
"3332","광주광역시","남구","일반국도",2,126.8985755,"2",60,NA
"3334","광주광역시","남구","특별시도",2,126.9065073,"1",60,NA
"3468","광주광역시","남구","특별시도",2,126.8927123,"2",30,NA
"3469","광주광역시","남구","특별시도",1,126.904363,"2",50,NA
"3470","광주광역시","남구","특별시도",2,126.8965494,"2",30,NA
"3472","광주광역시","남구","특별시도",1,126.9186964,"2",30,NA
"3473","광주광역시","남구","특별시도",2,126.910949,"2",30,NA
"3511","광주광역시","남구","특별시도",1,126.905048,"2",50,NA
"3512","광주광역시","남구","특별시도",1,126.9201967,"2",30,NA
"3513","광주광역시","남구","일반국도",1,126.9012127,"1",30,NA
"3514","광주광역시","남구","특별시도",1,126.9123926,"2",50,NA
"3545","광주광역시","남구","특별시도",1,126.897253,"1",30,NA
"3546","광주광역시","남구","특별시도",2,126.8834142,"2",50,NA
"3556","광주광역시","남구","특별시도",1,126.8956803,"2",30,NA
"3558","광주광역시","남구","특별시도",2,126.919012,"2",50,NA
"3565","광주광역시","남구","특별시도",2,126.9040824,"2",50,NA
"3566","광주광역시","남구","특별시도",1,126.903201,"2",50,NA
"3567","광주광역시","남구","일반국도",1,126.8607992,"2",80,NA
"3577","광주광역시","남구","특별시도",1,126.8704528,"1",30,NA
"7760","부산광역시","남구","구도",3,129.100955,"4",50,NA
"7761","부산광역시","남구","구도",3,129.083767,"4",50,NA
"7762","부산광역시","남구","구도",3,129.088125,"4",50,NA
"7763","부산광역시","남구","구도",3,129.078458,"4",50,NA
"7764","부산광역시","남구","구도",3,129.085338,"4",50,NA
"7765","부산광역시","남구","구도",3,129.121097,"4",50,NA
"7766","부산광역시","남구","구도",3,129.119058,"4",50,NA
"7767","부산광역시","남구","구도",3,129.082136,"4",50,NA
"7768","부산광역시","남구","구도",3,129.081503,"4",50,NA
"7770","부산광역시","남구","구도",3,129.0990597,"4",50,NA
"7771","부산광역시","남구","구도",3,129.1004782,"4",50,NA
"7772","부산광역시","남구","구도",3,129.0986292,"4",50,NA
"7773","부산광역시","남구","구도",3,129.1021711,"4",50,NA
"7774","부산광역시","남구","구도",3,129.116089,"4",50,NA
"7775","부산광역시","남구","구도",3,129.111096,"4",50,NA
"7776","부산광역시","남구","구도",3,129.092313,"4",50,NA
"7777","부산광역시","남구","구도",3,129.1092542,"4",30,NA
"7778","부산광역시","남구","구도",3,129.099126,"4",50,NA
"7779","부산광역시","남구","구도",3,129.088507,"4",50,NA
"7780","부산광역시","남구","구도",3,129.0803382,"4",30,NA
"7781","부산광역시","남구","구도",3,129.065432,"4",50,NA
"7782","부산광역시","남구","구도",3,129.071088,"4",50,NA
"7783","부산광역시","남구","구도",3,129.101597,"4",50,NA
"7784","부산광역시","남구","구도",3,129.090048,"4",30,NA
"8305","대구광역시","남구","시도",3,128.5800516,"4",0,NA
"8332","부산광역시","남구","구도",3,129.100605,"4",50,NA
"8333","부산광역시","남구","구도",3,129.100823,"4",50,NA
"8334","부산광역시","남구","구도",3,129.110775,"4",50,NA
"8335","부산광역시","남구","구도",3,129.107149,"4",50,NA
"8336","부산광역시","남구","구도",3,129.100896,"4",50,NA
"8337","부산광역시","남구","구도",3,129.0911053,"4",30,NA
"8338","부산광역시","남구","구도",3,129.111096,"4",50,NA
"8339","부산광역시","남구","구도",3,129.114522,"4",50,NA
"8340","부산광역시","남구","구도",3,129.081027,"4",30,NA
"8341","부산광역시","남구","구도",3,129.092149,"4",50,NA
"8342","부산광역시","남구","구도",3,129.070892,"4",50,NA
"8343","부산광역시","남구","구도",3,129.086605,"4",50,NA
"8344","부산광역시","남구","구도",3,129.077018,"4",50,NA
"8345","부산광역시","남구","구도",3,129.111871,"4",50,NA
"8346","부산광역시","남구","구도",3,129.099126,"4",50,NA
"8347","부산광역시","남구","구도",3,129.090424,"4",50,NA
"8348","부산광역시","남구","구도",3,129.109106,"4",50,NA
"8349","부산광역시","남구","구도",3,129.1107967,"4",30,NA
"8350","부산광역시","남구","구도",3,129.102067,"4",50,NA
"8891","부산광역시","남구","특별시도",3,129.081183,"2",50,NA
"8892","부산광역시","남구","기타",3,129.083431,"2",30,NA
"8893","부산광역시","남구","기타",3,129.073168,"2",30,NA
"8894","부산광역시","남구","기타",3,129.115553,"2",50,NA
"8895","부산광역시","남구","특별시도",3,129.079019,"2",50,NA
"8899","부산광역시","남구","특별시도",3,129.110875,"2",50,NA
"8940","대구광역시","남구","시도",3,128.5831931,"4",0,NA
"8941","대구광역시","남구","시도",3,128.574329,"4",0,NA
"8942","대구광역시","남구","시도",3,128.6074216,"4",0,NA
"8943","대구광역시","남구","시도",3,128.5688874,"4",0,NA
"8944","대구광역시","남구","시도",3,128.6048913,"4",0,NA
"8945","대구광역시","남구","시도",3,128.5990233,"4",0,NA
"8946","대구광역시","남구","시도",3,128.60368,"4",0,NA
"8947","대구광역시","남구","시도",3,128.5606878,"4",0,NA
"8948","대구광역시","남구","시도",3,128.6022874,"4",0,NA
"8949","대구광역시","남구","시도",3,128.594467,"4",0,NA
"8950","대구광역시","남구","시도",3,128.5958451,"4",0,NA
"8951","대구광역시","남구","시도",3,128.6014572,"4",0,NA
"8952","대구광역시","남구","시도",3,128.5576287,"4",0,NA
"8953","대구광역시","남구","시도",3,128.6051217,"4",0,NA
"8954","대구광역시","남구","시도",3,128.5864801,"4",0,NA
"8955","대구광역시","남구","시도",3,128.5708211,"4",0,NA
"8956","대구광역시","남구","시도",3,128.5813642,"4",0,NA
"8957","대구광역시","남구","시도",3,128.5819866,"4",0,NA
"8958","대구광역시","남구","시도",3,128.5616736,"4",0,NA
"12131","부산광역시","남구","시도",3,129.0884349,"3",0,30
"12132","부산광역시","남구","시도",3,129.0815839,"3",0,30
"12692","부산광역시","남구","기타",3,129.100924,"2",30,NA
"12693","부산광역시","남구","특별시도",3,129.095881,"2",60,NA
"12695","부산광역시","남구","특별시도",3,129.084101,"2",50,NA
"14773","부산광역시","남구","특별시도",3,129.116302,"2",50,NA
"14787","부산광역시","남구","특별시도",3,129.090142,"2",50,NA
"14934","부산광역시","남구","특별시도",3,129.109082,"2",50,NA
"15163","부산광역시","남구","특별시도",3,129.083321,"2",60,NA
"15164","부산광역시","남구","특별시도",3,129.102585,"1",60,NA
"15165","부산광역시","남구","특별시도",3,129.089977,"1",60,NA
"15189","부산광역시","남구","특별시도",3,129.094923,"2",50,NA
"15209","부산광역시","남구","특별시도",3,129.111105,"2",50,NA
"15210","부산광역시","남구","특별시도",3,129.116164,"2",50,NA
"15239","부산광역시","남구","특별시도",3,129.105013,"2",50,NA
"15348","부산광역시","남구","특별시도",3,129.100936,"1",60,NA
"15420","부산광역시","남구","특별시도",3,129.076028,"1",50,NA
"15446","부산광역시","남구","특별시도",3,129.066817,"2",50,NA
"15455","부산광역시","남구","특별시도",3,129.102813,"1",60,NA
"15466","부산광역시","남구","특별시도",3,129.068153,"2",50,NA
"15482","부산광역시","남구","특별시도",3,129.072131,"2",50,NA
"15484","부산광역시","남구","특별시도",3,129.108447,"1",60,NA
"15485","부산광역시","남구","특별시도",3,129.067513,"1",60,NA
