"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2216","대구광역시","남부","시도",2,128.603824,"2",50,NA
"2217","대구광역시","남부","시도",1,128.6042638,"2",50,NA
"2218","대구광역시","남부","시도",1,128.561295,"2",30,NA
"2229","대구광역시","남부","시도",1,128.5887714,"2",50,NA
"2257","대구광역시","남부","시도",2,128.5715838,"2",40,NA
"2330","대구광역시","남부","시도",2,128.5984542,"2",30,NA
"2331","대구광역시","남부","시도",1,128.5983737,"2",30,NA
"2405","대구광역시","남부","시도",1,128.5912069,"2",50,NA
"2760","대구광역시","남부","시도",1,128.5797967,"2",50,NA
"3402","대구광역시","남부","시도",2,128.5901119,"2",50,NA
"6858","대구광역시","남부","시도",1,128.5976763,"2",60,NA
"6875","대구광역시","남부","시도",1,128.6027564,"1",50,NA
"6913","대구광역시","남부","시도",2,128.5710098,"1",60,NA
"6929","대구광역시","남부","시도",2,128.587165,"2",50,NA
"6941","대구광역시","남부","시도",1,128.564501,"1",60,NA
"6942","대구광역시","남부","시도",1,128.5637088,"1",50,NA
"6982","대구광역시","남부","시도",1,128.583515,"1",60,NA
"15580","대구광역시","남부","시도",2,128.5821088,"2",50,NA
