"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3445","경기도","남양주시","시도",3,127.1865395,"2",60,NA
"3845","경기도","남양주시","지방도",3,127.1874703,"1",60,NA
"3852","경기도","남양주시","시도",3,127.3297357,"2",60,NA
"3858","경기도","남양주시","일반국도",3,127.312561,"1",50,NA
"3859","경기도","남양주시","시도",3,127.1893135,"2",50,NA
"3860","경기도","남양주시","시도",3,127.1977786,"2",30,NA
"3861","경기도","남양주시","시도",3,127.1975861,"2",50,NA
"3862","경기도","남양주시","시도",3,127.1964722,"2",50,NA
"3898","경기도","남양주시","지방도",3,127.1651715,"2",60,NA
"3904","경기도","남양주시","일반국도",3,127.1832972,"2",60,NA
"3910","경기도","남양주시","일반국도",3,127.1532833,"2",60,NA
"3914","경기도","남양주시","시도",3,127.2291776,"1",50,NA
"3915","경기도","남양주시","고속국도",3,127.2233203,"1",80,NA
"3916","경기도","남양주시","시도",3,127.1327333,"2",60,NA
"3917","경기도","남양주시","시도",3,127.1681111,"2",60,NA
"3918","경기도","남양주시","일반국도",3,127.194318,"2",60,NA
"3927","경기도","남양주시","시도",3,127.2050606,"2",50,NA
"3928","경기도","남양주시","일반국도",3,127.2065284,"2",60,NA
"3929","경기도","남양주시","시도",3,127.2553213,"2",50,NA
"3930","경기도","남양주시","시도",3,127.1922483,"2",60,NA
"3946","경기도","남양주시","시도",3,127.2008333,"2",50,NA
"4168","경기도","남양주시","시도",3,127.2581438,"2",60,NA
"4339","경기도","남양주시","지방도",3,127.303206,"2",50,NA
"4340","경기도","남양주시","시도",3,127.133999,"2",60,NA
"4377","경기도","남양주시","일반국도",3,127.191535,"2",60,NA
"4401","경기도","남양주시","일반국도",3,127.123821,"2",60,NA
"4402","경기도","남양주시","시도",3,127.195081,"2",50,NA
"4420","경기도","남양주시","시도",3,127.336896,"2",60,NA
"4421","경기도","남양주시","시도",3,127.337692,"2",60,NA
"4427","경기도","남양주시","시도",3,127.318531,"1",60,NA
"4436","경기도","남양주시","시도",3,127.1222229,"2",50,NA
"4461","경기도","남양주시","시도",3,127.341851,"2",60,NA
"4462","경기도","남양주시","시도",3,127.342053,"2",50,NA
"4472","경기도","남양주시","지방도",3,127.1800099,"2",60,NA
"4473","경기도","남양주시","시도",3,127.1544655,"2",60,NA
"4474","경기도","남양주시","시도",3,127.1535071,"2",60,NA
"4475","경기도","남양주시","시도",3,127.1375915,"2",60,NA
"4479","경기도","남양주시","일반국도",3,127.2252028,"1",60,NA
"4480","경기도","남양주시","일반국도",3,127.1925185,"1",80,NA
"4481","경기도","남양주시","일반국도",3,127.2893657,"1",80,NA
"4487","경기도","남양주시","시도",3,127.1270561,"1",60,NA
"4488","경기도","남양주시","시도",3,127.1267271,"1",60,NA
"4489","경기도","남양주시","시도",3,127.1182835,"2",60,NA
"4505","경기도","남양주시","시도",3,127.2165485,"2",60,NA
"4506","경기도","남양주시","지방도",3,127.2065472,"2",60,NA
"4579","경기도","남양주시","지방도",3,127.1716917,"1",60,NA
"4580","경기도","남양주시","지방도",3,127.1770833,"2",60,NA
"4581","경기도","남양주시","시도",3,127.2472535,"2",30,NA
"4582","경기도","남양주시","시도",3,127.2751698,"2",60,NA
"4601","경기도","남양주시","시도",3,127.1340556,"1",60,NA
"4602","경기도","남양주시","지방도",3,127.1648081,"2",60,NA
"4603","경기도","남양주시","지방도",3,127.3035388,"2",50,NA
"4604","경기도","남양주시","시도",3,127.1150868,"2",60,NA
"4605","경기도","남양주시","시도",3,127.1151001,"2",60,NA
"4606","경기도","남양주시","지방도",3,127.1811126,"2",60,NA
"4607","경기도","남양주시","지방도",3,127.1813536,"2",60,NA
"4608","경기도","남양주시","시도",3,127.2295905,"2",60,NA
"4609","경기도","남양주시","지방도",3,127.3119938,"2",50,NA
"4642","경기도","남양주시","시도",3,127.1525146,"2",50,NA
"4643","경기도","남양주시","시도",3,127.1589195,"2",30,NA
"4644","경기도","남양주시","시도",3,127.1576217,"2",30,NA
"4645","경기도","남양주시","시도",3,127.1544982,"2",50,NA
"4646","경기도","남양주시","시도",3,127.1481379,"2",30,NA
"4647","경기도","남양주시","시도",3,127.1482542,"2",30,NA
"4648","경기도","남양주시","고속국도",3,127.1524706,"1",100,NA
"4651","경기도","남양주시","일반국도",3,127.3741774,"2",60,NA
"4652","경기도","남양주시","시도",3,127.1617995,"2",60,NA
"4653","경기도","남양주시","시도",3,127.190941,"2",30,NA
"4694","경기도","남양주시","시도",3,127.025904,"1",60,NA
"4719","경기도","남양주시","지방도",1,127.152535,"1",70,NA
"4892","경기도","남양주시","시도",3,127.2957024,"2",30,NA
"4916","경기도","남양주시","일반국도",3,128.318942,"2",30,NA
"4917","경기도","남양주시","지방도",3,127.162803,"2",60,NA
"4933","경기도","남양주시","일반국도",3,127.336591,"1",80,NA
"4934","경기도","남양주시","시도",3,127.1800065,"2",50,NA
"4935","경기도","남양주시","시도",3,127.207964,"2",30,NA
"4999","경기도","남양주시","일반국도",3,127.361152,"1",80,NA
"5007","경기도","남양주시","지방도",3,127.274724,"1",50,NA
"5008","경기도","남양주시","일반국도",3,127.323914,"2",50,NA
"5009","경기도","남양주시","시도",3,127.189635,"2",50,NA
"5010","경기도","남양주시","일반국도",3,127.361551,"2",30,NA
"5011","경기도","남양주시","일반국도",3,127.331271,"2",60,NA
"5012","경기도","남양주시","시도",3,127.126375,"2",60,NA
"5013","경기도","남양주시","시도",3,127.145409,"2",50,NA
"5014","경기도","남양주시","지방도",3,127.197373,"2",50,NA
"5150","경기도","남양주시","시도",3,127.189253,"2",50,NA
"5151","경기도","남양주시","지방도",3,127.172277,"2",60,NA
"5158","경기도","남양주시","지방도",1,127.1375405,"1",60,NA
"5159","경기도","남양주시","지방도",1,127.1175544,"1",60,NA
"5160","경기도","남양주시","지방도",1,127.1214784,"1",60,NA
"5161","경기도","남양주시","지방도",1,127.3424044,"1",70,NA
"5162","경기도","남양주시","지방도",1,127.340907,"1",50,NA
"5163","경기도","남양주시","지방도",1,127.3363142,"1",70,NA
"5164","경기도","남양주시","지방도",1,127.3360127,"1",60,NA
"5165","경기도","남양주시","지방도",1,127.1239488,"1",70,NA
"5166","경기도","남양주시","지방도",1,127.1954511,"1",60,NA
"5167","경기도","남양주시","지방도",1,127.1908406,"1",70,NA
"5168","경기도","남양주시","지방도",1,127.301606,"1",50,NA
"5169","경기도","남양주시","지방도",1,127.1326534,"1",70,NA
"5170","경기도","남양주시","지방도",1,127.3238593,"1",60,NA
"5171","경기도","남양주시","지방도",1,127.1721118,"1",70,NA
