"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"960","전라북도","남원시","일반국도",NA,127.5625564,"1",60,NA
"1332","전라북도","남원시","시도",NA,127.3384827,"2",70,NA
"1333","전라북도","남원시","시도",NA,127.3384966,"2",70,NA
"1339","전라북도","남원시","시도",NA,127.3725118,"2",30,NA
"1361","전라북도","남원시","시도",NA,127.3910921,"2",50,NA
"1398","전라북도","남원시","시도",NA,127.3145364,"1",40,NA
"1399","전라북도","남원시","일반국도",NA,127.3220883,"1",80,NA
"1506","전라북도","남원시","시도",NA,127.4350811,"1",60,NA
"2524","전라북도","남원시","시도",NA,127.4014101,"2",30,NA
"2525","전라북도","남원시","시도",NA,127.4012724,"2",30,NA
"4751","전라북도","남원시","시도",NA,127.4254062,"2",60,NA
"4752","전라북도","남원시","일반국도",NA,127.6275787,"1",60,NA
"4769","전라북도","남원시","일반국도",NA,127.3522936,"1",40,NA
"4801","전라북도","남원시","일반국도",NA,127.3626918,"2",80,NA
"4814","전라북도","남원시","시도",NA,127.3878303,"2",50,NA
"4815","전라북도","남원시","일반국도",NA,127.3318723,"1",60,NA
"5074","전라북도","남원시","일반국도",NA,127.4639783,"1",60,NA
"5075","전라북도","남원시","시도",NA,127.4260257,"2",60,NA
"5076","전라북도","남원시","지방도",NA,127.4000149,"1",60,NA
"5653","전라북도","남원시","일반국도",NA,127.4772882,"2",30,NA
"5654","전라북도","남원시","일반국도",NA,127.4747578,"1",40,NA
"5655","전라북도","남원시","지방도",NA,127.5975615,"1",50,NA
"5656","전라북도","남원시","지방도",NA,127.5969443,"1",50,NA
"8663","전라북도","남원시","시도",NA,127.3928015,"2",50,NA
"8676","전라북도","남원시","고속국도",NA,127.379755,"1",100,NA
"8692","전라북도","남원시","일반국도",NA,127.3732874,"2",80,NA
"8695","전라북도","남원시","지방도",NA,127.3933621,"2",50,NA
"8696","전라북도","남원시","시도",NA,127.4087548,"2",50,NA
"11604","전라북도","남원시","시도",NA,127.378784,"1",30,NA
"12678","전라북도","남원시","일반국도",NA,127.4475347,"1",60,NA
"12679","전라북도","남원시","일반국도",NA,127.5191206,"1",60,NA
"12680","전라북도","남원시","시도",NA,127.4499296,"1",60,NA
"12681","전라북도","남원시","시도",NA,127.3850539,"1",50,NA
"12682","전라북도","남원시","시도",NA,127.4016231,"1",50,NA
"12683","전라북도","남원시","시도",NA,127.4018441,"1",50,NA
"12869","전라북도","남원시","시도",NA,127.3806976,"1",30,NA
"12870","전라북도","남원시","시도",NA,127.3795626,"1",30,NA
"12871","전라북도","남원시","시도",NA,127.3881152,"1",30,NA
"12872","전라북도","남원시","시도",NA,127.3772596,"1",30,NA
"12873","전라북도","남원시","지방도",NA,127.444494,"1",30,NA
"14150","전라북도","남원시","시도",NA,127.229109,"1",40,NA
"14151","전라북도","남원시","시도",NA,127.2297159,"1",40,NA
"14152","전라북도","남원시","시도",NA,127.448645,"1",60,NA
"14153","전라북도","남원시","시도",NA,127.449606,"1",60,NA
"14154","전라북도","남원시","지방도",NA,127.3399058,"1",60,NA
"14155","전라북도","남원시","시도",NA,127.3146849,"1",40,NA
"14156","전라북도","남원시","시도",NA,127.3172846,"1",40,NA
"14157","전라북도","남원시","지방도",NA,127.3738471,"1",50,NA
"14158","전라북도","남원시","지방도",NA,127.374016,"1",50,NA
"14867","전라북도","남원시","시도",NA,127.395606,"1",50,NA
"14868","전라북도","남원시","시도",NA,127.368378,"1",50,NA
"14869","전라북도","남원시","지방도",NA,127.291453,"1",40,NA
"14895","전라북도","남원시","고속국도",NA,127.4603016,"1",100,NA
"14915","전라북도","남원시","지방도",NA,127.422546,"1",60,NA
"15136","전라북도","남원시","시도",NA,127.3784444,"1",50,NA
"17101","전라북도","남원시","일반국도",NA,127.5108402,"1",60,NA
