"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5898","경상남도","남해군","지방도",2,127.965755,"02",60,NA
"6352","경상남도","남해군","지방도",1,127.973832,"02",60,NA
"6533","경상남도","남해군","일반국도",3,128.015741,"01",60,NA
"7469","경상남도","남해군","일반국도",2,128.010171,"01",60,NA
"7515","경상남도","남해군","일반국도",3,128.026193,"01",50,NA
"7520","경상남도","남해군","일반국도",3,128.013666,"01",60,NA
"7559","경상남도","남해군","일반국도",2,128.035731,"01",60,NA
"7607","경상남도","남해군","일반국도",2,127.888405,"01",70,NA
"7608","경상남도","남해군","일반국도",1,127.893364,"02",70,NA
"7622","경상남도","남해군","일반국도",2,127.899054,"01",60,NA
"7901","경상남도","남해군","일반국도",1,127.876848,"02",50,NA
"8100","경상남도","남해군","일반국도",3,128.034884,"02",30,NA
"8101","경상남도","남해군","군도",3,127.896659,"01",30,NA
"8102","경상남도","남해군","일반국도",2,127.985918,"01",30,NA
"8150","경상남도","남해군","일반국도",2,127.877051,"02",70,NA
"8310","경상남도","남해군","군도",2,127.893387,"01",30,NA
"8311","경상남도","남해군","일반국도",1,128.020217,"01",60,NA
"8312","경상남도","남해군","일반국도",2,128.020217,"01",60,NA
"8319","경상남도","남해군","일반국도",2,127.925591,"02",70,NA
"8320","경상남도","남해군","일반국도",1,127.932489,"02",70,NA
"8321","경상남도","남해군","일반국도",1,127.959055,"01",60,NA
"8383","경상남도","남해군","일반국도",2,127.910321,"02",70,NA
"8428","경상남도","남해군","일반국도",1,127.891311,"01",70,NA
"8429","경상남도","남해군","일반국도",1,127.903481,"02",70,NA
"8491","경상남도","남해군","일반국도",2,128.049802,"01",60,NA
"8492","경상남도","남해군","일반국도",2,128.050008,"01",60,NA
"8512","경상남도","남해군","일반국도",1,127.949227,"01",60,NA
"8513","경상남도","남해군","일반국도",2,127.949227,"01",60,NA
"8542","경상남도","남해군","지방도",1,127.914482,"01",30,NA
"8543","경상남도","남해군","지방도",2,127.914482,"01",30,NA
"8544","경상남도","남해군","군도",2,127.952648,"01",30,NA
"8545","경상남도","남해군","군도",1,127.952648,"01",30,NA
"8546","경상남도","남해군","지방도",2,127.837722,"01",30,NA
"8547","경상남도","남해군","지방도",1,127.837722,"01",30,NA
"8548","경상남도","남해군","지방도",2,127.889865,"01",30,NA
"8549","경상남도","남해군","지방도",1,127.889865,"01",30,NA
"8550","경상남도","남해군","군도",2,128.011611,"01",30,NA
"8551","경상남도","남해군","군도",1,128.011611,"01",30,NA
"8731","경상남도","남해군","일반국도",2,127.894964,"02",70,NA
"8778","경상남도","남해군","군도",2,127.877589,"01",30,NA
"8779","경상남도","남해군","군도",1,127.877589,"01",30,NA
"8781","경상남도","남해군","군도",2,127.892462,"01",30,NA
"8782","경상남도","남해군","군도",1,127.892462,"01",30,NA
"12155","경상남도","남해군","기타",1,127.89498,"4",0,NA
"12156","경상남도","남해군","기타",3,127.89484,"4",0,NA
"12157","경상남도","남해군","기타",3,127.89088,"4",0,NA
"12158","경상남도","남해군","기타",3,127.89302,"4",0,NA
"12159","경상남도","남해군","기타",3,127.89649,"4",0,NA
"12160","경상남도","남해군","기타",3,127.89569,"4",0,NA
"12161","경상남도","남해군","기타",3,128.00126,"4",0,NA
"12162","경상남도","남해군","일반국도",3,128.04663,"4",0,NA
"12163","경상남도","남해군","기타",2,127.8957,"4",0,NA
"12164","경상남도","남해군","기타",3,127.89802,"4",0,NA
"12216","경상남도","남해군","기타",3,127.89416,"4",0,NA
"12217","경상남도","남해군","기타",3,127.89327,"4",0,NA
"12218","경상남도","남해군","기타",3,127.89479,"4",0,NA
