"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4561","서울특별시","노원구","특별시도",2,127.085484,"2",60,NA
"12367","서울특별시","노원구","일반국도",1,127.058807,"2",60,NA
"12413","서울특별시","노원구","특별시도",1,127.075237,"2",60,NA
"12950","서울특별시","노원구","일반국도",1,127.060651,"2",60,NA
"13198","서울특별시","노원구","특별시도",1,127.079722,"1",60,NA
"17538","서울특별시","노원구","특별시도",1,127.103507,"2",60,NA
"17560","서울특별시","노원구","특별시도",2,127.055306,"2",60,NA
"17575","서울특별시","노원구","특별시도",2,127.102345,"1",60,NA
"17601","서울특별시","노원구","특별시도",2,127.086426,"2",60,NA
"17619","서울특별시","노원구","특별시도",2,127.083098,"2",60,NA
"17620","서울특별시","노원구","일반국도",2,127.072903,"2",60,NA
"17621","서울특별시","노원구","특별시도",1,127.084998,"2",60,NA
"17634","서울특별시","노원구","특별시도",2,127.087046,"2",60,NA
"17955","서울특별시","노원구","특별시도",1,127.087443,"2",60,NA
