"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"562","충청남도","논산시","고속국도",2,127.051944,"1",110,12.5
"563","충청남도","논산시","고속국도",2,127.051944,"1",110,12.5
"564","충청남도","논산시","고속국도",2,127.053959,"1",110,NA
"565","충청남도","논산시","고속국도",2,127.053948,"1",110,NA
"600","충청남도","논산시","고속국도",2,127.265778,"1",100,NA
"602","충청남도","논산시","일반국도",1,127.0985,"2",60,NA
"625","충청남도","논산시","일반국도",2,127.160852,"1",70,NA
"833","충청남도","논산시","일반국도",2,127.218361,"1",70,NA
"834","충청남도","논산시","일반국도",2,127.127167,"1",70,NA
"875","충청남도","논산시","시도",2,127.084694,"2",50,NA
"876","충청남도","논산시","일반국도",1,127.218236,"2",70,NA
"877","충청남도","논산시","일반국도",1,127.228246,"1",70,NA
"972","충청남도","논산시","일반국도",1,127.058701,"1",70,NA
"973","충청남도","논산시","지방도",1,127.089669,"1",70,NA
"1063","충청남도","논산시","시도",2,127.096389,"2",50,NA
"1070","충청남도","논산시","일반국도",2,127.105667,"2",60,NA
"1112","충청남도","논산시","일반국도",2,127.110655,"2",50,NA
"1113","충청남도","논산시","일반국도",1,127.15528,"1",70,NA
"1114","충청남도","논산시","일반국도",2,127.098741,"1",30,NA
"1193","충청남도","논산시","일반국도",2,127.228005,"2",70,NA
"1194","충청남도","논산시","일반국도",1,127.10367,"2",80,NA
"1294","충청남도","논산시","지방도",2,127.047363,"2",70,NA
"1467","충청남도","논산시","일반국도",1,127.090194,"2",50,NA
"1468","충청남도","논산시","시도",1,127.084722,"2",50,NA
"1469","충청남도","논산시","지방도",2,127.008639,"1",50,NA
"1470","충청남도","논산시","지방도",1,127.010889,"1",50,NA
"1629","충청남도","논산시","시도",2,127.090979,"1",30,NA
"1630","충청남도","논산시","시도",1,127.090979,"1",30,NA
"1631","충청남도","논산시","지방도",2,127.165759,"1",30,NA
"1632","충청남도","논산시","지방도",1,127.165759,"1",30,NA
"1633","충청남도","논산시","시도",2,127.083648,"2",30,NA
"1634","충청남도","논산시","시도",1,127.083648,"2",30,NA
"1635","충청남도","논산시","시도",1,127.019927,"1",30,NA
"1636","충청남도","논산시","시도",2,127.019927,"1",30,NA
"1637","충청남도","논산시","시도",1,127.08768,"1",30,NA
"1638","충청남도","논산시","시도",2,127.08768,"1",30,NA
"1639","충청남도","논산시","시도",1,127.104651,"2",30,NA
"1640","충청남도","논산시","시도",2,127.104679,"2",30,NA
