"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"151","대구광역시","달서","시도",1,128.544684,"2",30,NA
"168","대구광역시","달서","일반국도",1,128.5579528,"2",60,NA
"174","대구광역시","달서","시도",2,128.562333,"99",80,4610
"1526","대구광역시","달서","시도",2,128.5318925,"2",30,NA
"1730","대구광역시","달서","시도",2,128.5153701,"2",50,NA
"1731","대구광역시","달서","시도",1,128.5214694,"2",50,NA
"1732","대구광역시","달서","시도",2,128.5262545,"2",50,NA
"1733","대구광역시","달서","시도",2,128.5271611,"2",30,NA
"1734","대구광역시","달서","시도",2,128.5314043,"2",30,NA
"1735","대구광역시","달서","시도",1,128.5443487,"2",40,NA
"1736","대구광역시","달서","시도",1,128.5321875,"2",30,NA
"1797","대구광역시","달서","시도",2,128.5435655,"2",30,NA
"1798","대구광역시","달서","시도",1,128.543426,"2",30,NA
"1799","대구광역시","달서","시도",1,128.5314687,"2",30,NA
"1800","대구광역시","달서","시도",2,128.5120066,"2",60,NA
"1801","대구광역시","달서","시도",2,128.5120334,"2",60,NA
"2234","대구광역시","달서","시도",1,128.5308947,"2",60,NA
"2235","대구광역시","달서","시도",1,128.5209115,"2",50,NA
"2239","대구광역시","달서","시도",2,128.5317423,"1",30,NA
"2240","대구광역시","달서","시도",1,128.5538651,"1",60,NA
"2254","대구광역시","달서","시도",2,128.5133432,"2",50,NA
"2255","대구광역시","달서","시도",1,128.5418488,"1",40,NA
"2264","대구광역시","달서","시도",1,128.548549,"2",50,NA
"2267","대구광역시","달서","시도",1,128.5209115,"2",30,NA
"2268","대구광역시","달서","시도",1,128.5209222,"2",60,NA
"2269","대구광역시","달서","시도",1,128.5208847,"2",60,NA
"2394","대구광역시","달서","시도",2,128.5213782,"2",50,NA
"2409","대구광역시","달서","시도",1,128.5529156,"2",50,NA
"2410","대구광역시","달서","일반국도",1,128.5071303,"2",60,NA
"2743","대구광역시","달서","시도",1,128.5502066,"2",30,NA
"5342","대구광역시","달서","시도",1,128.5416235,"2",50,NA
"5344","대구광역시","달서","일반국도",1,128.5547074,"2",50,NA
"5346","대구광역시","달서","시도",1,128.5260882,"2",40,NA
"6859","대구광역시","달서","시도",1,128.5376485,"2",60,NA
"6869","대구광역시","달서","시도",2,128.5203858,"2",50,NA
"6870","대구광역시","달서","시도",1,128.5209276,"2",50,NA
"6892","대구광역시","달서","시도",2,128.5544016,"1",60,NA
"6896","대구광역시","달서","시도",1,128.5185083,"2",50,NA
"6905","대구광역시","달서","시도",2,128.5297628,"2",50,NA
"6906","대구광역시","달서","시도",2,128.5446062,"2",50,NA
"6935","대구광역시","달서","시도",1,128.5363664,"2",60,NA
"6936","대구광역시","달서","시도",1,128.5346176,"2",50,NA
"6939","대구광역시","달서","시도",1,128.4922387,"2",60,NA
"6953","대구광역시","달서","시도",1,128.6298682,"2",30,NA
"8382","대구광역시","달서","시도",1,128.5217752,"1",30,NA
"13075","대구광역시","달서","시도",1,128.5494555,"2",30,NA
"13076","대구광역시","달서","시도",2,128.5373749,"2",60,NA
"13101","대구광역시","달서","일반국도",2,128.5173817,"2",50,NA
"13151","대구광역시","달서","시도",1,128.5194524,"2",50,NA
"13332","대구광역시","달서","시도",1,128.5627915,"99",80,4507
"13333","대구광역시","달서","시도",1,128.5626574,"99",80,4507
"13334","대구광역시","달서","시도",1,128.5626521,"99",80,4507
"15746","대구광역시","달서","시도",1,128.5284163,"2",50,NA
"16126","대구광역시","달서","시도",2,128.562333,"99",80,4610
"16127","대구광역시","달서","시도",2,128.562333,"99",80,4610
"18355","대구광역시","달서","일반국도",1,128.5579421,"2",50,NA
"18356","대구광역시","달서","시도",2,128.5304119,"2",60,NA
