"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"169","대구광역시","달성","지방도",2,128.6269822,"2",60,NA
"170","대구광역시","달성","일반국도",1,128.4624876,"2",60,NA
"1752","대구광역시","달성","지방도",2,128.6477854,"2",50,NA
"2236","대구광역시","달성","시도",1,128.6387463,"2",60,NA
"2241","대구광역시","달성","시도",1,128.5010632,"2",50,NA
"2261","대구광역시","달성","시도",2,128.4205486,"2",70,NA
"2263","대구광역시","달성","일반국도",1,128.4351291,"2",70,NA
"2265","대구광역시","달성","시도",1,128.5556998,"99",40,10118
"2266","대구광역시","달성","시도",1,128.6172887,"99",40,10118
"2270","대구광역시","달성","시도",1,128.4679647,"1",60,NA
"2272","대구광역시","달성","시도",1,128.4527244,"1",70,NA
"2337","대구광역시","달성","시도",1,128.4592851,"2",60,NA
"2338","대구광역시","달성","시도",1,128.4972437,"2",30,NA
"2339","대구광역시","달성","시도",1,128.4835108,"1",30,NA
"2340","대구광역시","달성","시도",1,128.4697618,"1",30,NA
"2415","대구광역시","달성","시도",2,128.4552699321,"2",60,NA
"2744","대구광역시","달성","시도",2,128.4965946,"2",50,NA
"2745","대구광역시","달성","시도",1,128.448862,"2",60,NA
"2746","대구광역시","달성","시도",2,128.4700676,"2",60,NA
"2748","대구광역시","달성","일반국도",2,128.4701158,"2",60,NA
"2749","대구광역시","달성","시도",1,128.4644242,"2",40,NA
"2750","대구광역시","달성","일반국도",2,128.4390666,"2",60,NA
"2753","대구광역시","달성","지방도",1,128.6724939,"2",60,NA
"2754","대구광역시","달성","일반국도",1,128.416241,"2",70,NA
"3267","대구광역시","달성","일반국도",1,128.4982147,"2",40,NA
"5329","대구광역시","달성","일반국도",1,128.4358479,"1",50,NA
"5349","대구광역시","달성","일반국도",1,128.5045393,"2",50,NA
"5363","대구광역시","달성","시도",2,128.464097,"2",40,NA
"5364","대구광역시","달성","시도",1,NA,"99",80,8356
"5365","대구광역시","달성","시도",1,NA,"99",80,8356
"5366","대구광역시","달성","시도",1,NA,"99",80,8356
"5367","대구광역시","달성","시도",1,NA,"99",80,8356
"5368","대구광역시","달성","시도",2,128.4670903,"99",30,NA
"5369","대구광역시","달성","시도",1,128.4676697,"2",30,NA
"5370","대구광역시","달성","시도",1,128.4809198,"1",30,NA
"6569","대구광역시","달성","일반국도",1,128.4120943,"1",70,NA
"6577","대구광역시","달성","시도",1,128.492894,"2",50,NA
"6578","대구광역시","달성","일반국도",2,128.4327936,"2",70,NA
"6579","대구광역시","달성","일반국도",2,128.5051401,"2",50,NA
"6727","대구광역시","달성","일반국도",2,128.4347321,"1",50,NA
"6802","대구광역시","달성","지방도",1,128.6563094,"1",60,NA
"6862","대구광역시","달성","시도",1,128.4680505,"2",50,NA
"6863","대구광역시","달성","일반국도",2,128.4166541,"2",70,NA
"6864","대구광역시","달성","일반국도",2,128.4828724,"2",60,NA
"6867","대구광역시","달성","시도",2,128.489078,"1",80,NA
"6868","대구광역시","달성","시도",2,128.4657599,"1",80,NA
"6871","대구광역시","달성","일반국도",1,128.4664573,"2",60,NA
"6872","대구광역시","달성","시도",2,128.4955164,"2",30,NA
"6873","대구광역시","달성","시도",2,128.4584268,"2",30,NA
"6874","대구광역시","달성","일반국도",2,128.4485026,"1",70,NA
"6878","대구광역시","달성","시도",2,128.4716715,"2",50,NA
"6886","대구광역시","달성","시도",2,128.4291371,"1",60,NA
"6887","대구광역시","달성","시도",1,128.4529551,"1",50,NA
"6888","대구광역시","달성","시도",2,128.482174,"1",50,NA
"6894","대구광역시","달성","시도",2,128.4543981,"1",60,NA
"6908","대구광역시","달성","시도",2,128.4532877,"2",50,NA
"6909","대구광역시","달성","시도",2,NA,"2",60,NA
"6910","대구광역시","달성","시도",1,128.4178074,"2",60,NA
"6911","대구광역시","달성","시도",1,128.4386589,"2",50,NA
"6922","대구광역시","달성","시도",2,128.4975763,"2",50,NA
"6926","대구광역시","달성","일반국도",1,128.435061,"2",70,NA
"6937","대구광역시","달성","지방도",1,128.623962,"2",60,NA
"6938","대구광역시","달성","일반국도",2,128.4105976,"2",70,NA
"6951","대구광역시","달성","시도",2,128.503074,"1",50,NA
"6955","대구광역시","달성","시도",1,128.487756,"2",50,NA
"6981","대구광역시","달성","시도",1,128.4424784,"1",60,NA
"6986","대구광역시","달성","시도",1,128.4990354,"1",50,NA
"12520","대구광역시","달성","시도",2,128.4515281,"2",30,NA
"12521","대구광역시","달성","시도",1,128.4510185,"2",30,NA
"12522","대구광역시","달성","시도",1,128.420495,"2",30,NA
"12523","대구광역시","달성","시도",1,128.4209778,"2",30,NA
"12524","대구광역시","달성","시도",2,128.4189017,"2",30,NA
"12525","대구광역시","달성","시도",1,128.4450265,"2",50,NA
"12526","대구광역시","달성","시도",1,128.4239443,"2",50,NA
"12527","대구광역시","달성","시도",2,128.4964069,"2",40,NA
"12528","대구광역시","달성","시도",1,128.4794285,"2",50,NA
"12529","대구광역시","달성","시도",2,128.4785487,"2",50,NA
"12674","대구광역시","달성","시도",1,128.4579172,"2",30,NA
"12982","대구광역시","달성","일반국도",1,128.455831,"2",60,NA
"13341","대구광역시","달성","지방도",1,128.6387839,"2",60,NA
"14125","대구광역시","달성","시도",2,128.4576007,"2",30,NA
"14175","대구광역시","달성","시도",1,128.460513,"2",30,NA
"14199","대구광역시","달성","지방도",1,128.6479839,"2",50,NA
"15747","대구광역시","달성","일반국도",2,128.4891005,"2",50,NA
"16026","대구광역시","달성","일반국도",1,128.4832265,"2",60,NA
"16028","대구광역시","달성","일반국도",2,128.436637,"1",70,NA
