"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"11804","대구광역시","달성군","군도",1,128.4563127,"2",60,NA
"11805","대구광역시","달성군","군도",1,128.440709,"1",60,NA
"11806","대구광역시","달성군","군도",1,128.5001635,"1",60,NA
"11807","대구광역시","달성군","군도",1,128.413899,"1",70,NA
"11808","대구광역시","달성군","군도",1,128.4931635,"2",50,NA
"11809","대구광역시","달성군","군도",2,128.4327936,"2",70,NA
"11810","대구광역시","달성군","군도",2,128.5054138,"2",60,NA
"11811","대구광역시","달성군","군도",1,128.504514,"2",60,NA
"11812","대구광역시","달성군","군도",2,128.4638897,"2",50,NA
"11813","대구광역시","달성군","군도",1,128.466235,"99",80,8356
"11814","대구광역시","달성군","군도",1,128.466235,"99",80,8356
"11815","대구광역시","달성군","군도",1,128.512373,"99",80,8356
"11816","대구광역시","달성군","군도",1,128.512373,"99",80,8356
"11817","대구광역시","달성군","군도",2,128.4676241,"99",30,NA
"11818","대구광역시","달성군","군도",1,128.4677144,"2",50,NA
"11819","대구광역시","달성군","군도",1,128.4814713,"1",30,NA
"11820","대구광역시","달성군","군도",1,128.4353444,"1",50,NA
"11821","대구광역시","달성군","군도",2,128.455271,"2",60,NA
"11822","대구광역시","달성군","시도",1,128.4600423,"2",60,NA
"11823","대구광역시","달성군","시도",1,128.4973112,"2",30,NA
"11831","대구광역시","달성군","군도",2,128.4165681,"2",70,NA
"11832","대구광역시","달성군","군도",1,128.3986615,"2",70,NA
"11833","대구광역시","달성군","군도",2,128.4924394,"1",80,NA
"11834","대구광역시","달성군","군도",2,128.464261,"1",80,NA
"11835","대구광역시","달성군","군도",1,128.4671508,"2",70,NA
"11836","대구광역시","달성군","군도",2,128.4956267,"2",30,NA
"11837","대구광역시","달성군","군도",2,128.4584837,"2",30,NA
"11838","대구광역시","달성군","군도",2,128.4482798,"1",70,NA
"11839","대구광역시","달성군","군도",1,128.6496844,"1",50,NA
"11840","대구광역시","달성군","군도",2,128.4342873,"1",50,NA
"11841","대구광역시","달성군","군도",1,128.4976297,"2",50,NA
"11842","대구광역시","달성군","군도",2,128.4964286,"2",60,NA
"11843","대구광역시","달성군","군도",1,128.4488121,"2",60,NA
"11844","대구광역시","달성군","군도",2,128.4701989,"2",60,NA
"11845","대구광역시","달성군","군도",2,128.4699247,"2",70,NA
"11846","대구광역시","달성군","군도",1,128.4645282,"2",50,NA
"11847","대구광역시","달성군","군도",2,128.4382358,"2",70,NA
"11848","대구광역시","달성군","군도",1,128.6711424,"2",60,NA
"11849","대구광역시","달성군","군도",1,128.416668,"2",70,NA
"11850","대구광역시","달성군","군도",2,128.6269448,"2",60,NA
"11851","대구광역시","달성군","군도",1,128.4623511,"2",60,NA
"11852","대구광역시","달성군","군도",2,128.436921,"1",70,NA
"11853","대구광역시","달성군","군도",1,128.483199,"2",70,NA
"11854","대구광역시","달성군","군도",2,128.488422,"2",60,NA
"11855","대구광역시","달성군","군도",1,128.6379083,"2",60,NA
"11864","대구광역시","달성군","일반국도",2,128.4695166,"1",70,NA
"11865","대구광역시","달성군","군도",2,128.503074,"1",60,NA
"11866","대구광역시","달성군","군도",1,128.4873952,"2",50,NA
"11867","대구광역시","달성군","군도",1,128.4346639,"2",70,NA
"11868","대구광역시","달성군","군도",1,128.623546,"2",60,NA
"11869","대구광역시","달성군","군도",2,128.4108742,"2",70,NA
"11870","대구광역시","달성군","군도",2,128.4532615,"2",60,NA
"11871","대구광역시","달성군","군도",2,128.4168379,"2",60,NA
"11872","대구광역시","달성군","군도",1,128.4180381,"2",60,NA
"11873","대구광역시","달성군","군도",1,128.438611,"2",60,NA
"11874","대구광역시","달성군","군도",2,128.498618,"2",60,NA
"11875","대구광역시","달성군","군도",2,128.470551,"2",60,NA
"11876","대구광역시","달성군","군도",2,128.429606,"1",60,NA
"11877","대구광역시","달성군","군도",1,128.453301,"1",50,NA
"11878","대구광역시","달성군","군도",2,128.4838042,"1",60,NA
"11879","대구광역시","달성군","군도",2,128.448949,"1",60,NA
"11880","대구광역시","달성군","시도",1,128.4677066,"2",60,NA
