"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4253","전라남도","담양군","일반국도",3,126.359648,"2",30,NA
"4254","전라남도","담양군","일반국도",3,126.982654,"2",30,NA
"4255","전라남도","담양군","일반국도",3,126.972295,"2",50,NA
"4256","전라남도","담양군","일반국도",3,126.974088,"2",50,NA
"4257","전라남도","담양군","일반국도",3,126.981004,"2",50,NA
"4258","전라남도","담양군","일반국도",3,126.981792,"1",30,NA
"4260","전라남도","담양군","일반국도",3,127.031589,"1",50,NA
"4261","전라남도","담양군","일반국도",3,127.043725,"1",50,NA
"4262","전라남도","담양군","일반국도",3,127.043819,"1",50,NA
"5106","전라남도","담양군","지방도",3,127.036748,"1",30,NA
"5107","전라남도","담양군","지방도",3,127.026431,"1",30,NA
"7940","전라남도","담양군","군도",3,126.948101,"1",80,NA
"7941","전라남도","담양군","일반국도",3,127.006999,"1",50,NA
"7942","전라남도","담양군","일반국도",3,127.015921,"1",50,NA
"7943","전라남도","담양군","일반국도",3,126.973861,"1",30,NA
"7944","전라남도","담양군","군도",3,126.931196,"2",30,NA
"7945","전라남도","담양군","군도",3,127.001908,"2",30,NA
"7969","전라남도","담양군","군도",3,126.944023,"2",60,NA
"8059","전라남도","담양군","지방도",3,127.017189,"1",60,NA
"9443","전라남도","담양군","지방도",3,126.989486,"1",60,NA
"9445","전라남도","담양군","고속국도",1,127.030424,"1",100,NA
"9473","전라남도","담양군","일반국도",3,126.887462,"2",80,NA
"9474","전라남도","담양군","일반국도",3,126.917992,"1",80,NA
"9475","전라남도","담양군","일반국도",3,126.941098,"1",80,NA
"9484","전라남도","담양군","지방도",3,126.926343,"1",80,NA
"9533","전라남도","담양군","고속국도",2,126.881051,"1",100,NA
"9577","전라남도","담양군","일반국도",3,126.956496,"1",80,NA
"9578","전라남도","담양군","일반국도",3,126.931122,"1",80,NA
"9591","전라남도","담양군","군도",3,126.980191,"2",60,NA
"9690","전라남도","담양군","일반국도",3,126.895204,"2",80,NA
"9740","전라남도","담양군","고속국도",1,127.092388,"1",100,NA
"9757","전라남도","담양군","일반국도",3,126.986205,"2",50,NA
"9758","전라남도","담양군","일반국도",3,126.985906,"2",50,NA
"9759","전라남도","담양군","일반국도",3,126.973258,"2",80,NA
"9793","전라남도","담양군","일반국도",3,127.022579,"1",60,NA
"9794","전라남도","담양군","일반국도",3,126.933749,"1",80,NA
"9836","전라남도","담양군","지방도",3,126.965932,"1",80,NA
"9837","전라남도","담양군","지방도",3,127.018966,"1",60,NA
"9838","전라남도","담양군","일반국도",3,126.956611,"1",80,NA
"16173","전라남도","담양군","지방도",3,126.989357,"2",70,NA
"16174","전라남도","담양군","군도",3,127.059471,"2",70,NA
"16175","전라남도","담양군","군도",3,127.056244,"2",70,NA
"16923","전라남도","담양군","일반국도",1,126.983525,"4",60,NA
"16924","전라남도","담양군","일반국도",1,126.982309,"4",60,NA
"16925","전라남도","담양군","일반국도",1,126.9828876,"4",60,NA
"16926","전라남도","담양군","일반국도",1,126.983282,"4",60,NA
"16927","전라남도","담양군","일반국도",1,126.985059,"4",60,NA
"16928","전라남도","담양군","일반국도",1,126.982391,"4",60,NA
"16929","전라남도","담양군","일반국도",1,126.985424,"4",60,NA
"16930","전라남도","담양군","일반국도",1,126.9801614,"4",60,NA
"16931","전라남도","담양군","일반국도",1,126.9865616,"4",60,NA
"16932","전라남도","담양군","일반국도",1,126.985343,"4",60,NA
"16933","전라남도","담양군","일반국도",1,126.9866176,"4",60,NA
"16934","전라남도","담양군","일반국도",1,127.0012537,"4",60,NA
"16935","전라남도","담양군","일반국도",1,126.9737257,"4",60,NA
