"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"553","충청남도","당진시","일반국도",2,126.772056,"2",80,NA
"573","충청남도","당진시","일반국도",1,126.628006,"2",60,NA
"577","충청남도","당진시","지방도",2,126.620299,"2",50,NA
"591","충청남도","당진시","지방도",2,126.643882,"2",50,NA
"837","충청남도","당진시","일반국도",1,126.684139,"1",80,NA
"857","충청남도","당진시","지방도",1,126.652302,"1",70,NA
"858","충청남도","당진시","지방도",2,126.68525,"1",70,NA
"859","충청남도","당진시","지방도",1,126.701278,"2",70,NA
"860","충청남도","당진시","지방도",2,126.701278,"2",70,NA
"882","충청남도","당진시","일반국도",2,126.783444,"2",80,NA
"883","충청남도","당진시","일반국도",1,126.683972,"1",80,NA
"895","충청남도","당진시","일반국도",2,126.571333,"2",80,NA
"896","충청남도","당진시","일반국도",1,126.571333,"2",80,NA
"946","충청남도","당진시","일반국도",2,126.62025,"1",60,NA
"1019","충청남도","당진시","시도",2,126.63708,"1",50,NA
"1020","충청남도","당진시","지방도",1,126.595339,"1",80,NA
"1033","충청남도","당진시","일반국도",1,126.714245,"1",60,NA
"1034","충청남도","당진시","일반국도",1,126.644887,"1",60,NA
"1121","충청남도","당진시","일반국도",2,126.749175,"2",80,NA
"1122","충청남도","당진시","시도",1,126.770453,"1",60,NA
"1123","충청남도","당진시","지방도",2,126.756051,"1",60,NA
"1176","충청남도","당진시","일반국도",1,126.659413,"1",60,2.2
"1177","충청남도","당진시","일반국도",1,126.634557,"1",60,NA
"1198","충청남도","당진시","일반국도",2,126.771886,"2",80,NA
"1199","충청남도","당진시","일반국도",1,126.765436,"1",80,NA
"1225","충청남도","당진시","일반국도",1,126.75769,"2",80,NA
"1226","충청남도","당진시","일반국도",2,126.783391,"2",80,NA
"1666","충청남도","당진시","고속국도",1,126.669457,"1",110,NA
"1913","충청남도","당진시","고속국도",2,126.629616,"1",110,9.2
"1934","충청남도","당진시","일반국도",2,126.71284,"2",80,NA
"1935","충청남도","당진시","지방도",2,126.3542,"2",80,NA
"1936","충청남도","당진시","일반국도",1,126.739683,"1",80,NA
"1952","충청남도","당진시","지방도",1,126.585617,"2",80,NA
"1955","충청남도","당진시","시도",1,126.699282,"2",30,NA
"1956","충청남도","당진시","시도",2,126.38512,"2",50,NA
"1957","충청남도","당진시","시도",2,126.38511,"2",50,NA
"1958","충청남도","당진시","시도",1,126.38514,"2",50,NA
"1989","충청남도","당진시","시도",1,126.639584,"1",30,NA
"1990","충청남도","당진시","시도",1,126.679716,"1",30,NA
"1991","충청남도","당진시","시도",2,126.663654,"1",30,NA
"1992","충청남도","당진시","시도",1,126.763482,"1",30,NA
"1993","충청남도","당진시","시도",1,126.711906,"1",30,NA
"1994","충청남도","당진시","지방도",1,126.762899,"1",30,NA
"1995","충청남도","당진시","지방도",1,126.750227,"1",30,NA
"1996","충청남도","당진시","시도",2,126.499613,"1",30,NA
"1997","충청남도","당진시","시도",2,126.788778,"1",30,NA
"1998","충청남도","당진시","지방도",2,126.603471,"1",30,NA
"1999","충청남도","당진시","시도",1,126.637199,"2",30,NA
"2000","충청남도","당진시","지방도",1,126.624482,"2",30,NA
"2001","충청남도","당진시","시도",1,126.631517,"2",30,NA
"2002","충청남도","당진시","지방도",2,126.778213,"1",30,NA
"2003","충청남도","당진시","지방도",2,126.768899,"1",30,NA
"2004","충청남도","당진시","시도",2,126.693076,"2",30,NA
"2014","충청남도","당진시","지방도",1,126.685852,"2",50,NA
"2015","충청남도","당진시","시도",2,126.6386,"2",30,NA
"2040","충청남도","당진시","지방도",2,126.685852,"2",50,NA
"2041","충청남도","당진시","일반국도",2,126.471341,"2",80,NA
"2042","충청남도","당진시","일반국도",2,126.765336,"2",80,NA
"2043","충청남도","당진시","지방도",1,126.79547,"1",60,NA
"2044","충청남도","당진시","지방도",2,126.79547,"1",60,NA
"2045","충청남도","당진시","지방도",1,126.691293,"1",60,NA
"2046","충청남도","당진시","지방도",2,126.691293,"1",60,NA
"2047","충청남도","당진시","일반국도",1,126.617638,"1",80,6.2
"2048","충청남도","당진시","일반국도",1,126.681749,"1",80,NA
"14786","충청남도","당진시","시도",1,NA,"1",30,0
"14996","충청남도","당진시","시도",1,NA,"1",30,0
"15057","충청남도","당진시","시도",1,126.6116956766,"1",30,0
"15058","충청남도","당진시","시도",1,NA,"1",30,0
"15059","충청남도","당진시","시도",1,NA,"1",30,0
"15060","충청남도","당진시","시도",1,NA,"1",30,0
"15061","충청남도","당진시","시도",1,126.6887830988,"1",30,0
"15099","충청남도","당진시","시도",1,126.6315232587,"99",30,0
"15100","충청남도","당진시","시도",1,NA,"99",30,0
"15101","충청남도","당진시","시도",1,NA,"99",30,0
"15102","충청남도","당진시","시도",1,NA,"99",30,0
"15103","충청남도","당진시","시도",1,NA,"99",30,0
"15104","충청남도","당진시","시도",1,NA,"99",30,0
"15105","충청남도","당진시","시도",1,126.6116956766,"1",30,0
