"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2385","대전광역시","대덕구","시도",2,127.434322,"2",30,NA
"2386","대전광역시","대덕구","시도",1,127.434697,"2",30,NA
"2456","대전광역시","대덕구","시도",3,127.411338,"1",80,NA
"2465","대전광역시","대덕구","시도",1,127.428952,"2",50,NA
"2466","대전광역시","대덕구","시도",1,127.430883,"1",50,NA
"2467","대전광역시","대덕구","시도",2,127.451257,"2",50,NA
"2532","대전광역시","대덕구","시도",2,127.408465,"2",50,NA
"2547","대전광역시","대덕구","시도",2,127.420989,"1",50,NA
"2621","대전광역시","대덕구","시도",2,127.435039,"2",30,NA
"2622","대전광역시","대덕구","시도",2,127.421032,"2",50,NA
"2638","대전광역시","대덕구","시도",2,127.420193,"2",50,NA
"2639","대전광역시","대덕구","시도",1,127.420458,"2",30,NA
"2649","대전광역시","대덕구","시도",1,127.426309,"1",50,NA
"2650","대전광역시","대덕구","시도",1,127.404879,"2",50,NA
"2662","대전광역시","대덕구","시도",2,127.424916,"2",50,NA
"2668","대전광역시","대덕구","시도",2,127.425333,"1",50,NA
"2669","대전광역시","대덕구","시도",2,127.411694,"1",50,NA
"2688","대전광역시","대덕구","시도",2,127.416967,"1",40,NA
"2697","대전광역시","대덕구","시도",2,127.399944,"2",50,NA
"2698","대전광역시","대덕구","시도",2,127.426453,"2",50,NA
"2892","대전광역시","대덕구","시도",1,127.413121,"2",80,7.4
"2946","대전광역시","대덕구","시도",2,127.437964,"2",30,NA
"2947","대전광역시","대덕구","시도",2,127.443903,"2",30,NA
"2948","대전광역시","대덕구","시도",2,127.444021,"2",30,NA
"2949","대전광역시","대덕구","시도",2,127.433227,"2",30,NA
"2950","대전광역시","대덕구","시도",2,127.410301,"1",30,NA
"2952","대전광역시","대덕구","시도",3,127.428003,"2",30,NA
"2953","대전광역시","대덕구","시도",3,127.427847,"2",30,NA
"2954","대전광역시","대덕구","시도",1,127.422756,"2",30,NA
"2955","대전광역시","대덕구","시도",2,127.437836,"2",30,NA
"2956","대전광역시","대덕구","시도",2,127.435679,"1",30,NA
"2957","대전광역시","대덕구","시도",2,127.440705,"1",30,NA
"2958","대전광역시","대덕구","시도",2,127.412896,"2",30,NA
"2959","대전광역시","대덕구","시도",3,127.451166,"1",30,NA
"2960","대전광역시","대덕구","시도",3,127.450469,"1",30,NA
"2961","대전광역시","대덕구","시도",2,127.423904,"2",30,NA
"2962","대전광역시","대덕구","시도",2,127.408481,"1",30,NA
"2985","대전광역시","대덕구","시도",2,127.428603,"1",30,NA
"2986","대전광역시","대덕구","시도",2,127.411979,"1",30,NA
"2987","대전광역시","대덕구","시도",2,127.412762,"1",30,NA
"2988","대전광역시","대덕구","시도",2,127.421565,"1",30,NA
"2989","대전광역시","대덕구","시도",1,127.435411,"2",30,NA
"2990","대전광역시","대덕구","시도",1,127.437304,"2",40,NA
"2991","대전광역시","대덕구","시도",1,127.421694,"2",30,NA
"2992","대전광역시","대덕구","시도",2,127.420557,"2",30,NA
"2993","대전광역시","대덕구","시도",1,127.434558,"2",30,NA
"15800","대전광역시","대덕구","기타",3,127.423917,"4",0,NA
"15801","대전광역시","대덕구","기타",3,127.406682,"4",0,NA
"15802","대전광역시","대덕구","기타",3,127.4454386,"4",0,NA
"15803","대전광역시","대덕구","기타",3,127.415763,"4",0,NA
"15804","대전광역시","대덕구","기타",3,127.415763,"4",0,NA
"15805","대전광역시","대덕구","기타",3,127.4260388,"4",0,NA
"15806","대전광역시","대덕구","기타",3,127.448981,"4",0,NA
"15807","대전광역시","대덕구","기타",3,127.422478,"4",0,NA
"15808","대전광역시","대덕구","기타",3,127.422475,"4",0,NA
"15809","대전광역시","대덕구","기타",3,127.435277,"4",0,NA
"15810","대전광역시","대덕구","기타",3,127.424511,"4",0,NA
"15811","대전광역시","대덕구","기타",3,127.437247,"4",0,NA
"15812","대전광역시","대덕구","기타",3,127.425041,"4",0,NA
"15813","대전광역시","대덕구","기타",3,127.438204,"4",0,NA
"15814","대전광역시","대덕구","기타",3,127.427419,"4",0,NA
"15815","대전광역시","대덕구","기타",3,127.429049,"4",0,NA
"15816","대전광역시","대덕구","기타",3,127.411546,"4",0,NA
"15817","대전광역시","대덕구","기타",3,127.420863,"4",0,NA
"15818","대전광역시","대덕구","기타",3,127.409469,"4",0,NA
"15819","대전광역시","대덕구","기타",3,127.409469,"4",0,NA
"15820","대전광역시","대덕구","일반국도",3,127.429242,"4",0,NA
"16047","대전광역시","대덕구","기타",3,127.424426,"4",0,NA
"16072","대전광역시","대덕구","기타",3,127.4250479,"4",0,NA
"16095","대전광역시","대덕구","기타",3,127.431137,"4",0,NA
"16096","대전광역시","대덕구","일반국도",3,127.429358,"4",0,NA
"16744","대전광역시","대덕구","기타",3,127.4292014,"4",0,NA
"16745","대전광역시","대덕구","기타",3,127.408717,"4",0,NA
"16746","대전광역시","대덕구","기타",3,127.406557,"4",0,NA
"16747","대전광역시","대덕구","기타",3,127.43965,"4",0,NA
