"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"949","전라북도","덕진구","시도",NA,127.1835524,"1",60,NA
"950","전라북도","덕진구","시도",NA,127.1315639,"1",60,NA
"951","전라북도","덕진구","일반국도",NA,127.1128455,"1",80,NA
"952","전라북도","덕진구","시도",NA,127.0769035,"1",60,NA
"968","전라북도","덕진구","시도",NA,127.117633,"2",60,NA
"1317","전라북도","덕진구","시도",NA,127.1745561,"2",60,NA
"1318","전라북도","덕진구","시도",NA,127.1568133,"2",60,NA
"1319","전라북도","덕진구","시도",NA,127.1523921,"2",60,NA
"1320","전라북도","덕진구","시도",NA,127.1569167,"2",50,NA
"1321","전라북도","덕진구","시도",NA,127.0570225,"2",50,NA
"1335","전라북도","덕진구","시도",NA,127.1556488,"2",50,NA
"1350","전라북도","덕진구","일반국도",NA,127.0398933,"1",70,NA
"1362","전라북도","덕진구","시도",NA,127.1417183,"2",60,NA
"1363","전라북도","덕진구","시도",NA,127.1244759,"1",60,NA
"1387","전라북도","덕진구","시도",NA,127.0691669,"1",60,NA
"1393","전라북도","덕진구","시도",NA,127.1326902,"2",60,NA
"1402","전라북도","덕진구","시도",NA,127.0717007,"2",50,NA
"1497","전라북도","덕진구","시도",NA,127.0993061,"1",60,NA
"1498","전라북도","덕진구","시도",NA,127.1493567,"1",60,NA
"2510","전라북도","덕진구","시도",NA,127.1292527,"1",70,NA
"4772","전라북도","덕진구","시도",NA,127.131778,"2",30,NA
"5906","전라북도","덕진구","시도",NA,127.1095695,"2",30,NA
"5907","전라북도","덕진구","시도",NA,127.0772732,"2",30,NA
"5947","전라북도","덕진구","일반국도",NA,127.0182322,"1",90,8.733
"5949","전라북도","덕진구","시도",NA,127.1633873,"2",30,NA
"5950","전라북도","덕진구","시도",NA,127.1355844,"2",30,NA
"5952","전라북도","덕진구","시도",NA,127.1516597,"1",30,NA
"5953","전라북도","덕진구","시도",NA,127.1549026,"2",30,NA
"8617","전라북도","덕진구","시도",NA,127.1693092,"2",60,NA
"8649","전라북도","덕진구","시도",NA,127.077244,"1",60,NA
"8678","전라북도","덕진구","시도",NA,127.1116136,"1",50,NA
"8684","전라북도","덕진구","시도",NA,127.1119045,"2",60,NA
"11594","전라북도","덕진구","시도",NA,127.1089461,"2",60,NA
"12534","전라북도","덕진구","시도",NA,127.1290341,"1",60,NA
"12535","전라북도","덕진구","시도",NA,127.1267026,"2",70,NA
"14144","전라북도","덕진구","시도",NA,127.0747456,"2",50,NA
"14176","전라북도","덕진구","시도",NA,127.1396124,"2",30,NA
"14211","전라북도","덕진구","시도",NA,127.0890072,"2",50,NA
"14212","전라북도","덕진구","시도",NA,127.0925348,"2",50,NA
"14912","전라북도","덕진구","시도",NA,127.141465,"2",50,NA
"15360","전라북도","덕진구","시도",NA,127.0623141,"1",60,NA
"16706","전라북도","덕진구","시도",NA,127.1493371,"2",60,NA
"16940","전라북도","덕진구","시도",NA,127.0861766,"1",60,NA
"17859","전라북도","덕진구","시도",NA,127.0847108,"2",60,NA
"17860","전라북도","덕진구","시도",NA,127.0808383,"2",50,NA
"17861","전라북도","덕진구","시도",NA,127.0741954,"2",50,NA
"17869","전라북도","덕진구","일반국도",NA,127.1897458,"1",80,NA
"17870","전라북도","덕진구","시도",NA,127.1705531,"2",50,NA
"17871","전라북도","덕진구","시도",NA,127.1326902,"2",60,NA
"17872","전라북도","덕진구","시도",NA,127.1211943,"2",60,NA
"17873","전라북도","덕진구","시도",NA,127.0721491,"2",60,NA
"17874","전라북도","덕진구","시도",NA,127.1576337,"2",30,NA
