"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4518","서울특별시","도봉구","특별시도",2,127.02798,"2",30,NA
"12366","서울특별시","도봉구","특별시도",2,127.022962,"2",30,NA
"12412","서울특별시","도봉구","일반국도",2,127.045268,"2",50,NA
"12947","서울특별시","도봉구","특별시도",1,127.041866,"1",50,NA
"16391","서울특별시","도봉구","특별시도",2,127.039398,"2",50,NA
"17564","서울특별시","도봉구","특별시도",2,127.040885,"1",50,NA
"17571","서울특별시","도봉구","특별시도",1,127.042206,"2",60,NA
"17594","서울특별시","도봉구","일반국도",2,127.045344,"1",50,NA
"17595","서울특별시","도봉구","특별시도",2,127.032865,"1",50,NA
"17622","서울특별시","도봉구","특별시도",2,127.046077,"2",60,NA
"17623","서울특별시","도봉구","특별시도",2,127.041826,"2",50,NA
"17624","서울특별시","도봉구","특별시도",1,127.033681,"2",50,NA
"17625","서울특별시","도봉구","특별시도",2,127.046804,"2",60,NA
