"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1915","대전광역시","동구","시도",1,127.476148,"2",50,NA
"2154","대전광역시","동구","시도",2,127.447878,"1",30,NA
"2155","대전광역시","동구","시도",2,127.448023,"2",50,NA
"2156","대전광역시","동구","시도",2,127.460538,"2",50,NA
"2157","대전광역시","동구","시도",2,127.474871,"1",30,NA
"2158","대전광역시","동구","시도",2,127.458301,"2",30,NA
"2159","대전광역시","동구","시도",2,127.421946,"2",40,NA
"2160","대전광역시","동구","시도",2,127.459374,"2",30,NA
"2161","대전광역시","동구","시도",2,127.459508,"2",30,NA
"2162","대전광역시","동구","시도",2,127.445035,"2",30,NA
"2163","대전광역시","동구","시도",2,127.442079,"2",50,NA
"2164","대전광역시","동구","시도",3,127.458354,"1",50,NA
"2165","대전광역시","동구","시도",3,127.458065,"1",50,NA
"2166","대전광역시","동구","시도",2,127.456466,"1",30,NA
"2167","대전광역시","동구","시도",2,127.439874,"2",30,NA
"2187","대전광역시","동구","시도",2,127.440829,"2",30,NA
"2188","대전광역시","동구","시도",2,127.440984,"2",30,NA
"2189","대전광역시","동구","시도",1,127.428212,"2",30,NA
"2190","대전광역시","동구","시도",1,127.429617,"1",50,NA
"2191","대전광역시","동구","시도",2,127.461788,"1",40,NA
"2192","대전광역시","동구","시도",2,127.448859,"1",30,NA
"2193","대전광역시","동구","시도",2,127.446156,"2",30,NA
"2194","대전광역시","동구","시도",2,127.445694,"2",30,NA
"2195","대전광역시","동구","시도",2,127.454556,"2",30,NA
"2196","대전광역시","동구","시도",2,127.459021,"2",40,NA
"2197","대전광역시","동구","시도",2,127.448414,"2",40,NA
"2198","대전광역시","동구","시도",2,127.450179,"1",30,NA
"2199","대전광역시","동구","시도",2,127.427595,"1",30,NA
"2200","대전광역시","동구","시도",2,127.444622,"2",50,NA
"2201","대전광역시","동구","시도",2,127.420723,"2",40,NA
"2367","대전광역시","동구","시도",2,127.468151,"2",30,NA
"2368","대전광역시","동구","시도",2,127.492141,"2",30,NA
"2369","대전광역시","동구","시도",2,127.430443,"2",30,NA
"2380","대전광역시","동구","시도",2,127.446027,"2",30,NA
"2452","대전광역시","동구","시도",2,127.437829,"2",50,NA
"2460","대전광역시","동구","시도",1,127.437487,"2",50,NA
"2461","대전광역시","동구","시도",1,127.445941,"2",50,NA
"2462","대전광역시","동구","시도",2,127.461841,"2",40,NA
"2546","대전광역시","동구","시도",2,127.456672,"1",40,NA
"2614","대전광역시","동구","시도",2,127.455733,"2",30,NA
"2615","대전광역시","동구","시도",2,127.441849,"2",30,NA
"2631","대전광역시","동구","시도",2,127.469549,"2",60,NA
"2632","대전광역시","동구","시도",2,127.444047,"1",50,NA
"2646","대전광역시","동구","시도",1,127.472601,"1",80,NA
"2657","대전광역시","동구","시도",2,127.444648,"1",30,NA
"2658","대전광역시","동구","시도",2,127.384867,"2",30,NA
"2665","대전광역시","동구","시도",1,127.449138,"1",50,NA
"2666","대전광역시","동구","시도",2,127.463638,"1",60,NA
"2687","대전광역시","동구","시도",2,127.432361,"1",50,NA
"2694","대전광역시","동구","시도",2,127.439277,"2",50,NA
"2695","대전광역시","동구","시도",2,127.447251,"2",50,NA
"2701","대전광역시","동구","시도",2,127.489972,"1",50,NA
"2702","대전광역시","동구","시도",1,127.466527,"1",50,NA
"2706","대전광역시","동구","시도",2,127.433916,"2",50,NA
"2709","대전광역시","동구","시도",1,127.462222,"2",50,NA
"2886","대전광역시","동구","시도",1,127.433275,"2",50,NA
"2994","광주광역시","동구","특별시도",1,126.9250307,"2",50,NA
"3017","광주광역시","동구","특별시도",2,126.940687,"2",70,NA
"3019","광주광역시","동구","특별시도",2,126.931551,"1",60,NA
"3044","광주광역시","동구","특별시도",1,126.9390026,"2",60,NA
"3045","광주광역시","동구","특별시도",2,126.9262136,"2",50,NA
"3094","광주광역시","동구","일반국도",2,126.9286789,"2",50,NA
"3106","광주광역시","동구","특별시도",1,126.9390026,"2",60,NA
"3111","광주광역시","동구","특별시도",1,126.9335587,"2",60,NA
"3113","광주광역시","동구","특별시도",2,126.9390026,"2",60,NA
"3474","광주광역시","동구","특별시도",2,126.9128901,"2",50,NA
"3475","광주광역시","동구","특별시도",1,126.9143078,"2",50,NA
"3543","광주광역시","동구","특별시도",1,126.9285266,"1",90,NA
"3544","광주광역시","동구","특별시도",2,126.9287479,"1",90,NA
"3547","광주광역시","동구","특별시도",2,126.9187138,"2",50,NA
"3557","광주광역시","동구","특별시도",1,126.931095,"2",30,NA
"3560","광주광역시","동구","특별시도",2,126.943938,"2",30,NA
"3580","광주광역시","동구","특별시도",1,126.935314,"2",30,NA
"3581","광주광역시","동구","특별시도",2,126.9315036,"2",30,NA
"3582","광주광역시","동구","특별시도",1,126.9226792,"1",30,NA
"4118","인천광역시","동구","구도",1,126.6361129,"01",30,NA
"4119","인천광역시","동구","구도",2,126.6453835,"01+02",30,NA
"4120","인천광역시","동구","구도",1,126.6452356,"01+02",30,NA
"4121","인천광역시","동구","구도",2,126.6315697,"01+02",30,NA
"4122","인천광역시","동구","구도",1,126.6318021,"01+02",30,NA
"4123","인천광역시","동구","시도",1,126.6215253,"01+02",50,NA
"4124","인천광역시","동구","시도",2,126.6220581,"01+02",50,NA
"4125","인천광역시","동구","시도",2,126.6486282,"01+02",50,NA
"4126","인천광역시","동구","시도",1,126.648787,"01+02",50,NA
"4127","인천광역시","동구","시도",1,126.6474024,"01+02",50,NA
"4128","인천광역시","동구","시도",2,126.6472284,"01+02",50,NA
"4129","인천광역시","동구","시도",2,126.6444118,"01+02",30,NA
"4130","인천광역시","동구","시도",2,126.6368297,"01+02",30,NA
"4131","인천광역시","동구","시도",1,126.6365495,"01+02",30,NA
"4132","인천광역시","동구","시도",1,126.630121,"01+02",50,NA
"4133","인천광역시","동구","시도",1,126.6382487,"01+02",30,NA
"4134","인천광역시","동구","시도",2,126.638694,"01+02",30,NA
"4135","인천광역시","동구","시도",1,126.643597,"01+02",30,NA
"4136","인천광역시","동구","구도",1,126.6346999,"01+02",30,NA
"4137","인천광역시","동구","구도",2,126.6343343,"01+02",30,NA
"4138","인천광역시","동구","구도",2,126.6459305,"01+02",30,NA
"4139","인천광역시","동구","구도",1,126.6466282,"01+02",30,NA
"4140","인천광역시","동구","구도",1,126.6330614,"01+02",30,NA
"4219","인천광역시","동구","시도",1,126.6673352,"01",50,NA
