"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4759","충청남도","동남구","시도",3,127.1598088,"4",0,NA
"4760","충청남도","동남구","시도",3,127.1495758,"4",0,NA
"4761","충청남도","동남구","시도",3,127.1477361,"4",0,NA
"4762","충청남도","동남구","시도",3,127.1545534,"4",0,NA
"4763","충청남도","동남구","시도",3,127.1489334,"4",0,NA
"4764","충청남도","동남구","군도",3,127.216711,"4",0,NA
"4765","충청남도","동남구","시도",3,127.1278715,"4",0,NA
"4766","충청남도","동남구","시도",3,127.1378953,"4",0,NA
"4767","충청남도","동남구","시도",3,127.1329845,"4",0,NA
"4768","충청남도","동남구","시도",3,127.131184,"4",0,NA
"5737","충청남도","동남구","시도",3,127.1309239,"4",0,NA
"6622","충청남도","동남구","군도",3,127.1750426,"4",0,NA
"6623","충청남도","동남구","시도",3,127.1317209,"4",0,NA
"11503","충청남도","동남구","시도",3,127.1505022,"4",0,NA
"11754","충청남도","동남구","시도",3,127.1318648,"4",0,NA
"11755","충청남도","동남구","시도",3,127.1285686,"4",0,NA
"11756","충청남도","동남구","시도",3,127.1313419,"4",0,NA
"11757","충청남도","동남구","시도",3,127.1523445,"4",0,NA
"11758","충청남도","동남구","군도",3,127.1792458,"4",0,NA
"11759","충청남도","동남구","군도",3,127.1590386,"4",0,NA
"11760","충청남도","동남구","시도",3,127.1300229,"4",0,NA
"11761","충청남도","동남구","시도",3,127.1337453,"4",0,NA
"11762","충청남도","동남구","시도",3,127.1329775,"4",0,NA
"11763","충청남도","동남구","시도",3,127.1394186,"4",0,NA
"11764","충청남도","동남구","시도",3,127.1243609,"4",0,NA
"11765","충청남도","동남구","시도",3,127.1533462,"4",0,NA
"11766","충청남도","동남구","시도",3,127.1506437,"4",0,NA
"11768","충청남도","동남구","시도",3,127.1490456,"4",0,NA
"11769","충청남도","동남구","시도",3,127.1581258,"4",0,NA
"11770","충청남도","동남구","시도",3,127.1511761,"4",0,NA
"11771","충청남도","동남구","시도",3,127.1579871,"4",0,NA
"11772","충청남도","동남구","시도",3,127.1201964,"4",0,NA
"11773","충청남도","동남구","시도",3,127.1358383,"4",0,NA
"11774","충청남도","동남구","시도",3,127.1293487,"4",0,NA
"11775","충청남도","동남구","시도",3,127.1530968,"4",0,NA
"11776","충청남도","동남구","지방도",3,127.1611143,"4",0,NA
"11777","충청남도","동남구","지방도",3,127.1537291,"4",0,NA
"11778","충청남도","동남구","시도",3,127.146351,"4",0,NA
"11779","충청남도","동남구","시도",3,127.1496655,"4",0,NA
"13258","충청남도","동남구","시도",3,127.1347773,"4",0,NA
"13259","충청남도","동남구","시도",3,127.1560932,"4",0,NA
"13260","충청남도","동남구","시도",3,127.1595269,"4",0,NA
"13261","충청남도","동남구","시도",3,127.1515249,"4",0,NA
"13262","충청남도","동남구","군도",3,127.2056121,"4",0,NA
"13263","충청남도","동남구","시도",3,127.135044,"4",0,NA
"13264","충청남도","동남구","시도",3,127.1558949,"4",0,NA
"13265","충청남도","동남구","시도",3,127.1611577,"4",0,NA
"13266","충청남도","동남구","시도",3,127.1611577,"4",0,NA
"13267","충청남도","동남구","시도",3,127.1345266,"4",0,NA
"13268","충청남도","동남구","시도",3,127.1639507,"4",0,NA
"13269","충청남도","동남구","시도",3,127.1461013,"4",0,NA
"13270","충청남도","동남구","시도",3,127.1309239,"4",0,NA
"13271","충청남도","동남구","시도",3,127.1524599,"4",0,NA
"13272","충청남도","동남구","시도",3,127.1452783,"4",0,NA
"13273","충청남도","동남구","시도",3,127.1566396,"4",0,NA
"13274","충청남도","동남구","시도",3,127.1563659,"4",0,NA
"13275","충청남도","동남구","시도",3,127.1535524,"4",0,NA
"13276","충청남도","동남구","시도",3,127.1537534,"4",0,NA
"13282","충청남도","동남구","군도",3,127.159385,"4",0,NA
"13283","충청남도","동남구","시도",3,127.1615264021,"4",0,NA
"13284","충청남도","동남구","시도",3,127.1507849,"4",0,NA
"13285","충청남도","동남구","시도",3,127.128462,"4",0,NA
"13286","충청남도","동남구","시도",3,127.1239225,"4",0,NA
"13287","충청남도","동남구","시도",3,127.1550645919,"4",0,NA
"13288","충청남도","동남구","지방도",3,127.1578584,"4",0,NA
"13289","충청남도","동남구","시도",3,127.1537827,"4",0,NA
"13290","충청남도","동남구","시도",3,127.1556029,"4",0,NA
"13291","충청남도","동남구","군도",3,127.1624985,"4",0,NA
"13292","충청남도","동남구","시도",3,127.1585989,"4",0,NA
"13293","충청남도","동남구","군도",3,127.1592657,"4",0,NA
"13294","충청남도","동남구","시도",3,127.1294387,"4",0,NA
"13295","충청남도","동남구","시도",3,127.148037,"4",0,NA
"13296","충청남도","동남구","지방도",3,127.1623525,"4",0,NA
"13297","충청남도","동남구","지방도",3,127.1563022,"4",0,NA
"13298","충청남도","동남구","군도",3,127.1579962,"4",0,NA
"13299","충청남도","동남구","시도",3,127.1544937,"4",0,NA
"13300","충청남도","동남구","시도",3,127.1526137,"4",0,NA
"13301","충청남도","동남구","군도",3,127.2100958,"4",0,NA
"13302","충청남도","동남구","시도",3,127.1572653,"4",0,NA
"13303","충청남도","동남구","시도",3,127.1375992,"4",0,NA
"13304","충청남도","동남구","시도",3,127.1391853,"4",0,NA
"13305","충청남도","동남구","시도",3,127.1410972,"4",0,NA
"13318","충청남도","동남구","지방도",3,127.1530426,"4",0,NA
"13319","충청남도","동남구","시도",3,127.1475674,"4",0,NA
"13320","충청남도","동남구","시도",3,127.1429552,"4",0,NA
