"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4519","서울특별시","동대문구","특별시도",1,127.053466,"2",40,NA
"11297","서울특별시","동대문구","특별시도",2,127.06761,"2",30,NA
"11306","서울특별시","동대문구","특별시도",2,127.076225,"1",40,NA
"12356","서울특별시","동대문구","특별시도",1,127.071204,"2",50,NA
"12359","서울특별시","동대문구","특별시도",1,127.008972,"2",60,NA
"12381","서울특별시","동대문구","특별시도",1,127.069166,"2",30,NA
"12385","서울특별시","동대문구","특별시도",1,127.073216,"2",40,NA
"12386","서울특별시","동대문구","특별시도",1,127.073227,"2",30,NA
"12422","서울특별시","동대문구","특별시도",2,127.038192,"2",50,NA
"12747","서울특별시","동대문구","일반국도",2,127.023885,"2",50,NA
"12890","서울특별시","동대문구","특별시도",1,127.069021,"1",50,NA
"12905","서울특별시","동대문구","특별시도",2,127.07396,"1",50,NA
"12913","서울특별시","동대문구","일반국도",1,127.030126,"2",50,NA
"12927","서울특별시","동대문구","고속국도",2,127.034334,"1",70,NA
"12944","서울특별시","동대문구","일반국도",1,127.046973,"2",50,NA
"12949","서울특별시","동대문구","특별시도",1,127.071784,"2",60,NA
"17089","서울특별시","동대문구","일반국도",1,127.051737,"2",50,NA
"17096","서울특별시","동대문구","기타",3,127.071032,"4",0,NA
"17549","서울특별시","동대문구","특별시도",1,127.057498,"2",60,NA
"17555","서울특별시","동대문구","특별시도",1,127.038223,"2",50,NA
"17561","서울특별시","동대문구","특별시도",1,127.068033,"2",50,NA
"17612","서울특별시","동대문구","특별시도",1,127.049098,"2",50,NA
"17613","서울특별시","동대문구","일반국도",2,127.053581,"2",50,NA
"17614","서울특별시","동대문구","일반국도",2,127.06739,"2",50,NA
"17615","서울특별시","동대문구","일반국도",1,127.062234,"2",50,NA
"17877","서울특별시","동대문구","기타",3,127.026788,"4",0,NA
"17878","서울특별시","동대문구","기타",3,127.0466057,"4",0,NA
"17879","서울특별시","동대문구","기타",3,127.0457773,"4",0,NA
"17880","서울특별시","동대문구","기타",3,127.050745,"4",0,NA
"17881","서울특별시","동대문구","기타",3,127.073465,"4",0,NA
"17882","서울특별시","동대문구","기타",3,127.0363668,"4",0,NA
"17883","서울특별시","동대문구","기타",3,127.0658005391,"4",0,NA
"17884","서울특별시","동대문구","기타",3,127.064277,"4",0,NA
"17903","서울특별시","동대문구","기타",3,127.0570919,"4",0,NA
"17904","서울특별시","동대문구","기타",3,127.0506268,"4",0,NA
"17905","서울특별시","동대문구","기타",3,127.0564577,"4",0,NA
"17906","서울특별시","동대문구","기타",3,127.056358,"4",0,NA
"17907","서울특별시","동대문구","기타",3,127.038839,"4",0,NA
"17908","서울특별시","동대문구","기타",3,127.038839,"4",0,NA
"17909","서울특별시","동대문구","기타",3,127.062151,"4",0,NA
"17910","서울특별시","동대문구","기타",3,127.053827,"4",0,NA
"17911","서울특별시","동대문구","기타",3,127.0613752,"4",0,NA
"17912","서울특별시","동대문구","기타",3,127.0662096,"4",0,NA
"17913","서울특별시","동대문구","기타",3,127.0588114,"4",0,NA
"17914","서울특별시","동대문구","기타",3,127.0593552,"4",0,NA
"17915","서울특별시","동대문구","기타",3,127.062283,"4",0,NA
"17916","서울특별시","동대문구","기타",3,127.060872,"4",0,NA
"17917","서울특별시","동대문구","기타",3,127.056413,"4",0,NA
"17918","서울특별시","동대문구","기타",3,127.0580252,"4",0,NA
"17919","서울특별시","동대문구","기타",3,127.0526802,"4",0,NA
"17920","서울특별시","동대문구","기타",3,127.073696,"4",0,NA
"17922","서울특별시","동대문구","기타",3,127.056751,"4",0,NA
"17923","서울특별시","동대문구","기타",3,127.030391,"4",0,NA
"17924","서울특별시","동대문구","기타",3,127.0699231,"4",0,NA
"17925","서울특별시","동대문구","기타",3,127.071726,"4",0,NA
"17926","서울특별시","동대문구","기타",3,127.072599,"4",0,NA
"17927","서울특별시","동대문구","기타",3,127.0610648,"4",0,NA
"17928","서울특별시","동대문구","기타",3,127.064653,"4",0,NA
"17929","서울특별시","동대문구","기타",3,127.0600385,"4",0,NA
"17930","서울특별시","동대문구","기타",3,127.057831,"4",0,NA
"17931","서울특별시","동대문구","기타",3,127.072673,"4",0,NA
"17932","서울특별시","동대문구","기타",3,127.039224,"4",0,NA
"17933","서울특별시","동대문구","기타",3,127.041618,"4",0,NA
"17934","서울특별시","동대문구","기타",3,127.0304744,"4",0,NA
"17935","서울특별시","동대문구","기타",3,127.0738346,"4",0,NA
"17936","서울특별시","동대문구","기타",3,127.0541343,"4",0,NA
"17937","서울특별시","동대문구","기타",3,127.071003,"4",0,NA
"17938","서울특별시","동대문구","기타",3,127.072291,"4",0,NA
"17939","서울특별시","동대문구","기타",3,127.060246,"4",0,NA
"17940","서울특별시","동대문구","기타",3,127.024199,"4",0,NA
"17941","서울특별시","동대문구","기타",3,127.067184,"4",0,NA
"17942","서울특별시","동대문구","기타",3,127.0748632,"4",0,NA
"17943","서울특별시","동대문구","기타",3,127.056615,"4",0,NA
"17944","서울특별시","동대문구","기타",3,127.0589419,"4",0,NA
"18057","서울특별시","동대문구","기타",3,127.0562204,"4",0,NA
"18058","서울특별시","동대문구","기타",3,127.0562872,"4",0,NA
"18059","서울특별시","동대문구","기타",3,127.0560993,"4",0,NA
"18060","서울특별시","동대문구","기타",3,127.0557369,"4",0,NA
"18061","서울특별시","동대문구","기타",3,127.0621956,"4",0,NA
"18062","서울특별시","동대문구","기타",3,127.0574956,"4",0,NA
"18063","서울특별시","동대문구","기타",3,127.039855,"4",0,NA
"18064","서울특별시","동대문구","기타",3,127.0352678,"4",0,NA
"18065","서울특별시","동대문구","기타",3,127.0600648,"4",0,NA
"18066","서울특별시","동대문구","기타",3,127.024537,"4",0,NA
"18067","서울특별시","동대문구","기타",3,127.030876,"4",0,NA
"18068","서울특별시","동대문구","기타",3,127.057663,"4",0,NA
"18069","서울특별시","동대문구","기타",3,127.054721,"4",0,NA
"18070","서울특별시","동대문구","기타",3,127.059635,"4",0,NA
"18071","서울특별시","동대문구","기타",3,127.0742821,"4",0,NA
"18072","서울특별시","동대문구","기타",3,127.0757616,"4",0,NA
"18073","서울특별시","동대문구","기타",3,127.067457,"4",0,NA
"18074","서울특별시","동대문구","기타",3,127.0655317,"4",0,NA
"18075","서울특별시","동대문구","기타",3,127.059381,"4",0,NA
"18076","서울특별시","동대문구","기타",3,127.057809,"4",0,NA
"18082","서울특별시","동대문구","기타",3,127.025603,"4",0,NA
"18083","서울특별시","동대문구","기타",3,127.040439,"4",0,NA
"18084","서울특별시","동대문구","기타",3,127.0496315,"4",0,NA
"18085","서울특별시","동대문구","기타",3,127.0582254,"4",0,NA
"18086","서울특별시","동대문구","기타",3,127.0357640733,"4",0,NA
