"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"75","경기도","동두천시","시도",3,127.05260569,"4",0,NA
"76","경기도","동두천시","시도",3,127.05503633,"4",0,NA
"77","경기도","동두천시","지방도",3,127.05822977,"4",0,NA
"78","경기도","동두천시","일반국도",3,127.05778163,"4",0,NA
"79","경기도","동두천시","시도",3,127.05372924,"4",0,NA
"80","경기도","동두천시","시도",3,127.05218037,"4",0,NA
"81","경기도","동두천시","시도",3,127.05420938,"4",0,NA
"82","경기도","동두천시","시도",3,127.05752988,"4",0,NA
"83","경기도","동두천시","시도",3,127.05397421,"4",0,NA
"84","경기도","동두천시","시도",3,127.05139769,"4",0,NA
"85","경기도","동두천시","시도",3,127.05323055,"4",0,NA
"86","경기도","동두천시","일반국도",3,127.05566416,"4",0,NA
"87","경기도","동두천시","시도",3,127.05733259,"4",0,NA
"88","경기도","동두천시","시도",3,127.05323647,"4",0,NA
"89","경기도","동두천시","시도",3,127.05407132,"4",0,NA
"90","경기도","동두천시","일반국도",3,127.06184119,"4",0,NA
"91","경기도","동두천시","시도",3,127.05465188,"4",0,NA
"92","경기도","동두천시","시도",3,127.05336626,"4",0,NA
"93","경기도","동두천시","시도",3,127.05242139,"4",0,NA
"94","경기도","동두천시","시도",3,127.06304852,"4",0,NA
"95","경기도","동두천시","시도",3,127.05416455,"4",0,NA
"96","경기도","동두천시","일반국도",3,127.05723711,"4",0,NA
"97","경기도","동두천시","시도",3,127.05434792,"4",0,NA
"98","경기도","동두천시","시도",3,127.06102703,"4",0,NA
"99","경기도","동두천시","시도",3,127.04834794,"4",0,NA
"668","경기도","동두천시","시도",3,127.05296391,"4",0,NA
"669","경기도","동두천시","시도",3,127.05396956,"4",0,NA
"670","경기도","동두천시","시도",3,127.05408293,"4",0,NA
"671","경기도","동두천시","시도",3,127.05076329,"4",0,NA
"672","경기도","동두천시","시도",3,127.05298447,"4",0,NA
"673","경기도","동두천시","시도",3,127.05228646,"4",0,NA
"674","경기도","동두천시","시도",3,127.05302903,"4",0,NA
"675","경기도","동두천시","시도",3,127.05251669,"4",0,NA
"676","경기도","동두천시","시도",3,127.05378165,"4",0,NA
"677","경기도","동두천시","시도",3,127.05174668,"4",0,NA
"3851","경기도","동두천시","일반국도",3,127.0569449,"2",50,NA
"3863","경기도","동두천시","일반국도",3,127.0560918,"2",50,NA
"3948","경기도","동두천시","지방도",3,127.0711111,"1",50,NA
"4175","경기도","동두천시","시도",3,127.0471659,"2",60,NA
"4308","경기도","동두천시","시도",3,127.051656,"2",30,NA
"4378","경기도","동두천시","일반국도",3,127.0588091,"1",50,NA
"4435","경기도","동두천시","일반국도",3,127.056856,"2",50,NA
"4459","경기도","동두천시","일반국도",3,127.058954,"2",60,NA
"4460","경기도","동두천시","시도",3,127.041658,"2",50,NA
"4513","경기도","동두천시","일반국도",3,127.0573472,"2",50,NA
"4514","경기도","동두천시","시도",3,127.0640194,"2",30,NA
"4612","경기도","동두천시","시도",3,127.0518972,"2",60,NA
"4695","경기도","동두천시","시도",3,127.0507395,"2",60,NA
"4696","경기도","동두천시","일반국도",3,127.057969,"2",50,NA
"4743","경기도","동두천시","일반국도",3,127.0562148,"2",50,NA
"4965","경기도","동두천시","일반국도",3,127.062372,"1",50,NA
"5145","경기도","동두천시","지방도",3,127.096814,"1",70,NA
"5813","경기도","동두천시","일반국도",3,127.0583211,"2",40,NA
"5814","경기도","동두천시","시도",3,127.0642803,"2",30,NA
"5815","경기도","동두천시","시도",3,127.0607801,"2",30,NA
"5816","경기도","동두천시","지방도",3,127.1336949,"2",70,NA
"17406","경기도","동두천시","시도",3,127.052501,"2",50,NA
"18122","경기도","동두천시","시도",3,127.046944,"2",60,NA
"18123","경기도","동두천시","일반국도",3,127.067777,"2",50,NA
