"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"163","대구광역시","동부","시도",1,128.6198528,"2",40,NA
"164","대구광역시","동부","시도",1,128.6290743,"2",50,NA
"165","대구광역시","동부","시도",2,128.6965104,"2",50,NA
"2202","대구광역시","동부","시도",2,128.6969127,"2",50,NA
"2203","대구광역시","동부","시도",2,128.7523003,"2",50,NA
"2204","대구광역시","동부","시도",1,128.6434831,"2",50,NA
"2205","대구광역시","동부","시도",2,128.6438211,"2",30,NA
"2206","대구광역시","동부","시도",1,128.6438211,"2",30,NA
"2207","대구광역시","동부","시도",1,128.6211564,"2",30,NA
"2208","대구광역시","동부","시도",1,128.6129167,"2",30,NA
"2209","대구광역시","동부","시도",2,128.6915751,"2",60,NA
"2210","대구광역시","동부","시도",1,128.6919774,"2",60,NA
"2237","대구광역시","동부","시도",2,128.7391414,"99",60,2271
"2238","대구광역시","동부","시도",2,128.714549,"99",60,2271
"2245","대구광역시","동부","시도",1,128.6584337,"2",30,NA
"2246","대구광역시","동부","시도",1,128.619649,"2",40,NA
"2247","대구광역시","동부","시도",1,128.6364182,"2",30,NA
"2248","대구광역시","동부","시도",1,128.721707,"2",30,NA
"2251","대구광역시","동부","시도",1,128.6235794,"1",50,NA
"2252","대구광역시","동부","시도",1,128.6161611,"2",40,NA
"2256","대구광역시","동부","시도",2,128.6684759,"2",60,NA
"2324","대구광역시","동부","시도",2,128.6159797,"2",40,NA
"2325","대구광역시","동부","시도",2,128.6197563,"2",30,NA
"2326","대구광역시","동부","시도",2,128.6125894,"2",30,NA
"2327","대구광역시","동부","일반국도",1,128.7338414,"2",60,NA
"2395","대구광역시","동부","시도",2,128.6119832,"1",40,NA
"2400","대구광역시","동부","일반국도",2,128.6135711,"2",50,NA
"2738","대구광역시","동부","시도",2,128.6145796,"2",50,NA
"2751","대구광역시","동부","시도",1,128.6381455,"2",50,NA
"2757","대구광역시","동부","시도",2,128.6180611,"2",50,NA
"2758","대구광역시","동부","시도",2,128.696939,"2",50,NA
"3271","대구광역시","동부","일반국도",1,128.750235,"2",60,NA
"3395","대구광역시","동부","시도",1,128.7330367,"1",60,NA
"3397","대구광역시","동부","시도",2,128.6465033,"2",60,NA
"3398","대구광역시","동부","일반국도",1,128.7018426,"2",60,NA
"3399","대구광역시","동부","시도",1,128.692943,"2",40,NA
"3400","대구광역시","동부","일반국도",1,128.6405059,"2",60,NA
"5345","대구광역시","동부","시도",2,128.7204303,"1",50,NA
"5355","대구광역시","동부","시도",1,128.620898,"2",30,NA
"5356","대구광역시","동부","시도",1,128.702882,"2",50,NA
"5371","대구광역시","동부","일반국도",1,128.692766,"2",60,NA
"6570","대구광역시","동부","일반국도",2,128.671029,"1",60,NA
"6571","대구광역시","동부","시도",2,128.656754,"1",60,NA
"6572","대구광역시","동부","시도",2,128.6286129,"1",60,NA
"6573","대구광역시","동부","시도",2,128.635622,"1",50,NA
"6850","대구광역시","동부","시도",1,128.6745699,"2",60,NA
"6876","대구광역시","동부","시도",2,128.6264511,"1",60,NA
"6898","대구광역시","동부","일반국도",2,128.7014403,"2",60,NA
"6899","대구광역시","동부","시도",1,128.6416485,"2",60,NA
"6912","대구광역시","동부","시도",1,128.6989941,"1",60,NA
"6940","대구광역시","동부","시도",1,128.6801543,"1",60,NA
"6945","대구광역시","동부","시도",1,128.6263438,"2",50,NA
"6946","대구광역시","동부","시도",1,128.6410584,"2",50,NA
"6952","대구광역시","동부","시도",2,128.6316224,"2",50,NA
"12981","대구광역시","동부","시도",1,128.6270573,"2",60,NA
"13342","대구광역시","동부","시도",1,128.6907383,"2",60,NA
"13343","대구광역시","동부","시도",2,128.7294801,"2",60,NA
"13344","대구광역시","동부","일반국도",2,128.6285217,"2",50,NA
"17690","대구광역시","동부","시도",1,128.6144401,"2",50,NA
"17691","대구광역시","동부","시도",1,128.6317297,"2",50,NA
"17694","대구광역시","동부","시도",2,128.6256947,"2",60,NA
"17695","대구광역시","동부","시도",1,128.624257,"2",50,NA
"17696","대구광역시","동부","시도",2,128.6186405,"2",50,NA
