"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4520","서울특별시","동작구","특별시도",2,126.942742,"2",50,NA
"4554","서울특별시","동작구","특별시도",1,126.940295,"2",40,NA
"11279","서울특별시","동작구","특별시도",2,126.963862,"1",50,NA
"11292","서울특별시","동작구","특별시도",1,126.966803,"2",50,NA
"11293","서울특별시","동작구","특별시도",2,126.963001,"2",50,NA
"11312","서울특별시","동작구","고속국도",1,126.975567,"1",80,NA
"11313","서울특별시","동작구","고속국도",1,126.950625,"1",80,NA
"12357","서울특별시","동작구","특별시도",2,126.911109,"2",50,NA
"12903","서울특별시","동작구","특별시도",1,126.914547,"1",60,NA
"12923","서울특별시","동작구","특별시도",1,126.927222,"1",50,NA
"12946","서울특별시","동작구","특별시도",2,126.981829,"2",50,NA
"15897","서울특별시","동작구","특별시도",2,126.982332,"2",50,NA
"16399","서울특별시","동작구","특별시도",2,126.943091,"2",30,NA
"18321","서울특별시","동작구","특별시도",1,126.977537,"2",60,NA
"18349","서울특별시","동작구","특별시도",2,126.948954,"2",60,NA
"18350","서울특별시","동작구","특별시도",2,126.947874,"2",60,NA
"18351","서울특별시","동작구","특별시도",1,126.977147,"2",60,NA
"18352","서울특별시","동작구","특별시도",1,126.956508,"2",60,NA
"18353","서울특별시","동작구","특별시도",1,126.949262,"2",50,NA
"18354","서울특별시","동작구","특별시도",1,126.920413,"2",50,NA
