"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2714","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2715","경상남도","마산합포구","시도",2,128.5768644,"4",60,NA
"2716","경상남도","마산합포구","시도",2,128.5803005,"4",60,NA
"2717","경상남도","마산합포구","시도",2,128.558187,"4",60,NA
"2718","경상남도","마산합포구","시도",2,128.5786289,"4",60,NA
"2719","경상남도","마산합포구","시도",2,128.5625216,"4",60,NA
"2720","경상남도","마산합포구","시도",2,128.5602383,"4",60,NA
"2721","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2722","경상남도","마산합포구","시도",2,128.5745952,"4",60,NA
"2723","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2724","경상남도","마산합포구","시도",2,128.5590674,"4",60,NA
"2725","경상남도","마산합포구","시도",2,128.5590674,"4",60,NA
"2726","경상남도","마산합포구","시도",2,128.570675,"4",60,NA
"2727","경상남도","마산합포구","시도",2,128.565599,"4",60,NA
"2728","경상남도","마산합포구","시도",2,128.5747432,"4",60,NA
"2729","경상남도","마산합포구","시도",2,128.5590999849,"4",60,NA
"2730","경상남도","마산합포구","시도",2,128.5622277,"4",60,NA
"2731","경상남도","마산합포구","시도",2,128.5674461,"4",60,NA
"2732","경상남도","마산합포구","시도",2,128.5847207,"4",60,NA
"2733","경상남도","마산합포구","시도",2,128.5783079,"4",60,NA
"2734","경상남도","마산합포구","시도",2,128.4870977,"4",60,NA
"2735","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2736","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2737","경상남도","마산합포구","시도",2,128.5747648,"4",60,NA
"2897","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2970","경상남도","마산합포구","시도",2,128.5535471,"4",60,NA
"3217","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3218","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3219","경상남도","마산합포구","시도",2,128.5734025,"4",60,NA
"3220","경상남도","마산합포구","시도",2,128.5869929,"4",60,NA
"3221","경상남도","마산합포구","시도",2,128.5766903,"4",60,NA
"3222","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3223","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3224","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3225","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3226","경상남도","마산합포구","시도",2,128.5857491,"4",60,NA
"3227","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3228","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3229","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3230","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3231","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3232","경상남도","마산합포구","시도",2,NA,"4",60,NA
"3233","경상남도","마산합포구","시도",2,NA,"4",60,NA
"5881","경상남도","마산합포구","일반국도",1,128.486895,"01",80,NA
"5899","경상남도","마산합포구","시도",1,128.569921,"02",60,NA
"5900","경상남도","마산합포구","일반국도",2,128.416633,"02",80,NA
"5904","경상남도","마산합포구","지방도",1,128.480754,"01",60,NA
"6150","경상남도","마산합포구","시도",2,128.574125,"02",60,NA
"6151","경상남도","마산합포구","일반국도",1,128.537851,"01",80,NA
"6320","경상남도","마산합포구","일반국도",2,128.575605,"02",60,NA
"6331","경상남도","마산합포구","일반국도",2,128.574074,"01",80,NA
"6332","경상남도","마산합포구","일반국도",2,128.389274,"01",80,NA
"6374","경상남도","마산합포구","일반국도",2,128.443111,"01",80,NA
"6432","경상남도","마산합포구","일반국도",1,128.549085,"01",80,NA
"7391","경상남도","마산합포구","일반국도",1,128.561679,"01",50,NA
"7400","경상남도","마산합포구","시도",1,128.561958,"02",60,NA
"7437","경상남도","마산합포구","시도",1,128.572877,"02",50,NA
"7477","경상남도","마산합포구","시도",2,128.562664,"02",60,NA
"7478","경상남도","마산합포구","지방도",2,128.489525,"02",50,NA
"7486","경상남도","마산합포구","시도",1,128.580224,"02",60,NA
"7487","경상남도","마산합포구","일반국도",1,128.564146,"02",50,NA
"7525","경상남도","마산합포구","시도",1,128.562205,"02",50,NA
"7539","경상남도","마산합포구","시도",1,128.572033,"02",50,NA
"7540","경상남도","마산합포구","시도",2,128.584317,"02",50,NA
"7549","경상남도","마산합포구","일반국도",2,128.485326,"01",80,NA
"7550","경상남도","마산합포구","일반국도",3,128.460507,"01",50,NA
"7595","경상남도","마산합포구","일반국도",1,128.416671,"02",80,NA
"7904","경상남도","마산합포구","일반국도",1,128.566954,"01",50,0.8
"7905","경상남도","마산합포구","일반국도",1,128.562367,"01",50,NA
"8093","경상남도","마산합포구","시도",1,128.552264,"02",60,NA
"8094","경상남도","마산합포구","시도",1,128.552049,"02",60,NA
"8108","경상남도","마산합포구","일반국도",2,128.553833,"02",60,NA
"8133","경상남도","마산합포구","일반국도",2,128.557916,"02",40,NA
"8134","경상남도","마산합포구","시도",2,128.586099,"02",60,NA
"8173","경상남도","마산합포구","시도",2,128.566837,"02",50,NA
"8317","경상남도","마산합포구","시도",2,128.576961,"01",60,NA
"8318","경상남도","마산합포구","시도",2,128.576961,"01",60,NA
"8430","경상남도","마산합포구","시도",2,128.561491,"02",30,NA
"8478","경상남도","마산합포구","시도",1,128.562047,"02",30,NA
"8480","경상남도","마산합포구","시도",2,128.562036,"02",30,NA
"8496","경상남도","마산합포구","시도",1,129.164018,"02",50,NA
"8497","경상남도","마산합포구","시도",2,128.562846,"02",50,NA
