"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3170","경상남도","마산회원구","시도",2,128.5848471745,"4",60,NA
"3171","경상남도","마산회원구","시도",2,128.5828922052,"4",60,NA
"3172","경상남도","마산회원구","시도",2,128.5838520091,"4",60,NA
"3173","경상남도","마산회원구","시도",2,128.5902844,"4",60,NA
"3174","경상남도","마산회원구","시도",2,128.5836242,"4",60,NA
"3175","경상남도","마산회원구","시도",2,128.584623,"4",60,NA
"3176","경상남도","마산회원구","시도",2,128.5823664012,"4",60,NA
"3177","경상남도","마산회원구","시도",2,128.5882939328,"4",60,NA
"3178","경상남도","마산회원구","시도",2,128.5997389,"4",60,NA
"3179","경상남도","마산회원구","시도",2,128.5953152,"4",60,NA
"3194","경상남도","마산회원구","시도",2,128.5711784,"4",60,NA
"3195","경상남도","마산회원구","시도",2,128.5767196402,"4",60,NA
"3196","경상남도","마산회원구","시도",2,128.5795162,"4",60,NA
"3197","경상남도","마산회원구","시도",2,128.5758291849,"4",60,NA
"3198","경상남도","마산회원구","시도",2,128.580135,"4",60,NA
"3199","경상남도","마산회원구","시도",2,128.5802675772,"4",60,NA
"3200","경상남도","마산회원구","시도",2,128.568201,"4",60,NA
"3201","경상남도","마산회원구","시도",2,128.5766742377,"4",60,NA
"3202","경상남도","마산회원구","시도",2,128.578604,"4",60,NA
"3203","경상남도","마산회원구","시도",2,128.5754558,"4",60,NA
"3204","경상남도","마산회원구","시도",2,128.5730871359,"4",60,NA
"3205","경상남도","마산회원구","시도",2,128.5694877,"4",60,NA
"3206","경상남도","마산회원구","시도",2,128.5807968875,"4",60,NA
"3207","경상남도","마산회원구","시도",2,128.5831919,"4",60,NA
"3208","경상남도","마산회원구","시도",2,128.5844689,"4",60,NA
"3209","경상남도","마산회원구","시도",2,NA,"4",60,NA
"3210","경상남도","마산회원구","시도",2,128.5815554,"4",60,NA
"3211","경상남도","마산회원구","시도",2,128.5860883,"4",60,NA
"3212","경상남도","마산회원구","시도",2,128.5795801,"4",60,NA
"3213","경상남도","마산회원구","시도",2,128.5873766023,"4",60,NA
"3214","경상남도","마산회원구","시도",2,128.5846545473,"4",60,NA
"3215","경상남도","마산회원구","시도",2,128.5820728089,"4",60,NA
"3216","경상남도","마산회원구","시도",2,128.5857296783,"4",60,NA
"3234","경상남도","마산회원구","시도",2,128.503545,"4",60,NA
"3235","경상남도","마산회원구","시도",2,NA,"4",60,NA
"3236","경상남도","마산회원구","시도",2,128.5030337,"4",60,NA
"3237","경상남도","마산회원구","시도",2,128.5044423,"4",60,NA
"3238","경상남도","마산회원구","시도",2,128.5016023,"4",60,NA
"3239","경상남도","마산회원구","시도",2,128.5027302361,"4",60,NA
"3240","경상남도","마산회원구","시도",2,128.5106685,"4",60,NA
"3241","경상남도","마산회원구","시도",2,128.5706961,"4",60,NA
"3242","경상남도","마산회원구","시도",2,128.5751392095,"4",60,NA
"6161","경상남도","마산회원구","일반국도",2,128.579506,"02",60,NA
"6305","경상남도","마산회원구","시도",1,128.587199,"02",50,NA
"6306","경상남도","마산회원구","시도",2,128.563387,"02",60,NA
"6321","경상남도","마산회원구","일반국도",2,128.506005,"02",60,NA
"6333","경상남도","마산회원구","시도",2,128.565521,"01",50,NA
"6390","경상남도","마산회원구","시도",2,128.525254,"02",60,NA
"6396","경상남도","마산회원구","지방도",2,128.503696,"01",60,NA
"6536","경상남도","마산회원구","시도",2,128.554352,"02",60,NA
"6537","경상남도","마산회원구","시도",2,128.547894,"02",60,NA
"7381","경상남도","마산회원구","일반국도",1,128.589705,"02",60,NA
"7382","경상남도","마산회원구","시도",2,128.521013,"02",60,NA
"7383","경상남도","마산회원구","시도",1,128.584874,"02",50,NA
"7384","경상남도","마산회원구","시도",2,128.587065,"02",50,NA
"7392","경상남도","마산회원구","시도",1,128.540502,"02",60,NA
"7393","경상남도","마산회원구","시도",2,128.532031,"02",60,NA
"7397","경상남도","마산회원구","일반국도",2,128.585375,"02",60,NA
"7398","경상남도","마산회원구","지방도",1,128.507072,"02",60,NA
"7446","경상남도","마산회원구","일반국도",1,128.505372,"02",60,NA
"7447","경상남도","마산회원구","시도",1,128.589343,"02",50,NA
"7450","경상남도","마산회원구","일반국도",1,128.520733,"02",60,NA
"7451","경상남도","마산회원구","일반국도",2,128.520733,"02",60,NA
"7481","경상남도","마산회원구","시도",2,128.586421,"02",50,NA
"7482","경상남도","마산회원구","일반국도",2,128.573753,"02",60,NA
"7488","경상남도","마산회원구","시도",2,128.579054,"02",50,NA
"7489","경상남도","마산회원구","시도",2,128.612601,"02",60,NA
"7541","경상남도","마산회원구","시도",2,128.600199,"02",60,NA
"7542","경상남도","마산회원구","시도",2,128.523882,"02",60,NA
"7551","경상남도","마산회원구","시도",2,128.624106,"01",60,NA
"7580","경상남도","마산회원구","지방도",2,128.511621,"02",60,NA
"7581","경상남도","마산회원구","시도",2,128.600383,"01",60,NA
"7582","경상남도","마산회원구","시도",1,128.591633,"01",60,NA
"7586","경상남도","마산회원구","시도",2,128.560705,"02",50,NA
"7587","경상남도","마산회원구","지방도",3,128.528945,"02",60,NA
"7596","경상남도","마산회원구","시도",2,128.578871,"02",60,NA
"7846","경상남도","마산회원구","시도",2,128.567581,"02",50,NA
"7847","경상남도","마산회원구","시도",1,128.567413,"02",50,NA
"7874","경상남도","마산회원구","시도",2,128.587911,"01",70,NA
"7875","경상남도","마산회원구","시도",2,128.587911,"01",70,NA
"7880","경상남도","마산회원구","시도",2,128.587264,"02",70,NA
"7881","경상남도","마산회원구","시도",2,128.587736,"02",50,NA
"7888","경상남도","마산회원구","시도",2,128.592167,"02",50,NA
"7919","경상남도","마산회원구","일반국도",1,128.572912,"02",60,NA
"7920","경상남도","마산회원구","시도",1,128.614921,"02",60,NA
"8085","경상남도","마산회원구","시도",2,128.509463,"02",60,NA
"8110","경상남도","마산회원구","시도",2,128.564488,"02",50,NA
"8174","경상남도","마산회원구","일반국도",1,128.592848,"02",60,NA
"8175","경상남도","마산회원구","일반국도",2,128.504852,"02",60,NA
"8207","경상남도","마산회원구","시도",1,128.591317,"02",50,NA
"8314","경상남도","마산회원구","시도",2,128.575507,"02",30,NA
"8315","경상남도","마산회원구","시도",2,128.589187,"02",30,NA
"8316","경상남도","마산회원구","시도",1,128.588384,"01",30,NA
"8473","경상남도","마산회원구","시도",2,128.571011,"02",50,NA
"8479","경상남도","마산회원구","일반국도",2,128.579475,"02",60,NA
