"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5097","전라남도","목포시","시도",3,126.427233,"2",50,NA
"5098","전라남도","목포시","시도",3,126.419233,"2",60,NA
"5099","전라남도","목포시","시도",3,126.422489,"2",60,NA
"5100","전라남도","목포시","시도",3,126.393095,"2",50,NA
"5101","전라남도","목포시","시도",3,126.419233,"2",60,NA
"5102","전라남도","목포시","시도",3,126.392631,"2",50,NA
"5103","전라남도","목포시","시도",3,126.404526,"2",50,NA
"5104","전라남도","목포시","시도",3,126.421965,"2",60,NA
"5105","전라남도","목포시","시도",3,126.419235,"2",50,NA
"5372","전라남도","목포시","시도",3,126.386076,"2",30,NA
"5373","전라남도","목포시","시도",3,126.424529,"1",30,NA
"5374","전라남도","목포시","시도",3,126.403041,"1",30,NA
"5375","전라남도","목포시","시도",3,126.403041,"1",30,NA
"5376","전라남도","목포시","시도",3,126.372631,"1",30,NA
"5377","전라남도","목포시","시도",3,126.372631,"1",30,NA
"5378","전라남도","목포시","시도",3,126.455918,"2",60,NA
"5379","전라남도","목포시","시도",3,126.408119,"2",60,NA
"5380","전라남도","목포시","시도",3,126.408119,"2",70,NA
"5381","전라남도","목포시","시도",3,126.433231,"2",70,NA
"5382","전라남도","목포시","시도",3,126.429081,"2",60,NA
"5383","전라남도","목포시","일반국도",3,126.413663,"1",50,NA
"5384","전라남도","목포시","일반국도",3,126.410113,"1",50,NA
"5412","전라남도","목포시","시도",3,126.424681,"2",30,NA
"5413","전라남도","목포시","시도",3,126.388314,"2",30,NA
"5414","전라남도","목포시","시도",3,126.406646,"1",30,NA
"5415","전라남도","목포시","시도",3,126.450201,"2",30,NA
"5416","전라남도","목포시","시도",3,126.452802,"2",30,NA
"5417","전라남도","목포시","시도",3,126.452802,"2",30,NA
"5418","전라남도","목포시","시도",3,126.415897,"2",30,NA
"5419","전라남도","목포시","시도",3,126.388438,"2",30,NA
"5420","전라남도","목포시","시도",3,126.400491,"2",30,NA
"5526","전라남도","목포시","일반국도",3,126.125331,"1",30,NA
"5570","전라남도","목포시","일반국도",3,126.353151,"1",30,NA
"5571","전라남도","목포시","일반국도",3,126.271876,"1",30,NA
"7637","전라남도","목포시","지방도",3,125.936448,"1",60,NA
"7638","전라남도","목포시","지방도",3,126.333263,"2",80,NA
"7645","전라남도","목포시","시도",3,126.233737,"1",60,7.3
"7646","전라남도","목포시","시도",3,126.153913,"1",60,7.3
"7647","전라남도","목포시","시도",3,126.153913,"1",60,7.3
"7648","전라남도","목포시","시도",3,126.233737,"1",60,7.3
"7702","전라남도","목포시","시도",3,126.393885,"2",50,NA
"7703","전라남도","목포시","시도",3,126.432979,"2",60,NA
"7973","전라남도","목포시","일반국도",3,126.129347,"1",30,NA
"7974","전라남도","목포시","일반국도",3,126.309879,"1",30,NA
"8042","전라남도","목포시","시도",3,126.406734,"2",50,NA
"8043","전라남도","목포시","시도",3,126.405532,"2",50,NA
"9210","전라남도","목포시","시도",3,126.380814,"2",30,NA
"9234","전라남도","목포시","시도",3,126.418055,"2",50,NA
"9478","전라남도","목포시","시도",3,126.380951,"2",30,NA
"9479","전라남도","목포시","시도",3,126.420415,"2",50,NA
"9553","전라남도","목포시","지방도",3,126.399051,"1",30,NA
"9554","전라남도","목포시","지방도",3,126.429786,"2",50,NA
"9555","전라남도","목포시","지방도",3,126.358968,"2",60,NA
"9556","전라남도","목포시","지방도",3,126.427645,"2",60,NA
"9707","전라남도","목포시","시도",3,126.445778,"1",60,NA
"9708","전라남도","목포시","시도",3,126.421289,"1",60,NA
"9734","전라남도","목포시","지방도",3,126.426923,"1",60,NA
"9747","전라남도","목포시","일반국도",3,126.367104,"2",60,NA
"9754","전라남도","목포시","시도",3,126.417903,"2",50,NA
"9762","전라남도","목포시","일반국도",3,126.231951,"1",60,NA
"9799","전라남도","목포시","시도",3,126.397511,"2",50,NA
"9809","전라남도","목포시","시도",3,126.403851,"2",50,NA
"9810","전라남도","목포시","일반국도",3,126.371599,"2",60,NA
"9811","전라남도","목포시","시도",3,126.416061,"1",50,NA
"9858","전라남도","목포시","시도",3,126.444249,"2",60,NA
"9859","전라남도","목포시","시도",3,126.426566,"2",60,NA
"9860","전라남도","목포시","시도",3,126.421029,"1",60,NA
"9861","전라남도","목포시","일반국도",3,126.383231,"1",60,NA
