"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4251","전라남도","무안군","일반국도",3,126.362889,"2",70,NA
"4252","전라남도","무안군","일반국도",3,126.359561,"2",70,NA
"5389","전라남도","무안군","군도",3,126.505568,"2",70,NA
"6130","전라남도","무안군","군도",3,126.433349,"2",30,NA
"6131","전라남도","무안군","군도",3,126.427897,"2",30,NA
"6132","전라남도","무안군","군도",3,126.446411,"2",30,NA
"6133","전라남도","무안군","군도",3,126.415921,"2",30,NA
"6134","전라남도","무안군","군도",3,126.361967,"1",30,NA
"6135","전라남도","무안군","군도",3,126.502444,"1",30,NA
"6136","전라남도","무안군","군도",3,126.437806,"1",30,NA
"6137","전라남도","무안군","군도",3,126.338303,"1",30,NA
"6138","전라남도","무안군","군도",3,126.398802,"1",30,NA
"6139","전라남도","무안군","군도",3,126.293833,"1",30,NA
"6140","전라남도","무안군","군도",3,126.421641,"1",70,NA
"6141","전라남도","무안군","군도",3,126.331163,"1",60,NA
"6142","전라남도","무안군","군도",3,126.525213,"2",70,NA
"7644","전라남도","무안군","지방도",3,126.474315,"2",70,NA
"7649","전라남도","무안군","일반국도",3,126.425784,"2",70,NA
"7650","전라남도","무안군","일반국도",3,126.427306,"2",70,NA
"7651","전라남도","무안군","일반국도",3,126.430505,"2",70,NA
"7652","전라남도","무안군","일반국도",3,126.430548,"2",50,NA
"7958","전라남도","무안군","군도",3,126.473141,"2",30,NA
"7962","전라남도","무안군","일반국도",3,126.433094,"2",80,NA
"8062","전라남도","무안군","군도",3,126.474021,"2",30,NA
"8063","전라남도","무안군","지방도",3,126.480334,"2",70,NA
"8064","전라남도","무안군","군도",3,126.478524,"2",60,NA
"8065","전라남도","무안군","군도",3,126.484035,"3",60,NA
"8066","전라남도","무안군","일반국도",3,126.441429,"2",80,NA
"8067","전라남도","무안군","일반국도",3,126.349921,"2",80,NA
"8068","전라남도","무안군","일반국도",3,126.292238,"1",60,NA
"9427","전라남도","무안군","일반국도",3,126.382671,"2",60,NA
"9428","전라남도","무안군","일반국도",3,126.382242,"2",60,NA
"9437","전라남도","무안군","일반국도",3,126.430411,"2",70,NA
"9468","전라남도","무안군","일반국도",3,126.427338,"2",80,NA
"9521","전라남도","무안군","지방도",3,126.470743,"2",60,NA
"9522","전라남도","무안군","일반국도",3,126.513629,"1",90,NA
"9688","전라남도","무안군","군도",3,126.472635,"1",60,NA
"9695","전라남도","무안군","군도",3,126.471132,"2",60,NA
"9721","전라남도","무안군","일반국도",3,126.483526,"1",90,NA
"9783","전라남도","무안군","군도",3,126.460341,"2",60,NA
"9784","전라남도","무안군","군도",3,126.470418,"2",60,NA
"9802","전라남도","무안군","일반국도",3,126.424279,"1",80,NA
"9828","전라남도","무안군","지방도",3,126.430529,"1",80,NA
"9841","전라남도","무안군","일반국도",3,126.425885,"1",80,NA
"9842","전라남도","무안군","지방도",3,126.453561,"1",70,NA
"16169","전라남도","무안군","군도",3,126.517042,"2",70,NA
"16170","전라남도","무안군","군도",3,126.517043,"2",70,NA
"16171","전라남도","무안군","일반국도",3,126.502396,"2",70,NA
"16172","전라남도","무안군","일반국도",3,126.501727,"2",70,NA
"17287","전라남도","무안군","일반국도",3,126.428462,"2",50,NA
