"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1348","전라북도","무주군","지방도",NA,127.7554326,"1",60,NA
"1511","전라북도","무주군","일반국도",NA,127.620112,"1",60,NA
"1512","전라북도","무주군","일반국도",NA,127.821905,"1",60,NA
"1513","전라북도","무주군","일반국도",NA,127.656531,"2",70,NA
"1514","전라북도","무주군","일반국도",NA,127.718037,"1",60,NA
"1518","전라북도","무주군","군도",NA,127.833602,"1",40,3.505
"1519","전라북도","무주군","군도",NA,127.827183,"1",40,3.505
"1557","전라북도","무주군","일반국도",NA,127.620112,"1",60,NA
"5621","전라북도","무주군","지방도",NA,127.6862104,"1",70,NA
"8682","전라북도","무주군","고속국도",NA,127.6614049,"1",100,NA
"8689","전라북도","무주군","일반국도",NA,127.6522876,"2",60,NA
"11559","전라북도","무주군","일반국도",NA,127.647992,"1",60,NA
"14215","전라북도","무주군","일반국도",NA,127.801081,"1",60,NA
"14894","전라북도","무주군","지방도",NA,127.742098,"1",50,NA
"16948","전라북도","무주군","일반국도",NA,127.835157,"1",60,NA
"16949","전라북도","무주군","지방도",NA,127.716051,"1",70,NA
"16950","전라북도","무주군","일반국도",NA,127.688288,"1",30,NA
"16951","전라북도","무주군","일반국도",NA,127.684303,"1",70,NA
"16952","전라북도","무주군","일반국도",NA,127.7029094,"1",40,NA
"18256","전라북도","무주군","일반국도",NA,127.5890596,"2",70,NA
"18257","전라북도","무주군","일반국도",NA,127.5887527,"2",70,NA
