"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3737","경상북도","문경","지방도",2,128.8664339,"2",40,NA
"3790","경상북도","문경","시도",1,128.2102899598,"1",30,NA
"4250","경상북도","문경","시도",1,128.3157584,"1",30,NA
"5632","경상북도","문경","시도",2,128.6866381,"1",30,NA
"5982","경상북도","문경","일반국도",1,127.9783375,"2",60,NA
"7066","경상북도","문경","시도",2,128.1772885,"2",60,NA
"10864","경상북도","문경","일반국도",2,128.1650449,"2",80,NA
"10865","경상북도","문경","일반국도",2,128.1915039,"2",80,NA
"10866","경상북도","문경","일반국도",2,128.1118792,"2",80,NA
"10935","경상북도","문경","일반국도",1,128.3920716,"2",80,NA
"10960","경상북도","문경","기타",1,128.9543937,"1",60,NA
"10962","경상북도","문경","일반국도",1,128.2825838,"1",60,NA
"10963","경상북도","문경","일반국도",2,128.3774884,"1",60,NA
"10994","경상북도","문경","시도",1,128.0869835,"2",60,NA
"10995","경상북도","문경","시도",1,129.4665026,"2",60,NA
"11011","경상북도","문경","기타",1,127.9887966,"1",30,NA
"11012","경상북도","문경","기타",2,128.0117429,"1",30,NA
"11013","경상북도","문경","기타",1,128.1525805,"1",30,NA
"11014","경상북도","문경","시도",2,128.1576269,"1",30,NA
"11015","경상북도","문경","시도",1,128.1688022,"2",30,NA
"11016","경상북도","문경","시도",2,128.2056255,"1",30,NA
"11017","경상북도","문경","시도",2,128.2523891,"1",30,NA
"11018","경상북도","문경","시도",2,128.2577216,"1",30,NA
"11019","경상북도","문경","시도",2,128.2034392,"1",30,NA
"11020","경상북도","문경","시도",1,129.4100009,"3",100,NA
"11187","경상북도","문경","일반국도",3,128.2778588,"1",50,NA
"11428","경상북도","문경","지방도",1,128.0906444,"1",60,NA
"11429","경상북도","문경","지방도",2,129.047803,"1",60,NA
"11433","경상북도","문경","일반국도",2,128.6806829,"2",60,NA
"11439","경상북도","문경","일반국도",2,128.1497539,"2",60,NA
"11440","경상북도","문경","일반국도",2,128.0175048,"2",60,NA
"12066","경상북도","문경","고속국도",1,128.3179428,"3",100,NA
"12067","경상북도","문경","기타",2,128.187366,"2",60,NA
"13159","경상북도","문경","기타",2,128.1131543,"1",60,NA
"13449","경상북도","문경","일반국도",1,128.1204701,"1",60,NA
"13462","경상북도","문경","시도",2,128.2086017,"1",80,NA
"13463","경상북도","문경","시도",1,128.2086017,"1",80,NA
"13667","경상북도","문경","일반국도",2,128.2302568,"2",60,NA
"13714","경상북도","문경","일반국도",2,128.1620873,"2",80,NA
"14061","경상북도","문경","시도",2,128.1949354,"2",30,NA
"14062","경상북도","문경","시도",1,128.1971292,"1",30,NA
"14063","경상북도","문경","시도",1,128.0045894,"2",80,NA
"14064","경상북도","문경","시도",2,128.0045894,"1",30,NA
"14065","경상북도","문경","시도",2,128.1965358,"1",30,NA
"14066","경상북도","문경","시도",1,128.1942008,"1",30,NA
"14067","경상북도","문경","시도",2,128.194578,"1",30,NA
"14068","경상북도","문경","시도",2,128.2032978,"1",30,NA
"14069","경상북도","문경","시도",3,128.1976118,"1",30,NA
"14070","경상북도","문경","시도",2,128.192012,"1",30,NA
"14087","경상북도","문경","시도",1,128.2523891,"2",30,NA
"14088","경상북도","문경","시도",2,128.1566925,"1",30,NA
"14089","경상북도","문경","시도",1,128.1668139,"1",30,NA
"14090","경상북도","문경","시도",2,128.0692372,"1",30,NA
"14091","경상북도","문경","시도",2,128.1840523,"1",60,NA
"14092","경상북도","문경","시도",2,129.1969977,"2",60,NA
"14258","경상북도","문경","일반국도",2,128.1272336,"2",80,NA
"14277","경상북도","문경","일반국도",2,128.0954801,"2",80,NA
"17266","경상북도","문경","지방도",1,128.0635309,"1",30,NA
"17267","경상북도","문경","지방도",2,128.0632188,"1",30,NA
"17268","경상북도","문경","지방도",2,128.0632188,"1",30,NA
"17269","경상북도","문경","지방도",1,128.3784624,"1",30,NA
"17377","경상북도","문경","일반국도",1,128.1267981,"2",60,NA
"17378","경상북도","문경","일반국도",1,128.235557,"2",60,NA
