"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2641","경상북도","문경시","시도",3,128.202692,"3",40,NA
"3868","경상북도","문경시","시도",3,128.201542,"4",40,NA
"3869","경상북도","문경시","시도",3,128.1936686,"4",40,NA
"3870","경상북도","문경시","시도",3,128.203623,"4",40,NA
"3871","경상북도","문경시","지방도",3,128.197343,"3",40,NA
"3872","경상북도","문경시","시도",3,128.191968,"4",60,NA
"3873","경상북도","문경시","지방도",3,128.1904686,"2",40,NA
"3968","경상북도","문경시","시도",3,128.199995,"4",40,NA
"3969","경상북도","문경시","시도",3,128.199041,"4",40,NA
"3970","경상북도","문경시","시도",3,128.1920096,"4",40,NA
"3971","경상북도","문경시","지방도",3,128.190406,"2",40,NA
"3972","경상북도","문경시","시도",3,128.197509,"3",40,NA
"3973","경상북도","문경시","시도",3,128.181825,"2",30,NA
"3974","경상북도","문경시","시도",3,128.1956972,"3",30,NA
"3975","경상북도","문경시","시도",3,128.195321,"2",30,NA
"3976","경상북도","문경시","시도",3,128.204143,"2",30,NA
"3977","경상북도","문경시","시도",3,128.2017739,"2",40,NA
